,Título,Número de registro,Denominação,Classificação,Local de produção,Data de produção,Autor,Material/Técnica,Dimensões - altura,Dimensões - largura,Situação,Dimensões - profundidade/comprimento,Dimensões - diâmetro,Dimensões - espessura,Dimensões - peso,Resumo descritivo,Condições de reprodução,Mídias relacionadas,ACERVO,URL,TAINACAN_COLECTION_ID
75,Lapinha,201,Oratório de pousar com grupo escultórico religioso,05 Interiores > 05.5 Peça de Mobiliário,Minas Gerais,Século XVIII/XIX,Não identificada,douramento | entalhe | folha de ouro | madeira | pedra | policromia | recorte | tinta | vidro,85,"33,3",,,,,,"Oratório de pousar com grupo escultórico religioso representando a Natividade. Peça de linhas singelas, em estilo D. José I, confeccionada em madeira entalhada, policromada e dourada, de estrutura verticalizada, com a parte posterior em caixa retangular, com laterais ornadas por folhas estilizadas nos tons verde claro, verde escuro, marrom e branco. Parte frontal do oratório com cimalha ornada por motivo floral e volutas, além de palmeta na parte central superior, em tom dourado envelhecido. Peça contornada por frisos em tom bege emoldurados por volutas contrapostas em tom castanho acobreado. Oratório dividido em duas partes envidraçadas. Parte interna superior com seis imagens em talcita, dispostas da seguinte forma: (cont. em Observações). Na parte inferior, ao centro, Santana Mestra trajando túnica clara com gola em tom marrom ornada por frisos dourados, e calçada com sapatos pretos. Santana encontra-se sentada sobre cadeiral vermelho com friso dourado, tendo a cabeça levemente inclinada à direita e encimada por véu curto, sob cabelos em tom castanho escuro. Ao seu lado, a Virgem Menina, ligeiramente de perfil, de pé, trajando túnica clara na mesma padronagem da indumentária da Santana, calçada com sapatos em tom vermelho. A menina segura um livro com suas mãos apontando para determinada parte do texto. Escultura sobre pedestal escalonado com marmorizado nos tons amarelo e vermelho. À direita de Santana, escultura de São Joaquim, idoso e semi-calvo, com cabelos laterais e barba em tom amarelado, trajando túnica e mantos longos com barra dourada. Pés calçados com sapatos pretos aparentes. Escultura apoiada sobre base escalonada e marmorizada nos tons vermelho e amarelo. À esquerda de Santana, São João Batista, jovem, de pé, com olhar direcionado para cima, cabelos castanhos, com peito nu e restante do corpo coberto por tecido com barra amarela, tendo bolsa com alça dourada atravessada sobre o peito. Com seu braço esquerdo segura ovelha com o corpo pintado de amarelo. Tem seu braço direito flexionado com o dedo indicador apontando para o animal. Apresenta sua perna esquerda apoiada sobre pedra e base em rochedo estilizado no tom verde com detalhes em dourado. Na parte superior interna, ao centro, Cristo Crucificado, de corpo esguio, trajando perizônio com friso e cordão dourados, tendo braços presos à cruz verde, esta com ornatos em tom vermelho e nódulos, além da placa em talcita com a inscrição: “I.N.R.I.”. Sobre a cabeça do Cristo, resplendor dourado. Espalhados pelo corpo, escoriações nos pulsos, ombros, braços, joelhos e pés, em tinta vermelha. À direita do Cristo, São José de Botas, de pé, com cabelos castanhos escuros e cabeça encimada por resplendor dourado. Traja túnica branca e manto com barra dourada. Apresenta braços flexionados e pés calçados com botas de cano longo em tom preto. Com seu braço esquerdo carrega o Menino Jesus, que segura o globo terrestre com suas mãos. Base escalonada com marmorizado nos tons amarelo e vermelho. À esquerda do Cristo, Nossa Senhora da Conceição, jovem, de pé, em posição frontal, com olhar voltado para cima, cabelos em tom castanho escuro cobertos por véu curto. Traja túnica de mangas compridas e manto, tendo os pés calçados com sapatos pretos aparentes. Apresenta peanha composta por querubim (à esquerda), nuvem estilizada e cobra em tom verde escuro (à direita). Escultura apoiada sobre pedestal escalonado com marmorizado nos tons amarelo e vermelho. São José e Nossa Senhora encontram-se sobre pedestais do oratório, em tom vermelho, com friso dourado. Parte interna do oratório em tom azul, com representação do sol em dourado, cercado por nuvens brancas contornadas por frisos em tom vermelho claro, além de rosinhas de malabar em tom vermelho com ramagens verdes cercadas por linhas sinuosas brancas. Este mesmo motivo decorativo aparece nas laterais internas e no teto do oratório. Parte inferior do oratório com representação do nascimento de Jesus, tendo figura de recém-nascido desnudo, deitado sobre camilha vermelha e amarela, tendo a cabeça apoiada sobre almofada vermelha. Com sua mão direita segura sobre o peito o globo terrestre, em tom verde. À esquerda do Menino, os três Reis Magos ajoelhados e cabeça de burrico. À direita do Menino, Nossa Senhora com as mãos em posição de oração, São José e outro santo (não identificado), todos ajoelhados, compõem a cena, além de cabeça de bovino. Oratório apoiado sobre quatro pés, os posteriores retilíneos e os frontais em curva, estes sobre pequenos pedestais chapados e quadrangulares. Parte posterior do oratório lisa, sem pintura. Peça doada por Dr. José Rosa de Mattos. (checar documentação). Documentação encontrada no dossiê: 1) Ficha datilografada do MEC/IPHAN, referente ao inventário de 1981, sem assinatura. Ficha de Catalogação de Acervo Museológico, registrada por Tânia Bravo Leite (1989) e revisada pela museóloga do Museu da Inconfidência, Celina Santos Barboza, em 1990 (ficha datilografada). Ficha de Acervo Museológico GMCH/MG, em formato de fichário, assinada por Tânia Bravo Leite e por Celina Santos Barboza (1989/1990). Ficha amarela de fichário, com foto preto-e-branca. Ficha do IPHAN/ 13ª Coordenação Regional, assinada por Ronney Leite Brito, referente à Análise do Estado de Conservação do Acervo/ Museus Vinculados 13ª CR, datada de 17/01/1996.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
76,,202,"Oratório, de pousar (com esculturas religiosas)",05 Interiores > 05.5 Peça de Mobiliário,[Brasil],1828,[Caetano Luiz de Miranda],colagem | entalhe | escultura | madeira | marcenaria | papel | pintura | talcita,"1,05","0,33",,,,,,,,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
77,,205,Confessionário,04 Construção > 04.4 Fragmento de Construção,Brasil | Minas Gerais,Século XVIII,Não identificada,entalhe | fundição | madeira | metal | policromia | têmpera,"164,2","69,5 (base)  ",,"36,1",,,,"Confessionário, de estrutura verticalizada, confeccionado em madeira recortada e pintada, composto por janela em metal (folha de flandres). Objeto em tábua de madeira, tendo formato de balaústre, a parte central retangular e as extremidades com laterais em curva. Parte frontal do objeto encimada por cruz latina, tendo, logo abaixo, representação dos símbolos do martírio de Cristo pintados: três cravos pretos cruzados na extremidade inferior, entrelaçados por coroa de espinhos em tom verde escuro e circundados por sol com raios brancos e vermelhos. Peça pintada em tom azul claro ornada por friso branco (escurecido). Na parte central do objeto, janela em placa retangular de folha de flandres, com ornamentação vazada em estrelas e círculos, estes últimos compondo desenho de cruz latina (ao centro) e as letras “IHS” (em posição invertida). “Parte inferior com caveira e ossos pintados em tom marrom sobre piso em tom verde escuro. Peça apoiada sobre base em tripé escalonado. Parte posterior do objeto com representação da pomba do Divino Espírito Santo, pintada em branco e cinza, com bico vermelho, voando e tendo ao fundo sol amarelo com ornamentação em pontilhado branco e raios em tons vermelho, amarelo e branco. Na parte central, abaixo da tela em metal, chaves cruzadas pintadas em tom preto e amarradas por laço vermelho. Sob as chaves, estrutura de madeira com recorte sinuoso para apoio dos braços do confessor.” A procedência e forma de aquisição devem ser pesquisadas na documentação, já que há informações que a peça é procedente da Igreja do Carmo e da Antiga Igreja da Sé, de Diamantina. Em fichas anteriores, a peça consta como doada, mas a mesma surge no inventário de 1952 como comprada do Sr. Coimbra. (pesquisar posteriormente). Documentação encontrada no dossiê: 1) Ficha cadastral do Ministério da Educação e Cultura, datilografada e assinada pelo informante e pelo dirigente do órgão, Anto- nio Eugenio Nascimento e João Brandão Costa (respectivamente), datada de 06/12/1970. 2) Ficha cadastral do Ministério da Educação e Cultura, datilografada, com o nome do funcionário informante Sr. Antonio Eugenio Nascimento, datada de 11/11/1974. 3) Ficha amarela de fichário, que cita: “1 Confessionário de madeira pintado com 165x37 proc. da Igreja de N.S. do Carmo”, com foto preto-e-branca. Ficha datilografada do MEC/IPHAN, referente ao inventário de 1981, sem assinatura, com foto preto-e-branca. 5) Ficha de Catalogação de Acervo Museológico, registrada por Tânia Bravo Leite (1989) e revisada pela museóloga do Museu da Inconfidência, Celina Santos Barboza, em 1990 (ficha datilografada). 6) Ficha de Acervo Museológico GMCH/MG, em formato de fichário, assinada por Tânia Bravo Leite e por Celina Santos Barboza (1989/1990), com foto preto-e-branca. 7) Foto preto-e-branca (pequena). 8) Ficha do IPHAN/ 13ª Coordenação Regional, assinada por Ronney Leite Brito, referente à Análise do Estado de Conservação do Acervo/ Museus Vinculados 13ª CR, datada de 17/01/1996.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
78,Invocação a Nossa Senhora das Mercês,206,Pintura religiosa,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Diamantina | Minas Gerais,Século XVIII/XIX,Estanislau Antônio de Miranda (?),costura | pintura à têmpera | tecido | tinta,482,254,,,,,,Vide terceira folha (complementar) da ficha.,,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
79,,207,Mesa de refeição,05 Interiores > 05.5 Peça de Mobiliário,Minas Gerais,Século XVIII/XIX,Não identificada,madeira | marcenaria | torneado,"76,5","74,5",,,,,,"Mesa de refeição confeccionada em madeira. Apresenta tampo longilíneo e liso, de formato retangular, ligeiramente saliente, emoldurado por friso e com extremidades em ângulo reto. Caixa retangular apoiada sobre duas ripas de madeira. Caixa composta por faces retas e lisas. Peça sustentada por quatro pernas torneadas, compostas por frisos e duas estruturas de corte octogonal entremeadas por discos. Pés de formato cônico ornados por dois frisos, tendo a base reta. Não apresenta travejamento.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
80,,208,Oratório de pousar,05 Interiores > 05.5 Peça de Mobiliário,Brasil | Minas Gerais,Século XVIII,Não identificada,douramento | entalhe | folha de ouro | madeira | policromia | tinta,133,"68,5",,26,,,,"Oratório de pousar, de médio porte e manufatura erudita, confeccionado em madeira (cedro) entalhada, policromada e dourada, em estilo D. José I. Móvel com estrutura aberta na parte frontal, tendo frontão em rocalha, concheados e volutas com fundo em marmorizado nos tons azul, vermelho e marrom. Apresenta cimalha em leve curvatura ornado por dupla de frisos dourados. Laterais do móvel com as extremidades superior e inferior abauladas e divididas em três faces pintadas com fundo azul, contendo três molduras com fundo branco ornadas por volutas e motivos florais em tom azul. Parte frontal das laterais em marmorizado seguindo a mesma padronagem do frontão, emolduradas por friso dourado contendo folha de acanto na parte superior e rocalha na parte inferior, ambas em dourado. Perfil de camarim dourado ornado por volutas contrapostas e pequenas rocalhas. Parte interna do objeto incluindo teto, laterais e fundo em tom azulado ornado por rosinhas-de-malabar nos tons vermelho escuro e claro, castanho e com ramagens em tom azul e dourado, além de molduras em série de arcos decorados internamente por motivos florais em tinta preta sobre fundo esbranquiçado. (Cont. em OBSERVAÇÕES). Parte inferior interna do móvel composta por três peanhas unidas na base, em tom bege, com ornatos em relevo compostos por folha de acanto e volutas douradas. Da peanha central sobressai crucifico (sem o Cristo), dourado e raiado, com as três extremidades da cruz ornadas por volutas e frisos. Base da cruz ladeada por volutas contendo, na parte frontal, pequena peanha com a mesma padronagem decorativa. Base do oratório encimada por friso e com rocalha na parte central inferior, posicionada de forma invertida e ladeada por emolduramento com fundo em tom bege (tendo vestígios de bolo armênio), cercada por frisos dourados sobre fundo azulado. Peça apoiada sobre quatro pés recortados em curvas e arrematados por volutas douradas. Parte posterior do objeto em tábua lisa e removível com sistema de abertura através de quatro tramelas de madeira dispostas nas extremidades da tábua. Foram encontrados três dossiês referentes ao oratório n° 208 e seus complementos, como cruz e peanha (contendo numeração bipartida: 208 a; 208 b; 208 c). Toda documentação anterior foi unificada como “oratório de pousar” e os detalhes citados na . Medidas complementares: (Base) – H=24,0 cm; L=47,5 cm; (Cruz) – H=61,0 cm; L=34,5 cm. Documentação encontrada no dossiê: 1) Ficha cadastral do Ministério da Educação e Cultura, datilografada e assinada pelo informante e pelo dirigente do órgão, Antonio Eugenio Nascimento e João Brandão Costa (respectivamente), datada de 06/12/1970. 2) Ficha cadastral do MEC/ Iphan, datilografada, com o nome de Antonio Eugenio Nascimento, datada de 11/11/1974. 3) Ficha datilografada do MEC/IPHAN, referente ao inventário de 1981, sem assinatura, com foto preto-e-branca. 4) 03 Fichas de Catalogação de Acervo Museológico, registradas por Tânia Bravo Leite (1989) e revisadas pela museóloga do Museu da Inconfidência, Celina Santos Barboza, em 1989 (fichas datilografadas). 5) 03 Fichas de Acervo Museológico GMCH/MG, em formato de fichário, assinadas por Tânia Bravo Leite e por Celina Santos Barboza (1989/1991), cada uma com foto preto-e-branca. 6) Ficha do IPHAN/ 13ª Coordenação Regional, assinada por Ronney Leite Brito, referente à Análise do Estado de Conservação do Acervo/ Museus Vinculados 13ª CR, datada de 17/01/1996.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
81,Santo Sudário,209,Pintura religiosa,02 Artes Visuais/Cinematográfica > 02.6 Pintura,Brasil | Minas Gerais,Século XIX,Não identificada,costura | monocromia | pintura | tecido | tinta,244,"71,5",,,,,,"Pintura religiosa, biface, a têmpera sobre tecido, representando a parte frontal e a parte posterior do corpo de Cristo. Peça confeccionada em tecido (linho) bege pintada em tinta vermelha. Figura masculina, de meia-idade, em posição frontal e corpo inteiro, com cabelos semilongos, divididos ao meio, arrematados por cachos caídos sobre os ombros. Apresenta gotas de sangue escorrendo sobre a testa curta, sobrancelhas finas, olhos cerrados com cílios longos, nariz aquilino e escoriação na face, boca pequena cerrada, de lábios carnudos, barba e bigode levemente ondulados. Sobre os ombros, representação de sangue escorrendo sobre o peito e braços, tendo escoriação do lado esquerdo do peito. Tem os braços flexionados, com as mãos cruzadas sobre a barriga com as marcas da Crucificação e sangue escorrido. Traja perizônio com amarração lateral do tecido pendente do lado esquerdo da pintura.Pernas posicionadas paralelamente, tendo sangue escorrendo sobre as coxas e joelhos. Pés com dedos longilíneos com unhas bem delineadas, além de escoriações sobre cada pé. Na parte posterior do objeto, representação de costas do corpo de Cristo, com cabelos lisos e semilongos, levemente cacheados nas pontas, tendo sangue escorrendo sobre os ombros. Apresenta perizônio com amarração em tecido à direita da pintura. Braços flexionados. Pernas posicionadas paralelamente, contendo gotas de sangue escorrendo na parte superior, além das marcas das escoriações provenientes da Crucificação no peito dos pés. Medidas complementares: H (bainha superior)=3,5 cm; H (bainha inferior)=4,0 cm. O objeto apresenta as mesmas características estilísticas do artista que pintou a “Verônica”, de nº de registro 0719, também proveniente da Igreja da Luz, em Diamantina (MG) – pesquisar. Documentação encontrada no dossiê: 1) Ficha datilografada do MEC/IPHAN, referente ao inventário de 1981, sem assinatura, com foto preto-e-branca. 2) Foto preto-e-branca (8 x 12 cm). 3) Ficha de Acervo Museológico GMCH/MG, em formato de fichário, assinada por Tânia Bravo Leite e por Celina Santos Barboza (1989/1991), com foto preto-e-branca. 4) Ficha datilografada, datada de 28/11/1989. 5) Ficha cadastral do MEC/ Iphan, datilografada, assinada pelo funcionário Antonio Eugenio Nascimento e pelo dirigente do órgão, João Brandão Costa, datada de 06/12/1970. 6) Ficha do IPHAN/ 13ª Coordenação Regional, assinada por Ronney Leite Brito, referente à Análise do Estado de Conservação do Acervo/ Museus Vinculados 13ª CR, datada de 17/01/1996.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
82,Nossa Senhora do Rosário,210,Nossa Senhora,02 Artes Visuais/Cinematográfica > 02.3 Escultura,Índia Portuguesa,Século XVIII,Não identificada,douramento | escultura | folha de ouro | marfim | pintura | tinta,"24,4","8,8",,"7,7",,,,"Escultura religiosa, de médio porte e manufatura erudita, confeccionada em marfim policromado e dourado, representando Nossa Senhora do Rosário. Figura feminina, jovem, de pé, em posição frontal, de cabelos longos, estriados e partidos ao meio, em tom castanho escuro, com mechas caídas sobre os ombros e corte oval nas costas, tendo ondulamento na parte frontal sobre a testa curta. Apresenta rosto oval, orelhas parcialmente aparentes, sobrancelhas em tom castanho, olhos e cílios pintados em tom castanho claro, nariz aquilino, maçãs do rosto rosadas e boca pequena cerrada com lábios em tom vermelho. Traja túnica longa, em tom vermelho claro, cintada, de mangas compridas e gola arredondada, ornada com motivos fitomorfos dourados e pregas verticais bem marcadas. Túnica sobreposta por manto com a parte externa em tom verde escuro ornada por motivos fitomorfos dourados, e a parte interna em tom azul claro com motivos florais dourados. Tem seu braço direito estendido para baixo segurando na mão um rosário dourado com vinte e sete contas aparentes e uma cruz na extremidade. Com seu braço esquerdo flexionado segura o Menino Jesus, representado através de figura de criança, sentada, de cabelos estriados e dourados, tendo rosto oval, olhos pequenos, nariz arrebitado, maçãs do rosto rosadas e boca em tom vermelho. (Cont. em Observações).Traja túnica longa, de mangas compridas, cintada, com ornatos em motivos fitomorfos dourados. Pés calçados com sapatos escuros. Tem seu braço esquerdo flexionado segurando com a mão o globo terrestre, em tom azul, e seu braço direito flexionado e direcionado à frente com dois dedos estendidos para cima, em atitude de benção aos fiéis. Aos pés de Nossa Senhora, lua crescente em tom amarronzado. Ambos apresentam orifício no alto da cabeça para encaixe de coroas (inexistentes). Imagem apoiada sobre base octogonal escalonada com faces abauladas e pintura em escaiola, nos tons verde, bege e vermelho, com friso dourado. Documentação encontrada no dossiê: 1) Ficha datilografada do MEC/SPHAN, referente ao inventário de 1981, sem assinatura e sem foto. 2) 01 foto colorida. 3) Ficha de Acervo Museológico GMCH/MG, em formato de fichário, assinada por Tânia Bravo Leite e por Celina Santos Barboza (1989/1991). 4) Ficha do IPHAN/ 13ª Coordenação Regional, assinada por Ronney Leite Brito, referente à Análise do Estado de Conservação do Acervo/ Museus Vinculados 13ª CR, datada de 17/01/1996.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
83,São Domingos de Gusmão,211,Santo,02 Artes Visuais/Cinematográfica > 02.3 Escultura,Brasil | Minas Gerais,Século XVIII,Não identificada,douramento | entalhe | folha de ouro | madeira | policromia | tinta,23,"8,3 (base)  ",,"6,0 (base)  ",,,,"Escultura religiosa, de pequeno porte, representando São Domingos de Gusmão, confeccionada em madeira (cedro) entalhada, policromada e dourada. Figura masculina, jovem, de pé, em posição frontal, com cabelos castanhos em tonsura, orelhas aparentes, e testa larga. Apresenta olhos pretos de vidro, nariz pequeno, rosto oval, bochechas rosadas, carnação em tons bege e róseo (repintura), e boca pequena fechada com lábios em tom vermelho. Traja túnica bege com frisos nos tons preto e vermelho, com panejamento pouco movimentado, sobreposta por manto preto com capuz, ornado pro motivos florais e fitomorfos em dourado, na técnica do esgrafito. Braço esquerdo flexionado lateralmente e braço direito segurando livro de capa vermelha e folhas amarelas. Pés calçados com sapatos pretos, tendo o pé esquerdo levemente voltado para trás. Escultura apoiada sobre base octogonal, pintada em marmorizado nos tons marrom claro, vermelho e bege.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
84,,212,Máquina de escrever com estojo,10 Comunicação > 10.2 Equipamento de Comunicação Escrita,Connecticut | EUA,Século XIX,Blickensderfer (USA),couro | curtigem | entalhe | fundição | madeira | metal,"11,5",32,,21,,,,"Máquina de escrever confeccionada em metal (aço e latão) contendo teclado sobre chapa de metal, composto por vinte e nove teclas circulares com letras do alfabeto e acentos, ligados à estrutura da máquina através de hastes chapadas, além de botão de espaçamento disposto na parte frontal. Parte central com a marca do fabricante em etiqueta de metal, com a inscrição: “N° 6/ BLICKENSDERFER/ STAMFORD, CONN./ U.S.A.”. Na parte superior, tambor cilíndrico com letras e números em relevo e disco denteado. Peça com rolo delgado para encaixe do papel. A peça apresenta estojo em caixa de madeira, com alça em couro e gancho para nas laterais para fechamento. Tampa do estojo fixada por duas dobradiças de metal.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
85,,213,Máquina de escrever com estojo,10 Comunicação > 10.2 Equipamento de Comunicação Escrita,EUA,Século XIX,Yost (USA),couro | curtigem | entalhe | fundição | madeira | metal,25,35,,24,,,,"Máquina de escrever confeccionada em metal composta por chapa retangular na base, com as extremidades abauladas que se apóiam sobre quatro pés cilíndricos. Apresenta teclado com botões pretos e brancos, distribuídos da seguinte forma: trinta teclas em tom claro na parte frontal, trinta teclas pretas na parte central e dezoito teclas em tom claro com números e símbolos gráficos na parte superior. Na parte superior da peça, estrutura abaulada, em tom preto, com o nome do fabricante: “YOST” em letras prateadas. Apresenta círculo na parte central superior com tambor que aciona o sistema de registro do texto. Na extremidade superior, cilindro delgado para encaixe do papel contendo régua dourada. Apoio para a folha de papel em estrutura recortada, com a inscrição “YOST N° 4”. Estojo em madeira com forração em papelão e tecido na parte interna, contendo alça em couro e sistema de tranca em fechadura retangular de metal. Sem chave.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
86,,214,Palmatória,05 Interiores > 05.4 Objeto de Iluminação,Brasil,Século XIX,Não identificada,fundição | metal,"11,6",,,," 10,5 (base)  ",,,"Palmatória confeccionada em metal amarelo (latão), composta por arandela circular, tendo corpo cilíndrico com frisos em meia-cana e simples, estrangulamento e base circular escalonada. Apresenta alça em anel com dois prolongamentos, fixada à estrutura da base através de dois parafusos.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
87,,215,Palmatória,05 Interiores > 05.4 Objeto de Iluminação,Brasil,Século XIX,Não identificada,fundição | metal,12,,,," 10,5 (base)  ",,,"Palmatória confeccionada em metal amarelo (latão), composta por arandela circular, tendo corpo cilíndrico com frisos em meia-cana e simples, estrangulamento e base circular escalonada. Apresenta alça em anel com dois prolongamentos, fixada à estrutura da base através de dois parafusos.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
88,,216,Cilício,13 Castigo/Penitência > 13.1 Instrumento de Autopenitência,Brasil,Século XVIII/XIX,Não identificada,fundição | metal,,7,,,,,,"Cilício confeccionado em metal dourado, de estrutura em corrente composta por oitenta e três semicírculos entrelaçados através de extremidades retorcidas e terminadas em pontas (para a autopenitência). Uma das extremidades do objeto é arrematada por gancho para encaixe da argola existente na outra extremidade.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
89,,217,Salva,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[Brasil],Século XIX,Não identificada,cinzelagem | fundição | martelagem | metal,4,,,,22,,,"Salva, de médio porte, confeccionada em metal (prata) martelada e cinzelada. Objeto de formato circular, ornada ao centro por friso em triângulos seriados e por frisos perolados, intercalados por motivos fitomorfos e linhas. Apresenta friso na parte interna da borda com motivos fitomorfos circundados por friso perolado, além de friso com pequenos traços verticais seriados e cercados por outros frisos com ornamentação em motivos geométicos (triângulos) e espécie de trevos. Peça apoiada sobre três pés em gomos ladeados por volutas, tendo duas flores em relevo. Fundo do objeto liso, com o monograma gravado: “ARS”. Apresenta punção: “SOS 10” inserida em retângulo incavo na borda.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
90,,218,Castiçal,05 Interiores > 05.4 Objeto de Iluminação,Europa | Porto | Portugal,Século XIX,Prateiro da cidade do Porto,cinzelagem | fundição | metal,24,"11,0 (base)  ",,,,,,"Castiçal confeccionado em metal (prata) composto por arandela circular, ornada por friso em semicírculos com motivo floral gravado e com friso ornado por motivos geometrizados dispostos em linha. Haste do objeto composta por bolachas, frisos, discos e estrangulamentos, decorados por motivos fitomorfos e florais e frisos em torsado. Apresenta parte inferior do objeto em estrutura circular escalonada apoiada sobre base quadrangular com as extremidades abauladas e com folhagens gravadas na superfície, tendo ainda saia recortada em volutas e prolongamento das folhagens. Base apoiada sobre quatro patas de felinos.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
91,,219,Guampa,12 Objetos Pessoais > 12.4 Artigo de Viagem/Campanha,[Brasil],Século XIX,Não identificada,cinzelagem | fundição | gravação | metal,20,"11,2",,," 7,0 (base)  ",,,"Guampa confeccionada em metal (prata) de corpo cilíndrico contendo a parte superior mais larga. Apresenta alça em volutas contrapostas, dispostas duas de cada lado, fixadas ao copo por dois rostos de figuras grotescas, em relevo, com franja em cinco gomos, duas marcas de expressão na testa, olhos pequenos e esbugalhados, nariz achatado, bigode e barba, além de boca aberta com língua aparente. Rostos fixados a uma chapa delgada e circular ornada com frisos simples e posicionada próxima à boca do copo. Na parte superior do copo, ornatos em linha contendo motivos florais e ramagens gravados. Alça encimada por argola de onde sobressai corrente em metal prateado. Parte interna em prata lisa. Base circular e reta.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
92,,220,Galheteiro,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,Não identificada,Século XIX/XX,Não identificada,fundição | gravação | metal,"28,3","16,5",,8,,,,"Galheteiro incompleto confeccionado em metal com folha de prata, de estrutura verticalizada, composto por alça com laterais ligeiramente voltada para fora, tendo a parte superior abaulada e arrematada por pino em esfera. Nas extremidades superiores, ornamentação em arco. Parte interna do objeto ornada por dois motivos fitomorfos estilizados, tendo extremidade inferior da alça terminada em ponta, e apresentando ornatos esféricos nas extremidades. Objeto composto por haste decorada com motivos fitomorfos e quatro gomos, friso simples e ornatos em linhas sinuosas. Parte inferior do objeto com quatro anéis vazados (para encaixe das galhetas e recipientes – inexistentes), além de haste delgada que une estrutura em três discos, dois deles com frisos e quatro pés (dois em cada disco) em formato de medalhão ornado por concha estilizada. Apresenta marca do prateiro inserida em losango, disposta na parte interna dos pés: “I/9/1/Rd/o”. No fundo dos discos da parte inferior, o número de série gravado: “6157”.",,,museudodiamante_-_acervo-museologico,https://museudodiamante.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11603/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11603
