,Número de registro,Outros números,Situação,Denominação,Título,Autor,Classificação,Resumo descritivo,Dimensões - altura,Dimensões - largura,Dimensões - profundidade/comprimento,Dimensões - diâmetro,Dimensões - peso,Material/Técnica,Local de produção,Data de produção,ACERVO,URL,TAINACAN_COLECTION_ID
9,MCP0303,,Localizado,Fragmento,,Não identificado,04 Construção > 04.4 Fragmento de Construção,Fragmento em madeira torneada em formato circular com cavidade e ponta para encaixe,18.5,14.0,,,,Madeira > Madeira Torneada,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
10,MCP0305,,Localizado,Voluta,,Não identificado,04 Construção > 04.4 Fragmento de Construção,Voluta em madeira torneada com três partes com uma das extremidades em formato quadrado com encaixe,86.5,16.0,,,,Madeira > Madeira Torneada,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
11,MCP0306,,Localizado,Voluta,,Não identificado,04 Construção > 04.4 Fragmento de Construção,Voluta em madeira torneada com cinco partes e algumas partes com talhes,86.5,14.0,,,,Madeira > Madeira Torneada,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
12,MCP0307,,Localizado,Voluta,,Não identificado,04 Construção > 04.4 Fragmento de Construção,Voluta em madeira torneada com sete partes com a parte central decorada com seis discos,1.74,16.0,,,,Madeira > Madeira Torneada,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
13,MCP0309,,Localizado,Banco,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Banco em madeira clara, pés e laterais recortados em curvas e contra curvas presas a estrutura por encaixe e pregos . Assento retangular formado por dois dois pedaços de madeira presos a estrutura por pregos.",123.0,221.5,,,,Madeira | Metal,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
14,MCP0310,,Localizado,Disco de Vinil,Caboclo Continental,Não identificado,10 Comunicação > 10.3 Equipamento de Comunicação Sonora/Visual,"Disco de vinil formado circular na cor preta, contendo papel circular (menor) na cor amarela com um furo no centro.",,,,30,,Plástico,Brasil > São Paulo,Século XX > 1975,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
15,MCP0311,,Localizado,Crânio de Veado,,Não identificado,16 Amostras/Fragmentos,crânio com chifres de cabeça de veado . Chifre esquero com 3 pontas e direito com 2 pontas,30.5,18.5,,,,Matéria Orgânica > Osso,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
16,MCP0312,,Localizado,Crânio de Veado,,Não identificado,16 Amostras/Fragmentos,Parte superio do crânio com chifres orifício circular nas laterais e mandíbula superio com 4 dentes do lado esquerdo e 3 do lado direito .,8.5,8.0,,,,Matéria Orgânica > Osso,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
17,MCP0313,,Localizado,Crânio de Veado,,Não identificado,16 Amostras/Fragmentos,Parte superio do crânio com chifres .,12.5,7.0,,,,Matéria Orgânica > Osso,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
18,MCP0314,,Localizado,Crânio de Macaco,,Não identificado,16 Amostras/Fragmentos,"Parte superior do crânio de mamífero da família primata, com as cavidades oculares e fossa nasal bem preservadas , caninos frontais 11 dentes",4.5,6.5,,,,Matéria Orgânica > Osso,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
19,MCP0315,,Localizado,Crânio Felino,,Não identificado,16 Amostras/Fragmentos,"Crânio de felino com parte superio e inferio separadas, com as partes inferiores das cavidades oculares, cavidade nassal com 7 dentes. Parte inferior da mandíbula 8 dentes.",8.0,13.5,,,,Matéria Orgânica > Osso,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
20,MCP0316,,Localizado,Mandíbula de Porco,,Não identificado,16 Amostras/Fragmentos,Mandíbula inferior animal na cor marrom com 9 dentes e 2 pressas.,7.0,16.5,,,,Matéria Orgânica > Osso,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
21,MCP0318,,Localizado,Conjunto de 2 Dentes,,Não identificado,16 Amostras/Fragmentos,"- Dente (presa) levemente curvado. Altura 5 / Largura 1.5 / Profundidade 1.5 

- Dente (presa) em formado de lua crescente. Altura 8 / Largura 6.5 / Profundidade 1.5",,,,,,Matéria Orgânica > Osso,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
22,MCP0319,,Localizado,Crânio de Jacaré,,Não identificado,16 Amostras/Fragmentos,"crânio de jacaré pintada de branco, dividido em duas partes, com 26 dentes na parte inferior e 28 na parte superior",24.5,31.0,,,,Matéria Orgânica > Osso,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
23,MCP0322,,Localizado,Conjunto de 3 Chifres de Animais,,Não identificado,16 Amostras/Fragmentos,"Conjunto de 3 Chifres de Animais, peças distintas.",,,,,,Couro | Metal | Matéria Orgânica > Osso,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
24,MCP0323,,Localizado,Cachimbo,,Não identificado,12 Objetos Pessoais > 12.2 Artigo de Tabagismo,Cachimbo em duas partes com cabo separado de madeira,3.0,2.0,,,,Rocha > Argila | Madeira,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
25,MCP0324,,Localizado,Cachimbo,,Não identificado,12 Objetos Pessoais > 12.2 Artigo de Tabagismo,Cachimbo em duas partes com cabo separado de tubo de caneta envolto por fita isolante preta. Parte onde se cologa o fumo encontra-se com perda.,2.5,3.0,,,,Rocha > Argila | Plástico,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
26,MCP0325,,Localizado,Cachimbo,,Não identificado,12 Objetos Pessoais > 12.2 Artigo de Tabagismo,Cachimbo de madeira torneado com orifícios nas extremidades e detalhes decorativos talhados,2.5,1.5,,,,Madeira,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
27,MCP0326,,Localizado,Cachimbo,,Não identificado,12 Objetos Pessoais > 12.2 Artigo de Tabagismo,Cachimbo de madeira torneado com orifícios nas extremidades e detalhes decorativos talhados,3.5,3.0,,,,Madeira,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
28,MCP0327,,Localizado,Cachimbo,,Não identificado,12 Objetos Pessoais > 12.2 Artigo de Tabagismo,Cachimbo de barro com pontas queimadas e perdas nas extremidades,2.5,3.5,,,,Rocha > Argila,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
29,MCP0328,,Localizado,Cachimbo,,Não identificado,12 Objetos Pessoais > 12.2 Artigo de Tabagismo,Parte de cachimbo de barro com perda grande no cabo e na borda. Elemento decorativo ao redor da boca e no cabo.,3.5,3.5,,,,Rocha > Argila,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
30,MCP0330,,Localizado,Cachimbo,,Não identificado,12 Objetos Pessoais > 12.2 Artigo de Tabagismo,Cachimbo de barro com elemento decorativo nas bordas,3.0,2.5,,,,Rocha > Argila,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
31,MCP0331,,Localizado,Cachimbo,,Não identificado,12 Objetos Pessoais > 12.2 Artigo de Tabagismo,Cachimbo de barro liso,3.0,3.5,,,,Rocha > Argila,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
32,MCP0336,,Localizado,Cachimbo,,Não identificado,12 Objetos Pessoais > 12.2 Artigo de Tabagismo,Parte de cabo de cachimbo com decoração de linhas circulares,2.5,3.0,,,,Rocha > Argila,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
33,MCP0337,,Localizado,Cachimbo,,Não identificado,12 Objetos Pessoais > 12.2 Artigo de Tabagismo,Cachimbo de barro com duas faixas decorativas Detalhe decorativo orlando a extenção do Cachimbo,2.5,3.0,,,,Rocha > Argila,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
34,MCP0339,,Localizado,Cachimbo,,Não identificado,12 Objetos Pessoais > 12.2 Artigo de Tabagismo,Cachimbo de barro com decoração de lementos fitomorfos . Detalhe decorativo orlando parte de baixo do Cachimbo,3.0,3.0,,,,Rocha > Argila,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
35,MCP0342,,Localizado,Conjunto de 9 cachimbos,,Não identificado,12 Objetos Pessoais > 12.2 Artigo de Tabagismo,"Conjunto de 9 cachimbos, fragmento dos mesmos, não identificados e documentados.",,,,,,Rocha > Argila,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
36,MCP0343,,Localizado,Ovo,,Não identificado,16 Amostras/Fragmentos,ovo oco com perda na área central,12.5,,,29,,Não identificado,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
37,MCP0344,,Localizado,Ovo,,Não identificado,16 Amostras/Fragmentos,ovo oco com perda na área inferior,12.5,,,29.5,,Não identificado,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
38,MCP0345,,Localizado,Casa de João de Barro,,Não identificado,16 Amostras/Fragmentos,"ninho de barro em formado redondo sobre galho com duas pontas, entarda do ninho em forma oval",26.0,25.0,,,,Rocha > Argila | Madeira,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
39,MCP0346,,Localizado,Colmeia,,Não identificado,16 Amostras/Fragmentos,colmeia de abelha em forma de sino com entradas nas extremidades da parte superior,21.5,27.0,,,,Cera,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
40,MCP0347,,Localizado,Casa de Marimbondo,,Não identificado,16 Amostras/Fragmentos,casa de marimbondo em formado irregular com um orifício de entrada e galho de 3 pontas presso a casca .,9.5,8.0,,,,Cera | Madeira | Terra,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
41,MCP0348,,Localizado,Colmeia,,Não identificado,16 Amostras/Fragmentos,colmeia em formado irregula com entradas nas extremidades da parte superior. Abertura vertical.,25.0,16.0,,,,Rocha > Argila | Cera,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
42,MCP0377,,Localizado,Moeda,,Não identificado,03 Objetos Pecuniários,"Moeda circular, de metal, prateada. Anverso: Figura humana de perfil, com a inscrição: BRASIL. Reverso: com inscrições 1 CRUZEIRO 1970 e, ao lado, elementos fitomorfos. Bordo serrilhado.",,,,2.8,,Metal,Brasil,Século XX > 1970,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
43,MCP0378,,Localizado,Moeda,,Não identificado,03 Objetos Pecuniários,"Moeda circular, de metal. Anverso desgatado: Figura humana de perfil, com a inscrição: BRASIL. Reverso: com inscrições 1 CRUZEIRO 1976 e, ao lado, elementos fitomorfos. Bordo serrilhado.",,,,2.8,,Metal,Brasil,Século XX > 1976,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
44,MCP0379,,Localizado,Moeda,,Não identificado,03 Objetos Pecuniários,"Moeda circular, de metal, prateada. Anverso: Figura humana de perfil, com a inscrição: BRASIL. Reverso: com inscrições 1 CRUZEIRO 1975 e, ao lado, elementos fitomorfos. Bordo serrilhado.",,,,2.8,,Metal,Brasil,Século XX > 1975,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
45,MCP0380,,Localizado,Moeda,,Não identificado,03 Objetos Pecuniários,"Moeda circular, de metal, prateada. Anverso: Figura humana de perfil, com a inscrição: BRASIL. Reverso: com inscrições 1 CRUZEIRO 1976 e, ao lado, elementos fitomorfos. Bordo serrilhado.",,,,2.8,,Metal,Brasil,Século XX > 1976,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
46,MCP0381,,Localizado,Moeda,,Não identificado,03 Objetos Pecuniários,"Moeda circular, de metal, prateada. Anverso: Figura humana de perfil, com a inscrição: BRASIL, desgastado. Reverso: com inscrições 1 CRUZEIRO 1970 e, ao lado, elementos fitomorfos. Bordo serrilhado.",,,,2.8,,Metal,Brasil,Século XX > 1970,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
47,MCP0382,,Localizado,Moeda,,Não identificado,03 Objetos Pecuniários,"Moeda circular, de metal, prateada. Anverso: Figura humana de perfil, com a inscrição: BRASIL. Reverso: com inscrições 1 CRUZEIRO 1976 e, ao lado, elementos fitomorfos. Bordo serrilhado.",,,,2.8,,Metal,Brasil,Século XX > 1976,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
48,MCP0383,,Localizado,Objeto Não Localizado,,Não identificado,,,,,,,,Não identificado,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
49,MCP0384,,Localizado,Moeda,,Não identificado,03 Objetos Pecuniários,"Moeda circular, de metal, prateada. Anverso: Figura humana de perfil, com a inscrição: BRASIL. Reverso: com inscrições 1 CRUZEIRO 1970 e, ao lado, elementos fitomorfos. Bordo serrilhado.",,,,2.8,,Metal,Brasil,Século XX > 1970,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
50,MCP0385,,Localizado,Moeda,,Não identificado,03 Objetos Pecuniários,"Moeda circular, de metal, prateada. Anverso: Figura humana de perfil, com a inscrição: BRASIL. Reverso: com inscrições 1 CRUZEIRO 1976 e, ao lado, elementos fitomorfos. Bordo serrilhado.",,,,,,Metal,Brasil,Século XX > 1974,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
51,MCP0386,,Localizado,Moeda,,Não identificado,03 Objetos Pecuniários,"Moeda circular, de metal, prateada. Anverso: Figura humana de perfil, com a inscrição: BRASIL. Reverso: com inscrições 1 CRUZEIRO 1975 e, ao lado, elementos fitomorfos. Bordo serrilhado.",,,,2.8,,Metal,Brasil,Século XX > 1975,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
52,MCP0387,,Localizado,Moeda,,Não identificado,03 Objetos Pecuniários,"Peça circular metálica na cor prata, anverso: brasão de armas da república do Brasil, ao redor escrita ""REPUBLICA DOS ESTADOS UNIDOS DO BRASIL"" PORÉM ALGUMAS LETRAS ILEGÍVEIS, borda cerrilhada, verso: ""1 CRUZEIRO"" e abaixo uma data (1959).",,,,2.2,,Metal,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
53,MCP0388,,Localizado,Moeda,,Não identificado,03 Objetos Pecuniários,"Moeda de 50 Cruzeiros, em metal prateado, com bordo liso, contendo no verso inscrições e detalhe da Bandeira Nacional. No anverso, inscrições e figura da baiana.",,,,"2,3",,Metal,Brasil,Século XX > 1991,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
54,MCP0389,,Localizado,Moeda,,Não identificado,03 Objetos Pecuniários,"Moeda de 50 Cruzeiros, em metal prateado, com bordo liso, contendo no verso inscrições e detalhe da Bandeira Nacional. No anverso, inscrições e figura da baiana.",,,,"2,3",,Metal,Brasil,Século XX > 1991,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
55,MCP0390,,Localizado,Moeda,10 francos,Não identificado,03 Objetos Pecuniários,"Moeda de metal com miolo prateado, rodeado de metal dourado com a inscrição ¨LIBERTE, EGALITE, FRATERNITE¨ no anverso e figura humana alada com tocha e a inscrição RF no verso",,,,2.8,,Metal > Metal Cunhado,Não identificado,Século XX > 1990,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
56,MCP0391,,Localizado,Moeda,,Não identificado,03 Objetos Pecuniários,"Moeda de 50 pesos, em metal dourado escurecido, com bordo sextavado, contendo no verso inscriçõe e decorações em motivos fitomórficos. No anverso, inscrições e efígie de B. O. Higgins.",,,,"2,5",,Metal,Chile,Século XX > 1999,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
57,MCP0392,,Localizado,Moeda,,Não identificado,03 Objetos Pecuniários,"Moeda de 50 centavos de Cruzeiro, em metal prateado, contendo no verso representação da indústria naval e, no anverso, efígie da República e dístico Brasil.",,,,"2,2",,Metal,Brasil,Século XX > 1970,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
58,MCP0393,,Localizado,Moeda,,Não identificado,03 Objetos Pecuniários,"Moeda de 50 centavos de Cruzeiro, em metal prateado, contendo no verso representação da indústria naval e, no anverso, efígie da República e dístico Brasil.",,,,"2,2",,Metal,Brasil,Século XX > 1978,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
59,MCP0394,,Localizado,Moeda,,Não identificado,03 Objetos Pecuniários,"Moeda de 50 centavos de Cruzeiro, em metal prateado, contendo no verso representação da indústria naval e, no anverso, efígie da República e dístico Brasil.",,,,"2,2",,Metal,Brasil,Século XX > 1970,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
60,MCP0395,,Localizado,Moeda,,Não identificado,03 Objetos Pecuniários,"Moeda de 50 centavos de Cruzeiro, em metal prateado, contendo no verso representação da indústria naval e, no anverso, efígie da República e dístico Brasil.",,,,"2,2",,Metal,Brasil,Século XX > 1978,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
61,MCP0396,,Localizado,Moeda,,Não identificado,03 Objetos Pecuniários,"Moeda de 50 centavos de Cruzeiro, em metal prateado, contendo no verso representação da indústria naval e, no anverso, efígie da República e dístico Brasil.",,,,"2,2",,Metal,Brasil,Século XX > 1978,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
62,MCP0397,,Localizado,Moeda,,Não identificado,03 Objetos Pecuniários,"Moeda de 50 centavos de Cruzeiro, em metal prateado, contendo no verso representação da indústria naval e, no anverso, efígie da República e dístico Brasil.",,,,"2,2",,Metal,Brasil,Século XX > 1978,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
63,MCP0398,,Localizado,Moeda,,Não identificado,03 Objetos Pecuniários,"Peça circular metálica na cor prata, anverso: traçado do plano pilto de Brasília e acima dele inscrição ""BRASIL""; bordo liso; verso: inscrição ""50 CRUZEIROS 1982"".",,,,2.7,,Metal,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
64,MCP0399,,Localizado,Moeda,,Não identificado,03 Objetos Pecuniários,"Peça circular metálica na cor prata, anverso: traçado do plano pilto de Brasília e acima dele inscrição ""BRASIL""; bordo liso; verso: inscrição ""50 CRUZEIROS 1983"".",,,,2.7,,Metal,Não identificado,Não identificada,museusibramgoias_-_museu-casa-da-princesa,https://museusibramgoias.acervos.museus.gov.br/wp-json/tainacan/v2/collection/1227/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,1227
