,Outros números,Denominação,Título,Autor,Resumo descritivo,Material/Técnica,Classificação,Data de produção,Local de produção,Condições de reprodução,ACERVO,URL,TAINACAN_COLECTION_ID
84,T 1593,Prato Raso,,Não identificado,"Prato raso em louça branca; Bordas recortadas de forma ondulante, faixa pintada em dourado; Ao centro do prato, borda circular mais profunda, marcada por fina faixa, também pintada em dourada; Ao centro do fundo do prato, monograma com as iniciais do proprietário da peça – JJTL.",Cerâmica | Pó de Ouro,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
85,T 1625,Prato Raso,,Não identificado,"Prato raso em louça branca; Bordas recortadas de forma ondulante, faixa pintada em dourado; Ao centro do prato, borda circular mais profunda, marcada por fina faixa, também pintada em dourada; Ao centro do fundo do prato, monograma com as iniciais do proprietário da peça – JJTL.",Cerâmica | Pó de Ouro,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
86,T 1552,Prato Raso,,Não identificado,"Prato raso em louça branca; Bordas recortadas de forma ondulante, faixa pintada em dourado; Ao centro do prato, borda circular mais profunda, marcada por fina faixa, também pintada em dourada; Ao centro do fundo do prato, monograma com as iniciais do proprietário da peça – JJTL.",Cerâmica | Pó de Ouro,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
87,T 1732,Prato Raso,,Não identificado,"Prato raso. Porcelana branca; Bordas irregulares, ondulante, com pintura decorativa em verde e dourado que lembram motivos florais; Na parte superior da aba, pintura decorativa de ramos em tons de verde e amarelo, onde do lado direito observa-se folhas e frutos do café e do lado esquerdo folhagem tipo capim com uma flor amarela ao topo. No centro laço rosa unindo os dois lados dos ramos. No centro do ramo esta monograma com as iniciais “L.C.C.”, de Laureano Correia e Castro; Friso dourado na elevação entre o fim da aba e o inicio da parte mais funda do prato.",Cerâmica | Pó de Ouro | Tinta,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
88,T 1614,Prato Raso,,Não identificado,"Prato raso em louça branca; Bordas recortadas de forma ondulante, faixa pintada em dourado; Ao centro do prato, borda circular mais profunda, marcada por fina faixa, também pintada em dourada; Ao centro do fundo do prato, monograma com as iniciais do proprietário da peça – JJTL.",Cerâmica | Pó de Ouro,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
89,T 1671,Prato Raso,,Não identificado,"Prato raso em louça branca; Bordas recortadas de forma ondulante, faixa pintada em dourado; Ao centro do prato, borda circular mais profunda, marcada por fina faixa, também pintada em dourada; Ao centro do fundo do prato, monograma com as iniciais do proprietário da peça – JJTL.",Cerâmica | Pó de Ouro,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
90,T 1591,Prato Raso,,Não identificado,"Prato raso em louça branca; Bordas recortadas de forma ondulante, faixa pintada em dourado; Ao centro do prato, borda circular mais profunda, marcada por fina faixa, também pintada em dourada; Ao centro do fundo do prato, monograma com as iniciais do proprietário da peça – JJTL.",Cerâmica | Pó de Ouro,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
91,T 1346,Xícara,,Não identificado,"Xícara em porcelana branca, desenhos decorativos geométricos em dourado e azul e ramo de flores em rosa e verde; friso dourada na base da xícara e na borda; alça curvilínea em branco e detalhe dourado.",Cerâmica | Pó de Ouro | Tinta,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
92,T 1569,Prato Raso,,Não identificado,"Prato raso em louça branca; Bordas recortadas de forma ondulante, faixa pintada em dourado; Ao centro do prato, borda circular mais profunda, marcada por fina faixa, também pintada em dourada; Ao centro do fundo do prato, monograma com as iniciais do proprietário da peça – JJTL.",Cerâmica | Pó de Ouro,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
93,T 1490,Prato Fundo,,Não identificado,"Prato raso em louça branca; Bordas recortadas de forma ondulante, faixa pintada em dourado; Ao centro do prato, borda circular mais profunda, marcada por fina faixa, também pintada em dourada; Ao centro do fundo do prato, monograma com as iniciais do proprietário da peça – JJTL.",Cerâmica | Pó de Ouro,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
94,,Travessa,,Não identificado,"Travessa em porcelana branca; Oval; Borda com friso dourado; Aba ricamente decorado com motivos florais, o desenho é em auto relevo e circula toda a peça sendo interrompido apenas para dar lugar ao monograma com as letras C de A. pintado em dourado; Desnível entre a aba e o fundo da travessa, dando profundidade a peça; Fundo da peça em branco.",Cerâmica | Pó de Ouro | Tinta,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
95,T 1646,Prato Raso,,Não identificado,"Prato raso em louça branca; Bordas recortadas de forma ondulante, faixa pintada em dourado; Ao centro do prato, borda circular mais profunda, marcada por fina faixa, também pintada em dourada; Ao centro do fundo do prato, monograma com as iniciais do proprietário da peça – JJTL.",Cerâmica | Pó de Ouro,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
0,,Travessa,,Não identificado,"Travessa em porcelana branca; Oval; Borda com friso dourado; Aba ricamente decorado com motivos florais, o desenho é em auto relevo e circula toda a peça sendo interrompido apenas para dar lugar ao monograma com as letras C de A. pintado em dourado; Desnível entre a aba e o fundo da travessa, dando profundidade a peça; Fundo da peça em branco.",Cerâmica | Pó de Ouro | Tinta,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
1,,Sopeira,,Não identificado,"Sopeira com tampa em bandeja de suporte; Porcelana branca; Bandeja com forma elíptica, friso dourado em toda a borda, logo após pintura em alto relevo com motivos florais, com galhos e flores, ao centro de ambos os lados monograma em dourado com as inicias C de A. Em cada extremidade relevo formando alça, trabalhado com ondulações e peão ao centro, tudo recoberto em dourado. Ao centro da bandeja circulo em alto relevo para encaixe da sopeira; Sopeira com base redonda e borda dourada, seguido do mesmo motivo decorativo. Haste afunilando logo acima da base e tornando a abrir para dar lugar ao recipiente. Redondo e abaulado com os mesmo motivos decorativos, ao centro – em ambos os lados – monograma do proprietário em dourado, ao final borda em dourado. Nas duas extremidades opostas alças em alto relevo com peão ao centro, toda decorada em dourado; Tampa com borda dourada e mesmo padrão decorativo, incluindo o monograma. No topo puxador em forma de peão, com bordas recortadas, pintado em dourado e pequenos frisos pintados em preto.",Cerâmica | Pó de Ouro | Tinta,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
2,T 1647,Prato Raso,,Não identificado,"Prato raso em louça branca; Bordas recortadas de forma ondulante, faixa pintada em dourado; Ao centro do prato, borda circular mais profunda, marcada por fina faixa, também pintada em dourada; Ao centro do fundo do prato, monograma com as iniciais do proprietário da peça – JJTL.",Cerâmica | Pó de Ouro,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
3,T 1596,Prato Raso,,Não identificado,"Prato raso em louça branca; Bordas recortadas de forma ondulante, faixa pintada em dourado; Ao centro do prato, borda circular mais profunda, marcada por fina faixa, também pintada em dourada; Ao centro do fundo do prato, monograma com as iniciais do proprietário da peça – JJTL.",Cerâmica | Pó de Ouro,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
4,T 1644,Prato Raso,,Não identificado,"Prato raso em louça branca; Bordas recortadas de forma ondulante, faixa pintada em dourado; Ao centro do prato, borda circular mais profunda, marcada por fina faixa, também pintada em dourada; Ao centro do fundo do prato, monograma com as iniciais do proprietário da peça – JJTL.",Cerâmica | Pó de Ouro,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
5,T 1540,Prato Raso,,Não identificado,"Prato raso em louça branca; Bordas recortadas de forma ondulante, faixa pintada em dourado; Ao centro do prato, borda circular mais profunda, marcada por fina faixa, também pintada em dourada; Ao centro do fundo do prato, monograma com as iniciais do proprietário da peça – JJTL.",Cerâmica | Pó de Ouro,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
6,T 1319,Fruteira,,Não identificado,"Fruteira em porcelana; 4 Pés em alto relevo com forma de folhagem. Espaçamento ondulante entre cada pé; Peça sobe em diferentes níveis com relevos e frisos demarcando cada espaço até chegar a uma haste de sustentação encimada por alto relevo de folhagem totalmente pintado em dourado. Monograma da família desenhado no inicio da haste; Recipiente inicia logo acima da haste de sustentação, abrindo em pequena forma oval, alto relevo ondulante em dourado, seguido de friso delimitador para o inicio da abertura maior do recipiente. Nesse ponto a cerâmica faz um trabalho geométrico todo vazado. Terminando em relevos florais e geométricos e borda totalmente irregular. Toda a peça é branca com bordas e relevos em dourado; A base do pé e o recipiente da fruteira são ligados por meio de parafuso interno, escondido por dentro da haste de ligação e visível apenas pelo fundo da peça.",Cerâmica | Pó de Ouro,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
7,T 1612,Prato Raso,,Não identificado,"Prato raso em louça branca; Bordas recortadas de forma ondulante, faixa pintada em dourado; Ao centro do prato, borda circular mais profunda, marcada por fina faixa, também pintada em dourada; Ao centro do fundo do prato, monograma com as iniciais do proprietário da peça – JJTL.",Cerâmica | Pó de Ouro,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
8,T 1094 | T 1094 | T 1094 | T 1094,Arandela Tripla,,Não identificado,"Base em material de cobre, com douramento. Relevos formando desenhos geométricos e florais, sendo o encaixe das tulipas em forma que lembra uma flor. Saída para três encaixes de tulipas; Tulipas em cristal bacará translucido com motivos geométricos formando pequenas flores. Desenho incrustado no vidro. Tulipa central é maior que as laterais.",Cobre | Cristal Bacará,05 Interiores > 05.5 Peça de Mobiliário,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
9,,Prato Fundo,,Não identificado,"Pato Fundo em porcelana branca; Borda com friso dourado; Aba ricamente decorado com motivos florais, o desenho é em auto relevo e circula toda a peça sendo interrompido apenas para dar lugar ao monograma com as letras C de A. pintado em dourado; Desnível entre a aba e o fundo do prato, dando profundidade a peça; Fundo do prato em branco.",Cerâmica | Pó de Ouro | Tinta,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
10,T 1559,Prato Raso,,Não identificado,"Prato raso em louça branca; Bordas recortadas de forma ondulante, faixa pintada em dourado; Ao centro do prato, borda circular mais profunda, marcada por fina faixa, também pintada em dourada; Ao centro do fundo do prato, monograma com as iniciais do proprietário da peça – JJTL.",Cerâmica | Pó de Ouro,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
11,T 909,Aparador,,Não identificado,"Aparador em madeira; Pés com a base em forma de cachimbo e logo a seguir curvas; Pernas curvilíneas e trabalhadas com frisos e sulcos na madeira; Amarração em “x” com relevos e recortes na madeira trabalhados em curvas e unindo-se ao centro; Saiote frontal e lateral, sendo o frontal com alto relevo circular na frente e recortes ondulantes com alto relevo também ondulante. Os saiotes laterais também têm recortes em alto relevo ondulante; Ligando o saiote as pernas, trave em madeira recortada e em alto relevo curvilíneos, e circulo central; Tampo em mármore branco, liso, reto na parte traseira e ondulante nas laterais e frente.",Madeira | Mármore,05 Interiores > 05.5 Peça de Mobiliário,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
12,T1387,Tampa,,Não identificado,"Tampa em cristal, provavelmente de pequeno recipiente de mesmo material; Redonda; Peça toda trabalhada com frisos e alto relevo, formando desenhos geométricos; Puxador em formado de flor.",Cristal,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
13,T 1257,Panela,,Não identificado,"Panela em ferro fundido; Redonda; Toda a extensão é lisa; Borda lisa e com a parte superior achatada; Cabo de mesmo material, saindo com uma base mais larga com terminação em bolacha estilizada, de onde continua o cabo, mas em uma proporção mais fina e abrindo em direção ao fim. Terminação do cabo com ponta achatada.",Ferro,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
14,,Prato Raso,,Mansard,"Pato Raso em porcelana branca; Borda com friso dourado; Aba ricamente decorado com motivos florais, o desenho é em auto relevo e circula toda a peça sendo interrompido apenas para dar lugar ao monograma com as letras C de A. pintado em dourado; Desnível entre a aba e o fundo do prato, dando leve profundidade a peça; Fundo do prato em branco.",Cerâmica | Pó de Ouro | Tinta,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
15,T 1508,Prato Fundo,,Não identificado,"Prato raso em louça branca; Bordas recortadas de forma ondulante, faixa pintada em dourado; Ao centro do prato, borda circular mais profunda, marcada por fina faixa, também pintada em dourada; Ao centro do fundo do prato, monograma com as iniciais do proprietário da peça – JJTL.",Cerâmica | Pó de Ouro,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
16,S/N,Colher de sobremesa,,SL Superilure,"Colher em prata; ponta abaulada; Cabo fino terminando em ponta mais larga; Toda a extensão do cabo é trabalhada com relevo, formando nas extremidades do cabo e ponta, relevo que lembra um nó; No verso da peça, monograma com as iniciais do proprietário da peça.",Prata,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[entre 1839 e 1879],França,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
17,S/N,Talher - Colher Grande,,SL Superilure,"Colher em prata; ponta bem abaulada; Cabo fino terminando em ponta mais larga; Toda a extensão do cabo é trabalhada com relevo, formando nas extremidades do cabo e ponta, relevo que lembra um nó; No verso da peça, monograma com as iniciais do proprietário da peça.",Prata,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[entre 1839 e 1879],França,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
18,25,Garfo,,SL Superilure,"Garfo em prata; 4 dentes; Cabo fino terminando em ponta mais larga; Toda a extensão do cabo é trabalhada com relevo, formando nas extremidade do cabo e ponta, relevo que lembra um nó; No verso da peça, monograma com as iniciais do proprietário da peça.",Prata,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[entre 1839 e 1879],França,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
19,33,Garfo,,SL Superilure,"Garfo em prata; 4 dentes; Cabo fino terminando em ponta mais larga; Toda a extensão do cabo é trabalhada com relevo, formando nas extremidade do cabo e ponta, relevo que lembra um nó; No verso da peça, monograma com as iniciais do proprietário da peça.",Prata,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[entre 1839 e 1879],França,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
20,S/N,Garfo Grande,,SL Superilure,"Garfo em prata; 4 dentes; Cabo fino terminando em ponta mais larga; Toda a extensão do cabo é trabalhada com relevo, formando na extremidade do cabo e ponta, relevo que lembra um nó; No verso da peça, monograma com as iniciais do proprietário da peça.",Prata,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[entre 1839 e 1879],França,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
21,29,Colher de Sopa,,SL Superilure,"Colher em prata; ponta abaulada; Cabo fino terminando em ponta mais larga; Toda a extensão do cabo é trabalhada com relevo, formando nas extremidades do cabo e ponta, relevo que lembra um nó; No verso da peça, monograma com as iniciais do proprietário da peça.",Prata,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[entre 1839 e 1879],França,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
22,28,Talher - Colher de Sopa,,SL Superilure,"Colher em prata; ponta abaulada; Cabo fino terminando em ponta mais larga; Toda a extensão do cabo é trabalhada com relevo, formando nas extremidades do cabo e ponta, relevo que lembra um nó; No verso da peça, monograma com as iniciais do proprietário da peça.",Prata,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[entre 1839 e 1879],França,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
23,2,Talher - Escumadeira,,SL Superilure,"Escumadeira em prata; Parte inferior referente a colher da peça é oval, trabalhada em desenhos geométricos, semelhantes a galhos de flores, vazados e recortados; Cabo inicial saindo da colher é fino e com pequena ondulação ao centro, termina em base arredondada; Cabo principal inicia-se em trabalho em relevo ondulante formando espécie de nó. Toda a extensão do cabo é trabalhada com relevo, formando na extremidade do cabo e ponta, relevo que lembra um nó; No verso da peça, monograma com as iniciais do proprietário da peça.",Prata,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[entre 1839 e 1879],França,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
24,T 1521,Prato Fundo,,Não identificado,"Prato raso em louça branca; Bordas recortadas de forma ondulante, faixa pintada em dourado; Ao centro do prato, borda circular mais profunda, marcada por fina faixa, também pintada em dourada; Ao centro do fundo do prato, monograma com as iniciais do proprietário da peça – JJTL.",Cerâmica | Pó de Ouro,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
25,T 1642,Prato Raso,,Não identificado,"Prato raso em louça branca; Bordas recortadas de forma ondulante, faixa pintada em dourado; Ao centro do prato, borda circular mais profunda, marcada por fina faixa, também pintada em dourada; Ao centro do fundo do prato, monograma com as iniciais do proprietário da peça – JJTL.",Cerâmica | Pó de Ouro,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
26,T 1673,Prato Raso,,Não identificado,"Prato raso em louça branca; Bordas recortadas de forma ondulante, faixa pintada em dourado; Ao centro do prato, borda circular mais profunda, marcada por fina faixa, também pintada em dourada; Ao centro do fundo do prato, monograma com as iniciais do proprietário da peça – JJTL.",Cerâmica | Pó de Ouro,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
27,T 1497,Prato Fundo,,Não identificado,"Prato raso em louça branca; Bordas recortadas de forma ondulante, faixa pintada em dourado; Ao centro do prato, borda circular mais profunda, marcada por fina faixa, também pintada em dourada; Ao centro do fundo do prato, monograma com as iniciais do proprietário da peça – JJTL.",Cerâmica | Pó de Ouro,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
28,T 1578,Prato Raso,,Não identificado,"Prato raso em louça branca; Bordas recortadas de forma ondulante, faixa pintada em dourado; Ao centro do prato, borda circular mais profunda, marcada por fina faixa, também pintada em dourada; Ao centro do fundo do prato, monograma com as iniciais do proprietário da peça – JJTL.",Cerâmica | Pó de Ouro,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
29,T 1606,Prato Raso,,Não identificado,"Prato raso em louça branca; Bordas recortadas de forma ondulante, faixa pintada em dourado; Ao centro do prato, borda circular mais profunda, marcada por fina faixa, também pintada em dourada; Ao centro do fundo do prato, monograma com as iniciais do proprietário da peça – JJTL.",Cerâmica | Pó de Ouro,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
30,T 1564,Prato Raso,,Não identificado,"Prato raso em louça branca; Bordas recortadas de forma ondulante, faixa pintada em dourado; Ao centro do prato, borda circular mais profunda, marcada por fina faixa, também pintada em dourada; Ao centro do fundo do prato, monograma com as iniciais do proprietário da peça – JJTL.",Cerâmica | Pó de Ouro,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
31,T 1638,Prato Raso,,Não identificado,"Prato raso em louça branca; Bordas recortadas de forma ondulante, faixa pintada em dourado; Ao centro do prato, borda circular mais profunda, marcada por fina faixa, também pintada em dourada; Ao centro do fundo do prato, monograma com as iniciais do proprietário da peça – JJTL.",Cerâmica | Pó de Ouro,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,[s.d.],Não identificado,,museucasadahera_-_acervo-museologico,https://museucasadahera.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
