,Número de registro,Denominação,Título,Autor,Classificação,Resumo descritivo,Dimensões - altura,Dimensões - largura,Dimensões - profundidade/comprimento,Dimensões - espessura,Dimensões - diâmetro,Dimensões - peso,Material/Técnica,Local de produção,Data de produção,ACERVO,URL,TAINACAN_COLECTION_ID
35,159,Ex-Voto,,Não identificado,09 Objetos Cerimoniais > 09.2 Objeto Comemorativo,"Ex-voto confeccionado em tábua de madeira, de formato retangular, com cena pintada a têmpera na parte frontal e em sentido horizontal. Pintura dividida em duas partes. Na parte superior, sob fundo branco (amarelado), à esquerda, cena com representação de acidente ocorrido com um escravo, tendo, além dele, três figuras humanas, de tez marrom, duas delas carregando uma tigela de mantimentos na cabeça, que correm em socorro ao acidentado. Os três escravos (duas mulheres e um homem), posicionados à esquerda, trajam touca e chapéu, camisa de gola redonda, sem mangas, tendo os braços abertos e estendidos lateralmente. Apresentam suas pernas direitas estendidas e suas pernas esquerdas ligeiramente flexionadas. O escravo acidentado está representado enterrado dentro de um banco de terra, em tom marrom. Cena emoldurada por área pintada em tom terra e vermelho claro. À direita da cena, sob fundo amarelo claro, Cristo Crucificado apoiado sobre nuvem. Ao seu lado, representação de Nossa Senhora do Carmo feita através de figura feminina, jovem, de pé, com a cabeça coberta por véu branco e encimada por coroa, tendo seu olhar voltado à esquerda. Traja hábito carmelita, em tom marrom, sob manto branco esvoaçante. Com seu braço esquerdo segura o Menino Jesus, representado através de figura de criança, trajando túnica vermelha, de mangas compridas, com seu braço esquerdo estendido lateralmente, segurando escapulário. Nossa Senhora tem seu braço direito estendido lateralmente e com sua mão direita segura escapulário em tom marrom claro. Figura apoiada sobre nuvem branca e cinza. Parte inferior do objeto pintada de branco (amarelado), contendo texto manuscrito como legenda, disposto em quatro linhas horizontais e em tinta marrom e preta: “Mce. q fez o Sr. JESUS de Matosinhos e a Srª do Carmo a An. escravo de Joze da Costa de/ Gouvea que estando trabalhando na Cata lhe cayio Eu banco de terra eficando emterrado atEe os pei-/ tos quando otirarão tinEa Sua perna quebrada em varias ptes e apegandoce com ...Sr e sua May/ Sma ficou sem Lezão alguã. 1770.”. Objeto emoldurado por friso em meia-cana, pintado em marmorizado nos tons bege e verde. Verso do objeto em madeira lisa, contendo dois tarugos cilíndricos de madeira, dispostos nas extremidades da parte inferior da tábua.",26,"39,3",,,,,Madeira,Brasil > Minas Gerais,Século XVIII > 1770,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
36,160,Ex-Voto,,Não identificado,09 Objetos Cerimoniais > 09.2 Objeto Comemorativo,"Ex-voto confeccionado em tábua de madeira, de formato retangular, com cena pintada a têmpera na parte frontal e em sentido horizontal. Pintura dividida em duas partes. Na parte superior, sob fundo branco e bege, à esquerda, cena com representação de enfermo feita através de figura masculina, deitada sobre leito em madeira escura, tendo a cabeça apoiada sobre travesseiro branco. Apresenta o corpo coberto por lençol branco e manta vermelha ornada por motivos fitomorfos, em tom marrom, e tendo barra com franjas brancas. Ao seu lado, sobre o piso marrom claro, escultura de santa em tom marrom escuro. Em segundo plano, representação de porta em tom marrom claro com ornatos em tom marrom escuro e portal em pintura marmorizada, nos tons azul claro e escuro. À direita da cena, sob fundo bege, representação de Nossa Senhora do Carmo feita através de figura feminina, jovem, sentada sobre nuvem nos tons marrom, bege e branco, estando ligeiramente de perfil, com a cabeça voltada à esquerda e encimada por raios de sol branco. Traja túnica de mangas compridas, em tom verde. Com seu braço direito segura o Menino Jesus, representado através de figura de criança desnuda, tendo corpo parcialmente coberto pela indumentária da Santa, a cabeça cercada por raios de sol brancos, e um escapulário em sua mão direita. No canto superior direito, representação de sol e raios brancos. Parte superior da cena separada da parte inferior através de friso horizontal ornado por motivos fitomorfos em tom azul claro e escuro. Parte inferior do objeto pintada de branco, contendo texto manuscrito como legenda, disposto em quatro linhas horizontais e em tinta preta: “Merce q fez N. Srª...grande mo/ lestia...não pode.../... pegouce/ No...rro de 1770” (data sublinhada). Objeto emoldurado por friso em meia-cana, tendo moldura escalonada pintada em marmorizado nos tons verde escuro, preto e branco. Verso do objeto em madeira lisa, contendo dois tarugos cilíndricos de madeira, dispostos nas extremidades da parte inferior da tábua.","20,2","30,7",,,,,Madeira,Brasil > Minas Gerais,Século XVIII > 1770,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
37,161,Ex-Voto,,Não identificado,09 Objetos Cerimoniais > 09.2 Objeto Comemorativo,"Ex-voto confeccionado em tábua de madeira, de formato retangular, com cena pintada a têmpera na parte frontal e em sentido horizontal. Pintura dividida em duas partes. Na parte superior, sob fundo azul claro, cena contendo três figuras femininas. Em primeiro plano, ao centro, duas figuras femininas, uma delas enferma, sentadas sobre leito vermelho, com cabeceira e peseira arrematados por volutas, e uma terceira figura feminina, de pé, posicionada à direita, trajando touca e vestido verdes, além de xale vermelho, tendo nas mãos um pote branco (possivelmente com remédio). Enferma representada sentada sobre o leito, parcialmente coberta por colcha branca com barra rendada, trajando vestido verde claro sobreposto por xale branco, tendo os cabelos presos sob touca cinza e olhar direcionado à figura que se encontra de pé, à direita. Sentada ao seu lado, figura feminina trajando vestido rosa, xale verde e touca branca, apóia seu corpo segurando-a com seu braço direito. À esquerda da cena, mesa forrada por toalha branca com barra ondulada, onde se vê oratório de pousar, com duas folhas de porta, com cimalha e pés entalhados, tendo crucifixo em seu interior. À direita, espécie de mocho, em tinta marrom e branca. Piso em tom cinza. Em segundo plano, à direita, representação de São Francisco Xavier, apoiado sobre nuvem branca e cinza, com fundo em círculo branco, feita através de figura masculina, em ¾ , de meia-idade, com olhar voltado à esquerda, cabelos e barba em tom castanho, trajando túnica marrom, de mangas compridas, sob alva e manto brancos, além de estola vermelha. Apresenta suas mãos cruzadas na frente do peito, segurando cruz latina. À esquerda, representação de Santo Elias, apoiado sobre nuvem branca e cinza, com fundo em círculo branco, feita através de figura masculina, em ¾ , idoso, com cabeça e olhar voltados para direita, semi-calvo, com barba, trajando túnica preta sobreposta por manto branco. Com sua mão direita, segura espada flamejante (com chamas vermelhas) e, com sua mão esquerda, uma pequena igreja. Parte superior da cena separada da parte inferior através de linha horizontal em tom verde claro. Parte inferior do objeto pintada de branco (acinzentado), contendo texto manuscrito como legenda, disposto em quatro linhas horizontais e em tinta preta: “Merce q fez Stº Elias, e S Francº Chavier a Messias Maria/ Pantaliana q se achando d...riada e sua vó Florianna apegou/ -se Com os dtos Stos a dª neta ficou ba e pª memoria mandou fa/ zer o prezente, anno de 1850”. Objeto com moldura pintada em marmorizado nos tons marrom e preto. Verso do objeto em madeira lisa, contendo dois tarugos cilíndricos de madeira, dispostos nas extremidades da parte inferior da tábua.","20,9",28,,,,,Madeira,Brasil > Minas Gerais,Século XIX > 1850,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
38,162,Ex-Voto,,Não identificado,09 Objetos Cerimoniais > 09.2 Objeto Comemorativo,"Ex-voto confeccionado em tábua de madeira, de formato retangular, com cena pintada a têmpera na parte frontal e em sentido horizontal. Pintura dividida em duas partes, tendo na parte superior três cenas diferenciadas. Na parte superior, cena central com representação do Barão de Entre Rios feita através de figura masculina, de meia-idade, deitada sobre leito com dossel branco e cabeceira em tom verde, trajando camisola branca de mangas compridas, tendo o corpo coberto por colcha vermelha com barra em bordado branco. Ao lado do enfermo, figura masculina, representando o padre, sentado sobre cadeira branca, segurando o braço esquerdo do enfermo junto à Bíblia. À direita, sob portal em arco, duas figuras masculinas, jovens, de pe, em trajes civis, presenciam a cena. Ao lado do leito, à esquerda, duas figuras femininas, jovens, de pé, trajando vestidos brancos com xales verdes sobre os ombros também acompanham o sofrimento do enfermo. Cena esquerda composta, em primeiro plano, por reunião de quatorze figuras masculinas em recinto, estando treze deles de pé e um deles sentado, assinando documento, tendo tinteiro à sua frente. Em segundo plano, parede em arco, ladeada por colunas gregas e encimada por cortinado, tendo lustre na parte central. Cena direita composta, em primeiro plano, por figura feminina, jovem, ajoelhada, de cabelos castanhos presos, trajando vestido branco e vermelho claro, com xale verde sobre os ombros. Tem suas mãos em posição de oração e olhar voltado para cima, em direção da aparição de Nossa Senhora. Em segundo plano, representação de Nossa Senhora do Carmo feita através de figura feminina, jovem, de pé, com olhar voltado à esquerda e cabeça encimada por coroa, trajando hábito carmelita marrom sobreposto por manto branco (acinzentado) e segurando um escapulário. Com seu braço esquerdo apóia o Menino Jesus, representado através de figura de criança desnuda, com o olhar voltado à direita. Nossa Senhora está cercada por raios de sol brancos, nuvem e dez querubins, estes com cabelos castanhos e asas em tons verde e vermelho, inseridos na nuvem branca com contornos nos tons cinza, verde e azul. Parte inferior do objeto pintada de branco (acinzentado), contendo texto manuscrito como legenda, disposto em quatro linhas horizontais e em tinta preta: “Merce Que Fez N S do Carmo, ao Sr. Barão de Entre Rio. q estando grave/ mente emfermo. e vendo huma serva da maê ss o perigo em q o dº sea-/ chava Recorrendo Proteçaô da Soberanna Senhora. milagrosamente/ Ficou bom. e para memoria mandou oprezente fazer. anno de 1855”. Objeto com moldura pintada em tom marrom e ornada por frisos simples, nos tons preto e vermelho, tendo uma das laterais em marmorizado (marrom e preto). Verso do objeto em madeira lisa, contendo dois tarugos cilíndricos de madeira, dispostos nas extremidades da parte inferior da tábua.",17,"29,6",,,,,Madeira,Brasil > Minas Gerais,Século XIX > 1855,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
39,163,Ex-Voto,,Não identificado,09 Objetos Cerimoniais > 09.2 Objeto Comemorativo,"Ex-voto confeccionado em tábua de madeira, de formato retangular, com cena pintada a têmpera na parte frontal e em sentido horizontal. Na parte superior direita, em primeiro plano, sob chão pintado em tom marrom e bege, cena com representação de mucama (disposta ao centro) feita através de figura feminina, de tez marrom, trajando túnica branca, de mangas ¾ e touca branca, tendo os braços cruzados e apoiados sobre o peito. Ao lado de seu rosto, invocação à santa, em texto manuscrito no tom castanho, com a inscrição disposta em diagonal: “N.Sª do Carmo”. À sua frente, figura de criança, de tez marrom, enferma, deitada de frente, com braços e pernas estendidos, trajando túnica branca, de mangas compridas. Atrás da mucama, vegetação em tom esverdeado. Em segundo plano, à direita da cena, representação de Nossa Senhora do Carmo feita através de figura feminina, jovem, de pé, com a cabeça ligeiramente voltada à esquerda, encimada por véu curto branco esvoaçante e olhar direcionado à frente, tendo rosto redondo, tez rósea, sobrancelhas e olhos em tom castanho e boca pequena vermelha. Traja hábito carmelita, de mangas compridas, em tom marrom, sobreposto por manto branco. Apresenta seu braço direito estendido lateralmente, segurando escapulário em tom marrom. Com seu braço esquerdo flexionado apóia o Menino Jesus, representado através de figura de criança, de cabelos castanhos, trajando túnica branca, de mangas compridas. Nossa Senhora encontra-se circundada por nuvem branca e amarela. Fundo em tom azul claro e branco. À esquerda, medalhão branco e cinza emoldurado por volutas e concheados, tendo a seguinte inscrição, em tom castanho, disposta em três linhas: “Mcê q fez N. S. do Carmo, a Filis-/ berto d’ Mça (Mendonça) q tendo huma criança/ a morte, e já sem sintidos. A may/ da dª apegou-ce com a dª S. e lo-/go teve milhoras no anno de 18..2”. Objeto com moldura escalonada, em tom rosado, com vestígios de pintura em marmorizado nos tons vermelho claro e escuro. Verso do objeto em madeira lisa, contendo dois tarugos cilíndricos de madeira, dispostos nas extremidades da parte inferior da tábua.","15,5","30,5",,,,,Madeira,Brasil > Minas Gerais,Século XIX > [18?2],museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
40,164,Ex-Voto,,Não identificado,09 Objetos Cerimoniais > 09.2 Objeto Comemorativo,"Ex-voto confeccionado em tábua de madeira, de formato retangular, com cena pintada a têmpera na parte frontal e em sentido horizontal. Pintura dividida em duas partes. Na parte superior esquerda, sob fundo pintado de branco (amarelado), leito com dossel em tom vermelho, este com a parte superior abaulada, ornado nas extremidades por franjas e arrematado por bilro. Dossel composto por quatro varas verticais, em tom preto, estando três delas ornadas por bilro aparente na extremidade superior de cada uma delas. Leito forrado por lençol branco e manta em tom azul com bordado na barra em motivos geometrizados (losangos), além de dois travesseiros em branco e cinza. Ao centro da cena, sob piso em tom marrom escuro, representação de figura feminina, ajoelhada, de perfil, com cabelos castanhos presos por coque, olhos e sobrancelhas em tom castanho, nariz espesso, boca vermelha, olhar voltado para cima (em direção à santa). Traja vestido azul claro, com pregas e mangas ¾ , ornado por renda branca na extremidade das mangas e na gola redonda. Apresenta seus braços ligeiramente flexionados e voltados à frente, destacando-se no braço esquerdo escoriação em tinta vermelha (na parte interna do antebraço). Em segundo plano, à direita da cena, representação de Nossa Senhora do Carmo feita através de figura feminina, jovem, de pé, com a cabeça coberta por véu curto rosa e encimada por coroa em tom amarelo. Traja túnica vermelha com marcas de pregas em tinta preta, sobreposta por manto longo preso à frente na altura do pescoço. Apresenta seu braço direito estendido lateralmente e voltado para baixo, segurando escapulário em tom marrom. Com seu braço esquerdo apóia o Menino Jesus, representado através de figura de criança, de cabelos loiros, trajando túnica azul com pregas pretas e brancas. Tem os braços estendidos lateralmente e voltados para baixo, segurando, com sua mão esquerda, escapulário marrom. Nossa Senhora encontra-se circundada por raios de sol em tom amarelo, e apoiada sobre nuvem branca contornada por traços pretos. Parte superior da cena pintada separada da parte inferior através de linha horizontal em tom marrom. Parte inferior do objeto pintada de branco (acinzentado), contendo texto manuscrito como legenda, disposto em quatro linhas horizontais e em tinta preta: “Merce q fez Stº Elias, e S Francº Chavier a Messias Maria/ Pantaliana q se achando d...riada e sua vó Florianna apegou/ -se Com os dtos Stos a dª neta ficou ba e pª memoria mandou fa/ zer o prezente, anno de 1850”. Objeto com moldura pintada em marmorizado nos tons marrom e preto. Verso do objeto em madeira lisa, contendo dois tarugos cilíndricos de madeira, dispostos nas extremidades da parte inferior da tábua.","26,6",37,,,,,Madeira,Brasil > Minas Gerais,Século XIX | Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
41,165,Atributo de escultura religiosa,,Não identificado,08 Insígnias,"Resplendor, de médio porte, confeccionado em metal (prata) repuxado e cinzelado, composto por onze raios mais longos e estriados. Na parte inferior do objeto, faixa em formato de lua crescente ornada por concha central em relevo ladeada por volutas e folhas de acanto, em estilo rococó. Apresenta haste vertical finalizada em ponta para encaixe na cabeça da escultura.","8,5",9,,,,,Metal (prata),[Portugal?] | Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
42,166,Atributo de escultura religiosa,,Não identificado,08 Insígnias,"Resplendor, de médio porte, confeccionado em metal (prata) repuxada e cinzelada, composto por trinta e nove raios posicionados em paralelo, de tamanhos diferenciados. Peça com ornamentação inserida em faixa com formato de lua crescente, encimada por voluta, tendo, ao centro, flor em relevo, ladeada por folhagens e círculos.","5,8","5,9",,,,,Metal (prata),[Portugal?] | Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
43,167,Atributo de escultura religiosa,,Não identificado,08 Insígnias,"Resplendor, de médio porte, confeccionado em metal (prata) repuxado e cinzelado, ornado, ao centro, por motivo floral em relevo cercado por moldura octogonal cercada por quatro volutas intercaladas por quatro conchas, em estilo rococó. Ornato circundado (360º) por raios estriados, tendo haste vertical longa e chapada, disposta na parte inferior, com orifício vazado para encaixe na escultura.","24,5",13,,,,,Metal (prata),[Portugal?],Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
44,168,Ostensório,,Não identificado,09 Objetos Cerimoniais > 09.3 Objeto de Culto,"Ostensório confeccionado em metal (prata e prata dourada) e vidro, com ornamentação em relevo, apoiado sobre base circular. Apresenta na parte central superior caixa circular com tampa em vidro (para exposição da hóstia sagrada aos fiéis) emoldurada por friso dourado, fixada através de uma dobradiça, contendo fechadura arrematada por ornato em formato de coração, em metal dourado. Caixa circundada por ornamentação em metal dourado e em relevo, composta por nuvem estilizada contendo quatro querubins com asas constituídas por folhas estriadas, dispostos dois nas laterais, um na parte superior e outro na parte inferior. Os querubins superiores são ladeados por duas cornucópias e os querubins inferiores por duas colunas encimadas por folhagens. Parte superior do objeto cercada por trinta raios de sol filetados, em prata, de tamanhos diferenciados, arrematados por cruz latina ornada por espécie de gomos e círculos em relevo, com os remates das hastes em motivos fitomorfos. Parte central composta por coluna formada por estrangulamentos, frisos e bolachas, e ornada por motivos fitomorfos em relevo. Apresenta base escalonada decorada na parte superior por volutas e folhagens estilizadas, tendo fundo em motivos circulares. Parte central da base ornada por quatro querubins em relevo, com rostos redondos, cabelos curtos e cheios, com estrias bem marcadas, testas curtas, olhos amendoados, narizes arrebitados, bochechas salientes, bocas pequenas entreabertas, queixos duplos e asas grandes. Intercalando cada querubim, flor-de-lis estilizada, ladeada por volutas, tendo fundo em pontilhado e com pequenas flores de três pétalas. Parte inferior da base ornada por frisos simples intercalados por friso decorado com motivos florais incavos.","65,9","39,7",,,"16,2","380,0g",Metal | Vidro,Brasil > Minas Gerais,Século XVIII,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
45,169,Tinteiro-escrivaninha,,Não identificado,10 Comunicação > 10.2 Equipamento de Comunicação Escrita,"Tinteiro-escrivaninha confeccionado em metal (prata) fundido e cinzelado, composto por bandeja, cinco recipientes e um aplique. Bandeja de formato retangular, apoiada sobre quatro pés em garra de felino encimados por folha de acanto e volutas, e decorada por quatro faixas vazadas, com motivos fitomorfos e representação de oito anjos com trombetas, posicionados de perfil, dispostos em pares e contrapostos, em relevo. Ao centro do objeto, recipiente em formato de pequeno vaso, sem tampa, apoiado sobre base circular ornada por traços seriados em diagonal, com estrangulamentos e bojo circular, ornado em relevo por quatro frisos, tendo três frisos com flores dispostas em série e um friso perolado. Na parte superior do recipiente central, outro friso com motivos florais em relevo, além de recipiente interno em porcelana. Peça composta por outros dois recipientes menores (areeiros), com tampa arrematada por pino, tendo a mesma padronagem decorativa do recipiente central. Outros dois recipientes para tinta, encontram-se posicionados mais atrás e dispostos simetricamente, apresentando, cada um, três orifícios na superfície do metal. Na parte interna da bandeja, cilindro delgado de onde sobressai braço sinuoso (móvel) de castiçal, ornado por motivos fitomorfos, florais e pelicano com o bico arrematado por folhagens em relevo, tendo, na parte inferior, estrangulamento, frisos e ornamento em flor.",14,"21,0 (com Luz)","19,5",,,,Metal (prata),[França?] | [Inglaterra?],Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
46,170,Retrato (Pintura),Coronel da Guarda Nacional Álvaro da Cunha,C. Bacchi,02 Artes Visuais/Cinematográfica > 02.6 Pintura,"Retrato (pintura) a óleo sobre tela, representando o Coronel da Guarda Nacional Álvaro da Cunha. Tela e moldura de formato retangular verticalizado. Figura masculina, de pé, retratada de corpo inteiro, em posição frontal, com cabeça voltada à esquerda, de tez branca, cabelos curtos em tom castanho escuro encimados por chapéu da guarda, em branco e dourado, arrematado por penacho branco. Apresenta sobrancelhas e olhos em tom castanho escuro, nariz grande, bigodes espessos terminados em pontas voltadas para cima, em tom castanho escuro, tendo sua orelha esquerda aparente e boca cerrada. Traja indumentária da Guarda Nacional do Brasil, em tom verde escuro, com calça ornada nas laterais por frisos dourados e casaca de gola alta com nove botões aparentes, ornada por correntes horizontais e faixa com tiras douradas atravessando o peito, além de dragonas (apenas uma delas aparente). Sob a casaca ornada por punhos em três frisos dourados e três botões, camisa branca, além de sapatos pretos e manto verde, este com forro azulado, tendo três botões dourados aparentes. Tem seus braços flexionados, sua mão esquerda segurando espada prateada com ornato dourado pendente na extremidade superior da arma, e sua mão direita apoiada sobre a cintura, onde se destacam os dedos longilíneos e unhas grandes, segurando luva branca. Fundo em tom marrom claro (piso) e escuro. No canto inferior esquerdo, a assinatura do artista e a data, em tinta vermelha: “C. Bacchi/ 1913”. Moldura de madeira dourada com friso interno ornado por folhagens e pequenos traços em relevo, tendo, nas extremidades, volutas e concheados. Friso externo seguindo a mesma padronagem do friso interno.","Com Moldura: 246,7 ","156,5",,,,,Folha de Ouro | Madeira | Tinta,Brasil > [Rio de Janeiro?],Século XX > 1913,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
47,171,Telha,Telha marselhesa,Brevetes S.G. D. G,04 Construção > 04.4 Fragmento de Construção,"Telha confeccionada em barro cozido, em tom natural, de formato retangular, tendo uma das extremidades abauladas e voltadas para baixo e a outra extremidade com recorte irregular. Na superfície, sobre duas estruturas abauladas, as seguintes inscrições: “GRANDE ECAILLE POUR TOITURE” (parte superior) emoldurada por linhas sinuosas e ornada por coração. Ao centro da superfície, a inscrição cercada por moldura oval, linhas sinuosas, motivos geométricos e coração: “BREVETES S. G. D. G/ ST. HENRY – MARSEILLE” e “ROUX-FRERES”. À esquerda da superfície, destacam-se duas volutas dispostas na vertical. Verso do objeto composto por estruturas abauladas (fundas), oriundas do tipo de moldagem, e por ornato em formato de coração disposto em uma das extremidades.",,"24,3","44,5",3,,,,França > Marselha,Século XIX > 1880,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
48,174,Retrato (Pintura),Comendador João Antônio da Silva Mourão,Edouard Vienot | Morisset,02 Artes Visuais/Cinematográfica > 02.6 Pintura,"Retrato (pintura) a óleo sobre tela, representando o Comendador João Antônio da Silva Mourão. Tela e moldura de formato oval, com representação de figura masculina, ¾, de meia-idade, com corpo e rosto ligeiramente voltados à esquerda, cabelos curtos em tom castanho e com alguns fios brancos, testa larga, orelhas aparentes, sobrancelhas espessas, olhos castanhos escuros, nariz grande com sulcos de expressão bem marcados, boca grande fechada tendo lábio inferior carnudo e queixo proeminente. Apresenta-se em traje civil, de gala, composto por camisa de gola branca, gravata preta, colete com dois botões aparentes, paletó com um botão aparente, ambos em tom preto. Do colete pende chatelâine em tom dourado. Sobre o peito, na altura do coração, condecoração da Ordem da Rosa parcialmente aparente, sobreposta pela gola do paletó. Fundo liso nos tons marrom e cinza esverdeado. À direita da tela, assinatura do artista, em tinta vermelha: “Vienot/ et/ Morisset”. Na parte inferior central, sobre a moldura, placa em metal, com a inscrição: “VIENOT/ RET. DO COMdor. JOÃO ANTº Sª MOURÃO” (fixada por dois pregos). Moldura com ornatos em gesso com douramento, tendo quatro estruturas em relevo, dispostas duas nas laterais, uma na parte superior e a outra na parte inferior.",61,"50,5",,,,,Folha de Ouro | Madeira | Tinta,Brasil > [Minas Gerais?],Século XIX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
49,175,Retrato (Pintura),Aureliano Martins de Carvalho Mourão,Edgard Parreiras,02 Artes Visuais/Cinematográfica > 02.6 Pintura,"Retrato (pintura) a óleo sobre tela, representando Aureliano Martins de Carvalho Mourão. Tela e moldura de formato oval, com representação de figura masculina, ¾, idosa, com corpo e olhar voltado à direita, cabelos brancos e lisos, testa larga tendo leves rugas de expressão, sua orelha direita aparente, sobrancelhas espessas em tom grisalho, olhos castanhos escuros, nariz grande e adunco, bigode e cavanhaque brancos. Apresenta-se em traje civil composto por camisa de gola branca, gravata em tom amarronzado e paletó em tom cinza escuro. Fundo liso, em tom marrom claro e escuro. Moldura oval em madeira com frisos internos lisos intercalados por friso com ornatos seriados, em formato de “U”. Cercando os frisos, faixa em gesso patinado e dourado, ornada por motivos fitomorfos, conchas e volutas em relevo. Na parte externa, frisos com traços seriados de tamanhos diferenciados e em relevo. Na parte inferior central, sobre a moldura, placa em metal, com a inscrição: “EDGARD PARREIRAS/ RETR. DO DR. AURELIANO MARTINS/ DE CARVº MOURÃO” (fixada por dois pregos).",71,59,,,,,Gesso | Metal | Purpurina | Tinta,Brasil > Rio de Janeiro,Século XX,museuregionaldesaojoaodelrei_-_acervo_museologico,https://museuregionaldesaojoaodelrei.acervos.museus.gov.br/wp-json/tainacan/v2/collection/11451/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,11451
