,Denominação,Número de registro,Título,Classificação,Data de produção,Autor,Material/Técnica,Local de produção,Dimensões - altura,Dimensões - largura,Dimensões - profundidade/comprimento,Dimensões - diâmetro,Dimensões - espessura,Resumo descritivo,Condições de reprodução,ACERVO,URL,TAINACAN_COLECTION_ID
23,Medalha Comemorativa,REG.0216,"""Auguste Comte""",09 Objetos Cerimoniais > 09.2 Objeto Comemorativo,Século XIX,G. Guerchet,Metal,Não identificado,,,,"2,8","0,3","Forma: circular com rebordo; bordo liso. Anverso: no campo, efígie de figura masculina de perfil à esquerda, ladeada pela inscrição: ""AUGUSTE"", ""COMTE"". Orla decorada. Reverso: em campo, dois ramos de carvalho frutado unidos pela haste com laço. Orla decorada.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
24,Medalha Comemorativa,REG.0217,"""1854 I Centenário 1954""",09 Objetos Cerimoniais > 09.2 Objeto Comemorativo,Século XX,Não identificado,Metal,Não identificado,,,,"4,6","0,5","Forma: circular com rebordo; bordo liso. Anverso: em campo, tocha chamejante entre duas elipses com efígies de figuras masculinas conjugadas com as inscrições: ""D. PEDRO II"" e ""BENJAMIN CONSTANT""; ladeadas por ramos de louro; na orla superior, listel com a inscrição: ""1854 I CENTENÁRIO 1954"". No exergo a inscrição: ""CONFERIDA/PELO/I.B.C."". Reverso: em campo, construção arquitetônica com folhagem na parte superior, e nas laterais dois ramos. No exergo a inscrição: ""INSTITUTO/BENJAMIN/CONSTANT"".",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
25,Pince-nez,REG.0218,,12 Objetos Pessoais > 12.6 Objeto de Auxílio/Conforto Pessoais,Século XIX,Não identificado,Casco de Tartaruga | Metal | Vidro,Não identificado,"8,7","14,4",,,"0,8","Duas elipses em cristal revestida na borda em metal dourado, unidas por armação dourada. Sela de tartaruga vincada. Presilha para cordão e pino de auxilio para dobra.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
26,Carteira de Dinheiro,REG.0219,,12 Objetos Pessoais > 12.6 Objeto de Auxílio/Conforto Pessoais,Século XIX,Não identificado,Couro | Metal | Tecido,Não identificado,,9,"12,3",,"0,9","De formato retangular, tendo capa em couro em tom verde com decoração floral na parte da frente, dobrada em forma de envelope, internamente forrada em tecido esverdeado. No seu interior três divisões, sendo uma fechada com aba e botão em metal pintado de verde.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
27,Placa Comemorativa,REG.0220,,09 Objetos Cerimoniais > 09.2 Objeto Comemorativo,1958 | Século XX,Não identificado,Metal | Tecido,Brasil > São Paulo,6,10,,,"0,1","De formato retangular. Em campo a inscrição: ""À DNA. EDITH/ UMA LEMBRANÇA DA/TURMA DE 1948 DA/ ESCOLA DE ENFERMAGEM/ DA UNIVERSIDADE DE SÃO-/-PAULO, NO SEU 10º ANIVERSÁRIO/ DE FORMATURA./SÃO PAULO, 15/11/1958"" . Nos vértices superiores, decoração floral. Acondicionada em estojo com forração azul e fecho em metal.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
28,Caixa,REG.0221,,15 Embalagens/Recipientes,Não identificada,Não identificado,Metal | Tinta,Bélgica,2,,,"5,5",,"De formato circular, composto por tampa e base, com rebordo. Na tampa, ao centro, círculo ressaltado com a inscrição: ""GEVAERT/ PANCHRO/ MADE IN BELGIUM"". Fechamento por encaixe.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
29,Régua de Cálculo,REG.0222,,14 Medição/Registro/Observação/Processamento > 14.2 Processador de Dados,Século XX,Não identificado,Acrilico | Couro | Resina | Tinta,Brasil,"3,4",,15,,"0,7","Lâmina de resina com régua corrediça e visor de acrílico deslizante, com vários tipos de graduação. Acondicionada em estojo de couro.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
30,Pince-nez,REG.0223,,12 Objetos Pessoais > 12.6 Objeto de Auxílio/Conforto Pessoais,1882 | Século XIX,Não identificado,Casco de Tartaruga | Couro | Vidro > Cristal | Metal,Brasil > Rio de Janeiro,"4,2","9,4",9,,"0,4","Duas elipses em cristal revestida na borda em metal prateado, unidas por armação prateada. Sela de tartaruga vincada. Presilha para cordão e pino de auxilio para dobra. Acondicionado em capa de couro.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
31,Mecha de Cabelo,REG.0224,,16 Amostras/Fragmentos,Século XIX,Não identificado,Cabelo,Não identificado,,,11,,,"Amarrada ao centro em linha em tom bege, mecha de cabelos castanhos.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
32,Mecha de Cabelo,REG.0225,,16 Amostras/Fragmentos,Século XIX,Não identificado,Cabelo,Não identificado,,,10,,,"Amarrada na ponta com linha em tom bege, mecha de cabelos castanho claro acondicionada em envelope retangular com a inscrição: ""PARA ARACY,/CABELLOS DE TIA OLYMPIA./ME FORAM DADOS POR MAMÃE"".",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
33,Flor Comemorativa,REG.0226,,09 Objetos Cerimoniais > 09.2 Objeto Comemorativo,1908 | Século XX,Bernardina Constant Serejo,Tecido,Brasil > Rio de Janeiro,,3,11,,"1,3","Em tecido, com caule e folhas em verde, pétalas em amarelo e miolo em azul com pontos brancos.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
34,Placa,REG.0227,,10 Comunicação > 10.3 Equipamento de Comunicação Sonora/Visual,Não identificada,P.C.Vargues,Metal,Não identificado,"20,5",16,,,"1,5","De formato retangular com moldura lisa. No campo em relevo três símbolos não identificados e a inscrição: ""VT. 120 PAT. 14191/CASA-MAGNETICA MARCA-REGISTRADA/P.C.VARGUES"". Na parte inferior uma abertura circular com rosca.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
35,Mecha de Cabelo,REG.0228,,16 Amostras/Fragmentos,Século XIX,Não identificado,Cabelo,Não identificado,,,"10,5",,,"Acondicionada dentro de folha de papel dobrada, tendo em um dos lados a inscrição: ""CABELLOS DE MEU QUERIDO PAI/O DR CLAUDIO LUIZ DA COSTA/MARIA JOAQUINA DA COSTA BOTELHO DE MAGALHÃES."", mecha de cabelos castanho claro.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
36,Faixas,REG.0229,,08 Insígnias,Não identificada,Não identificado,Tecido,Não identificado,,"8,9 / 10,2","185,0 / 229,0",,,Duas faixas em tecido chamalotado nas cores verde e amarelo.,,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
37,Álbum de Postais,REG.0230,,10 Comunicação > 10.1 Documento,Não identificada,Não identificado,Cordão | Papel | Tinta,Não identificado,12,"18,3",,,"1,3","De formato retangular com cordão amarrando as folhas na lateral esquerda. Capa da frente com inscrição: ""ALBUM"", folhas internas com cortes duplo nas extremidades.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
38,Espelho,REG.0231,,05 Interiores > 05.5 Peça de Mobiliário,Não identificada,Não identificado,Madeira | Tinta | Vidro,Não identificado,72,51,,,"3,7","De formato retangular em madeira, parte superior curva com detalhe em friso, escalonada na parte interna da moldura; emoldurando vidro espelhado.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
39,Cômoda,REG.0232,,05 Interiores > 05.5 Peça de Mobiliário,Não identificada,Não identificado,Madeira | Mármore | Metal,Não identificado,"95,5","100,5",,,,"De formato retangular em madeira com tampo, prateleira e guarnição em mármore cinza rajado. Com três ordens de gavetas com molduras e puxador pingente em metal, sendo a superior composta por duas gavetas e fechadura na divisória central e as seguintes com apenas um gavetão. Base em degrau com arestas arredondadas. Pés frontais em bolachas e traseiros retangulares.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
40,Cédula,REG.0233,"""Un Guarani""",03 Objetos Pecuniários,Século XX,Não identificado,Papel | Tinta,Não identificado,"6,7","15,7",,,,"De formato retangular em papel. Impressão nas cores: verde, branco e lilás. Anverso: ao centro medalhão com a inscrição: ""UN/GUARANI, encimado pela inscrição: ""BANCO CENTRAL DEL PARAGUAY/EL BANCO CENTRAL DEL PARAGUAY RECONOCE ESTE BILLETE POR"", ladeado por figura masculina de pé ligeiramente voltado à esquerda com chapéu, tendo na mão direita um facão e na esquerda uma arma de fogo; à esquerda medalhão com oval contornado por guirlanda de folhas tendo ao centro leão sentado com barrete frígio contornado por raios sobre haste e inscrição: ""REPÚBLICA DEL PARAGUAY/PAZ Y JUSTICIA"". Na parte inferior, nas laterais o número: ""A2724762"". Nos vértices da moldura o numeral ""1"" e na borda inferior a inscrição: ""ESTE BILLETE TIENE CURSO LEGAL Y FUERZA CANCELATORIA ILIMITADA EN. TODO EL TERRITORIO DE LA REPUBLICA (DECRETO LEY Nº 18 DEL 25 DE MARZO DE 1952). Reverso: ao centro entre árvores, fachada de construção arquitetônica com figuras humanas a frente, na parte inferior a inscrição: ""BANCO CENTRAL"", encimado pela inscrição: ""REPÚBLICA DEL PARAGUAY"" ladeado pelo numeral ""1"" dentro de medalhão, na parte inferior a inscrição: ""UN GUARANI"" e nos vértices o numeral ""1"" dentro de retângulos decorados.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
41,Mecha de Cabelo,REG.0234,,16 Amostras/Fragmentos,Não identificada,Não identificado,Cabelo,Não identificado,,,,,,"Dentro de envelope bege com friso dourado, mecha de cabelos louros.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
42,Sobrecasaca,REG.0235,,12 Objetos Pessoais > 12.8 Peça de Indumentária,Século XIX,Não identificado,Metal | Tecido,Brasil > Rio de Janeiro,"92,5",60,,,,"Em tecido preto, debruada, com gola deitada. Fechada na frente por cinco botões forrados em tecido, bolso embutido na cintura. Parte de trás com aba transpassada com botão e costuras cintada, forrada internamente em tecido preto com dois bolsos. Mangas com viés e botão na manga esquerda, forradas em tecido bege com listras marrom, vermelho e azul.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
43,Caderneta,REG.0236,,10 Comunicação > 10.1 Documento,Século XIX,Não identificado,Casco de Tartaruga | Madeira | Marfim Grafite | Metal | Tecido | Tinta,Não identificado,"10,5",7,,,"1,6","De formato retangular com capa em casco de tartaruga com decoração de ramos de flores e pássaro em metal e marfim. Parte interna da capa revestida em tecido azul claro chamalotado e porta-lápis para fechamento com lápis. No interior, folhas pautadas com a borda pintada em dourado.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
44,Tabaqueira,REG.0237,,12 Objetos Pessoais > 12.2 Artigo de Tabagismo,Não identificada,Não identificado,Couro | Metal | Tecido,Não identificado,"9,5","9,5",,,"1,6","De formato semicircular em duas partes de metal vazado, revestidas em couro e unidas por dobradiça com fecho em bolas na extremidade. Interior revestido em tecido azul com parte em fole e outra com porta-papel em couro.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
45,Bússola Alidade,REG.0238,,14 Medição/Registro/Observação/Processamento > 14.1 Instrumento de Precisão/Óptico,Não identificada,Não identificado,Couro | Madeira | Metal | Tinta | Vidro,França > Ilha de França > Paris,"3,5",9,,,,"De formato quadrangular, duas caixas em madeira unidas por dobradiças e fechos de ganchos. Caixa superior com instruções de uso na parte de cima e abertura retangular chanfrada, na parte de baixo abertura circular com vidro espelhado e cavidade circular, na lateral parte de régua graduada. Na caixa inferior, abertura em círculo com proteção de vidro e no interior disco com graduações e três marcadores de formatos diferentes, na borda extrema, lâmina móvel vazada em metal terminando em ponta e ao lado pino com botão rosqueado. Na parte frontal, fechos e alça circular, e na lateral régua graduada. No fundo, gráficos com marcação de angulos. Instrumento acondicionado em caixa de couro com alça regulável e fecho com fivela.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
46,Cédula,REG.0239,"""1 Lira""",03 Objetos Pecuniários,1943 | Século XX,Não identificado,Papel | Tinta,Não identificado,"6,8","7,7",,,,"De formato retangular em papel. Impressão nas cores: preto, azul, vermelho e branco. Anverso: ao centro, dentro de moldura a inscrição: ""ISSUED IN/ITALY/ SERIES 1943/ 1/LIRA/SERIES 1943/A 29667460 A"". nos vértices o número ""1"". Na borda superior da moldura a inscrição: ""ALLIED MILITARY CURRENCY"". Reverso: dentro de retângulo com pontas sobre moldura oval com laterais em meia curva a inscrição: ""ALLIED/MILITARY/ CURRENCY"". Encimado por inscrição: ""FREEDOM OF SPEECH FREEDOM OF RELIGION"", e abaixo a inscrição: ""FREEDOM FROM WANT FREEDOM FROM FEAR"". Dentro de moldura.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
47,Cadeado,REG.0240,,16 Amostras/Fragmentos,Não identificada,Não identificado,Metal | Tinta,Não identificado,"6,8","6,5",,,"1,8","De formato quadrangular. Corpo na cor preta, com molduras na parte inferior e superior em metal prateado com acabamento curvilíneo; na parte frontal as inscrições: na moldura superior ""SYSTEM DULV""; na moldura inferior ""* Nº45N*"" ; no corpo, ao centro: quadrúpede rampante; alça móvel e abertura na parte inferior para chave.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
48,Busto,REG.0241,Benjamin Constant,02 Artes Visuais/Cinematográfica > 02.3 Escultura,Século XIX,Rodolfo Bernadelli,Metal | Verniz,Brasil > Rio de Janeiro,26,27,,,,"Figura masculina, em vulto redondo, cabelos partidos da esquerda para direita na altura das orelhas bigode e cavanhaque. Trajando indumentária com gola deitada fechada na frente por quatro botões, nos ombros passadeiras, por dentro, camisa de gola alta. Base quadrada.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
49,Placa Comemorativa,REG.0242,,09 Objetos Cerimoniais > 09.2 Objeto Comemorativo,Século XX,Não identificado,Madeira | Metal | smalte,Não identificado,"5,6","9,1",,,"0,3","De formato retangular com dobra na extremidade superior esquerda. em campo a inscrição: ""GENERAL MANOEL RABELLO/HOMENAGEM DOS DESCENDENTES DE/BENJAMIN CONSTANT/18-10-937"",encimada por circulo azul carregado por 21 estrelas em prata com uma faixa curva em prata com a inscrição: ""ORDEM E PROGRESSO"" em azul. Acompanha placa em madeira com revestimento marrom e preto na parte da frente.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
50,Diário,REG.0243,,10 Comunicação > 10.1 Documento,Século XIX,Não identificado,Couro | Metal | Papel | Tinta,Brasil > Rio de Janeiro,"22,5","16,2",,,4,"De formato retangular com capa em couro, contracapas revestidas em papel decorado; na parte da frente moldura em relevo e ao centro medalhão em metal com decoração fitomorfa em volta, no alto à direita, um querubuim, embaixo à esquerda dois instrumentos de sopro e uma pá envolvidos por fita e monograma ""BM""; na parte de trás frisos com tachas nos vértices do friso maior, lombada decorada em relevo. Na lateral direita, fecho em metal com abertura para chave. Borda das folhas em pintura dourada. Na primeira página, dedicatória: ""MINHA QUERIDA BERNARDINA HOJE DIA DE TEU/ANNIVERSARIO NATALÍCIO OFFERECO-TE ESTA PEQUENA/LEMBRANÇA. ABENÇÔO-TE E DESEJO-TE TODA A FELI-/CIDADE DE QUE ÉS MERECEDORA, CONTINUANDO A SER/COMO TENS SIDO E CADA VEZ MAIS, DIGNA DO/SANTO NOME DE TEU ADORADO PAI./MARIA JOAQUINA DA COSTA BOTELHO DE MAGALHÃES/15 DE ABRIL DE 1892"". No interior algumas páginas decoradas com paisagens.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
51,Lápis,REG.0244,,10 Comunicação > 10.2 Equipamento de Comunicação Escrita,1884 | Século XIX,Não identificado,Grafite | Madeira,Brasil > Rio Grande do Sul > Porto Alegre,,,5,"1,1",,"De formato cilíndrico com ponta em uma das extremidades. Revestimento rugoso. Acondicionado dentro de caixa de madeira revestida com papel tipo couro verde ""PROVA DE LEMBRANÇA DE PAULI-/NO CALAZANS EM PORTO/ALEGRE (RIO GRDE DO SUL/MARÇO DE 1884.""",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
52,Escultura Religiosa,REG.0245,Nossa Senhora de Aparecida,02 Artes Visuais/Cinematográfica > 02.3 Escultura,Século XX,Não identificado,Argila | Tinta,Não identificado,"14,7","6,5",,,,"Figura feminina, em vulto redondo, em pé, mãos postas; sobre a cabeça coroa em dourado e manto até os pés, aberto na frente com decoração em dourado na borda. Na cintura friso dourado e vestígios de pintura dourada formando o desenho de rosário. Aos pés, volutas com rostos de três querubins com cabelos marrons e contorno das asas em dourado, base com friso dourado.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
53,Cadeado,REG.0246,,16 Amostras/Fragmentos,Século XIX,Não identificado,Metal,Não identificado,"7,3",,,"4,8","0,8",De formato circular com haste móvel e abertura na parte frontal para chave.,,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
54,Cadeado,REG.0247,,16 Amostras/Fragmentos,Não identificada,Não identificado,Metal | Tinta,Não identificado,9,"6,9",,,"1,7","De formato semi-oval com alça móvel e abertura na parte da frente para chave, com moldura retangular.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
55,Mecha de Cabelo,REG.0248,,16 Amostras/Fragmentos,1921 | Século XX,Não identificado,Cabelo | Papel | Tinta,Não identificado,,,18,,,"Amarrada na ponta por linha preta, mecha de cabelos em tom castanho claro , acondicionada dentro de envelope branco com moldura em preto e inscrição: ""CABELLOS DE MAMÃE/2 DE ABRIL DE 1921/16 DE ABRIL DE 1921/ARACY"".",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
56,Matriz (clichê),REG.0249,,06 Trabalho > 06.3 Equipamento de Artistas/Artesãos,1921 | Século XX,Não identificado,Madeira | Metal,Brasil > Rio de Janeiro,"2,3",5,"8,9",,,"Duas elipses em metal, fixadas a base de madeira por pregos com gravação das figuras de Benjamin Constant Botelho de Magalhães e Maria Joaquina da Costa Botelho de Magalhães. Base de madeira em formato retangular com reentrâncias nas laterais.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
57,Máscara Mortuária,REG.0250,Marechal Cândido Mariano da Silva Rondon,02 Artes Visuais/Cinematográfica > 02.3 Escultura,1958 | Século XX,Não identificado,Gesso,Não identificado,"23,5","16,5",,,"9,5","Rosto de figura masculina em relevo. No verso, na parte superior, gancho.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
58,Carteira,REG.0251,,12 Objetos Pessoais > 12.6 Objeto de Auxílio/Conforto Pessoais,1854 | Século XIX,Não identificado,Couro | Tecido,Não identificado,13,8,,,"1,2","De formato retangular, tendo capa de couro em tom marrom frisado, dobrada em forma de envelope, internamente forrada em tecido de tom marrom. No seu interior porta caneta e fole nas laterais sendo um com duas divisões; forrados internamente em tecido de tom marrom. Parte do meio com aba e passador para encaixe. Na parte externa resíduo de fita pregado em passador.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
59,Bandeira,REG.0252,Bandeira Nacional,08 Insígnias,1889 | Século XIX,Não identificado,Madeira | Tecido | Tinta,Não identificado,"38,5 (mastro)","7,0 (band) 7,2 (mastro)",11,,"7,0 (mastro)","De formato retangular. Em campo verde, paralelogramo romboidal amarelo, tendo ao centro círculo azul carregado por estrelas em branco com uma faixa curva em branco com a inscrição: ""ORDEM ..."". Acompanha mastro com base em formato trapezoidal, escalonada na parte superior e base, tendo a frente o escudo de armas da república em relevo e haste em madeira na parte superior.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
60,Retrato (relevo),REG.0253,"""Benjamin Constant Botelho de Magalhães""",02 Artes Visuais/Cinematográfica > 02.3 Escultura,Não identificada,Não identificado,Metal,Não identificado,,,,21,"0,5","De formato circular. Efígie de figura masculina de bigode e cavanhaque, cabelos partidos; de perfil à direita, contornada por friso.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
61,Retrato (relevo),REG.0254,"""Benjamin Constant Botelho de Magalhães""",02 Artes Visuais/Cinematográfica > 02.3 Escultura,Século XX,Não identificado,Metal,Brasil > Rio de Janeiro,,,,22,"0,5","De formato circular. Efígie de figura masculina de bigode e cavanhaque, cabelos partidos; de perfil à direita, contornada por friso.",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
62,Lápide Sepulcral (fragmento),REG.0255,,09 Objetos Cerimoniais > 09.4 Objeto Funerário,Século XIX,Não identificado,Metal | Miçanga,França > Ilha de França > Paris,,11,"36,5",,"0,4","Conjunto de miçangas, enfiadas em fio de metal, revestindo lâminas de metal recortado formando a inscrição ""A CLOTIDE DE VAUX"". Acompanha papel pardo com a inscrição ""DO TUMULO DE/CLOTILDE DE VAUX/LEMBRANÇA TRAZIDA/NO ANNO 1898"".",,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
63,Álbum Fotográfico,REG.0256,,10 Comunicação > 10.1 Documento,Não identificada,Não identificado,Papel | Tecido,Alemanha,32,25,,,"2,8",De formato retangular com capa forrada em tecido marrom com etiqueta na parte da frente. Interior: duas páginas com um dos lados decorado com desenho imitando madeira. Na contra capa instruções de uso em alemão.,,museucasabenjaminconstant_-_acervo-museologico,https://museucasabenjaminconstant.acervos.museus.gov.br/wp-json/tainacan/v2/collection/5347/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,5347
