,Número de registro,Denominação,Autor,Material/Técnica,Local de produção,Data de produção,Classificação,Dimensões - altura,Dimensões - profundidade/comprimento,Dimensões - largura,Dimensões - espessura,Dimensões - diâmetro,Resumo descritivo,Condições de reprodução,ACERVO,URL,TAINACAN_COLECTION_ID
45,48,Cama (de viúvo),Não identificado,madeira,Minas Gerais,Séc. XIX,05 Interiores > 05.5 Peça de Mobiliário,"139,4","205,8","123,7",,,"Leito [de viúvo],  I, confeccionada em madeira (jacarandá), de estrutura retangular. Cabeceira com ornamentação em caneluras nas extremidades superiores, através da técnica da marchetaria, com filetes  dianteiras e posteriores retilíneas e lisas com filetados. Quatro orifícios nas colunas demonstram a existência do encaixe do dossel (ausente).","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
46,49,Cadeira,Não identificado,madeira | palinha,Minas Gerais,Séc. XIX,05 Interiores > 05.5 Peça de Mobiliário,89,44,"43,5",,,"Cadeira, de manufatura singela e eclética, confeccionada em madeira (jacarandá), de estrutura quadrangular e assento trapezoidal  dividido em duas traves, ambas com recortes em curva, sendo que na trave superior, o entalhe ultrapassa os montantes. Pernas dianteiras com joelheiras em curva e pernas posteriores levemente abauladas para trás. Não apresenta amarração em sua estrutura.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
47,50,Cadeira,Não identificado,madeira | palinha,Minas Gerais,Séc. XIX,05 Interiores > 05.5 Peça de Mobiliário,89,44,"43,5",,,"Cadeira, de manufatura singela e eclética, confeccionada em madeira (jacarandá), de estrutura quadrangular e assento trapezoidal  dividido em duas traves, ambas com recortes em curva, sendo que na trave superior, o entalhe ultrapassa os montantes. Pernas dianteiras com joelheiras em curva e pernas posteriores levemente abauladas para trás. Não apresenta amarração em sua estrutura.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
48,51,Estampa religiosa,Não identificado,madeira | papel | tinas | vidro,França,Séc. XIX,02 Artes Visuais/Cinematográfica > 02.4 Estampa,,,,,,"Pintura a guache sobre papel, representando Nossa Senhora do Carmo. Figura feminina, em meio corpo, com a cabeça inclinada à sua esquerda, com o olhar direcionado para baixo. Traja túnica marrom, de mangas compridas, com rendilhado na gola, em tom mais claro. Cabeça encimada por coroa em tom marrom claro. Nossa Senhora carrega o Menino Jesus, posicionado de perfil, de cabelos loiros, trajando túnica rosada, com sua mão esquerda sobre o pescoço da santa. O Menino apresenta-se com sua perna esquerda flexionada e apoiada sobre o braço direito de Nossa Senhora. Na mão direita de Nossa Senhora, escapulário marrom e branco, ornado por três estrelas brancas (símbolo carmelita). Fundo em tom bege. Moldura confeccionada em madeira escura lisa. Pintura com vidro.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
49,52,Missal,Societé St. Augustin,couro | papel | tinta,Burges (BEL),Séc. XX,10 Comunicação > 10.1 Documento,,,,,,"Missal, de pequenas dimensões, impresso em papel fino, com textos em francês e latim, contendo 2816 páginas. Apresenta ilustrações em preto-e-branco. Capa em couro preto, ornado com cinco frisos terminados em flor-de-liz. Na lombada, a inscrição gravada em tinta dourada: ""MISSEI QUOTIDIEN/ ET VESPÉRAL"". Possui marcador em tecido acetinado vermelho.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
50,53,Cadeira de balanço,Não identificado,madeira | palinha,Minas Gerais,Séc. XIX,05 Interiores > 05.5 Peça de Mobiliário,,,,,,"Cadeira [de balanço], de manufatura singela e eclética, confeccionada em madeira (jacarandá), de estrutura quadrangular e assento trapezoidal em palhinha, tendo aba frontal emoldurada e  levemente abaulado e em palhinha, com prolongamento para as pernas posteriores. Braços em voluta com extremidade frontal com entalhe em curvas e contracurvas, que se prolongam para constituição das pernas dianteiras, estas com joelheiras pronunciadas finalizadas por estrutura retilínea. Apoio das pernas sobre duas barras em meio-arco, com extremidades recortadas que permitem o movimento do balanço.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
51,54,Sofá,Não identificado,madeira | palinha,Rio de Janeiro,Séc. XIX,05 Interiores > 05.5 Peça de Mobiliário,,,,,,"Sofá, , confeccionado em madeira (jacarandá), com encosto e assento  subdividido em três partes emolduradas, sendo as duas laterais em formato oval dispostas verticalmente e a central em formato de medalhão ovalado, disposta verticalmente. As partes encontram-se interligadas por entalhe com ornamentação em motivos fitomorfos estilizados. As laterais do encosto se ligam ao assento através de entalhe com terminação em duas volutas (cada) e o medalhão central através de ornato com recorte em ogiva e dois detalhes quadrangulares incavos. Braços emoldurados com medalhão oval na parte central e terminação em curva que se prolonga na formação das duas pernas dianteiras posicionadas nas extremidades, com joelheiras pronunciadas. Pés curvos com terminação em pé-de-cachimbo. Aba frontal abaulada e emoldurada por friso. O móvel se sustenta sobre seis pernas, sendo as duas posteriores levemente abauladas e outras quatro posicionadas na parte frontal. Na parte posterior do móvel, três hastes de madeira, posicionadas na vertical, auxiliam na sustentação do encosto  das partes através de encaixes e parafusos. ","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
52,55,Cadeira de balanço,Não identificado,madeira | palinha,Minas Gerais,Séc. XIX,05 Interiores > 05.5 Peça de Mobiliário,,,,,,"Cadeira [de balanço], de manufatura singela e eclética, confeccionada em madeira (jacarandá), de estrutura quadrangular e assento trapezoidal  reto e inclinado, constituído em palhinha, com prolongamento para as pernas posteriores. Braços levemente abaulados com terminação em volutas, que se prolongam para constituição das pernas dianteiras, estas em curva e com joelheiras pronunciadas. Apoio das pernas sobre duas barras em meio-arco, com extremidades abauladas e a parte central recortada em curvas e contracurvas, que permitem o movimento do balanço.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
53,56,Cadeira,Não identificado,madeira | palinha,Minas Gerais,Séc. XIX,05 Interiores > 05.5 Peça de Mobiliário,,,,,,"Cadeira, de manufatura singela e eclética, confeccionada em madeira (jacarandá), de estrutura quadrangular e assento trapezoidal  dividido em duas traves, ambas com recortes em curva, sendo que na trave superior, o entalhe ultrapassa os montantes. Pernas dianteiras com joelheiras em curva e pernas posteriores levemente abauladas para trás. Não apresenta amarração em sua estrutura.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
54,57,Cadeira,Não identificado,madeira | palinha,Minas Gerais,Séc. XIX,05 Interiores > 05.5 Peça de Mobiliário,,,,,,"Cadeira, de manufatura singela e eclética, confeccionada em madeira (jacarandá), de estrutura quadrangular e assento  dividido em duas traves, ambas com recortes em curva, sendo que na trave superior, o entalhe ultrapassa os montantes. Pernas dianteiras com joelheiras em curva e pernas posteriores levemente abauladas para trás. Não apresenta amarração em sua estrutura.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
55,58,Console,Não identificado,madeira | mármore,Minas Gerais,Séc. XIX,05 Interiores > 05.5 Peça de Mobiliário,,,,,,"Console, , confeccionado em madeira (jacarandá), de estrutura retangular, com tampo de mármore branco apoiado sobre abas recortadas em curvas e contracurvas. A peça é sustentada por quatro pés, sendo os de trás com corte quadrangular, em prolongamento à estrutura inteiriça existente no fundo do móvel, em placa maciça de madeira, com friso interno. Apresenta pernas dianteiras em curvas e entalhe nos dois pés, com terminação em garra estilizada. Na parte inferior, apresenta outra espécie de tampo de sustentação, em placa de madeira delgada e abaulada, posicionada horizontalmente, acompanhando o design da peça.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
56,59,Cadeira,Não identificado,madeira | palinha,Minas Gerais,Séc. XIX,05 Interiores > 05.5 Peça de Mobiliário,,,,,,"Cadeira, de manufatura singela e eclética, confeccionada em madeira (jacarandá), de estrutura quadrangular e assento trapezoidal  dividido em duas traves, ambas com recortes em curva, sendo que na trave superior, o entalhe ultrapassa os montantes. Pernas dianteiras com joelheiras em curva e pernas posteriores levemente abauladas para trás. Não apresenta amarração em sua estrutura.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
57,60,Cadeira,Não identificado,madeira | palinha,Minas Gerais,Séc. XIX,05 Interiores > 05.5 Peça de Mobiliário,,,,,,"Cadeira, de manufatura singela e eclética, confeccionada em madeira (jacarandá), de estrutura quadrangular e assento  dividido em duas traves, ambas com recortes em curva, sendo que na trave superior, o entalhe ultrapassa os montantes. Pernas dianteiras com joelheiras em curva e pernas posteriores levemente abauladas para trás. Não apresenta amarração em sua estrutura.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
58,61,Console,Não identificado,madeira | mármore,Minas Gerais,Séc. XIX,05 Interiores > 05.5 Peça de Mobiliário,,,,,,"Console, , confeccionado em madeira (jacarandá), de estrutura retangular, com tampo de mármore branco apoiado sobre abas recortadas em curvas e contracurvas. A peça é sustentada por quatro pés, sendo os de trás com corte quadrangular, em prolongamento à estrutura inteiriça existente no fundo do móvel, em placa maciça de madeira, com friso interno. Apresenta pernas dianteiras em curvas e entalhe nos dois pés, com terminação em garra estilizada. Na parte inferior, apresenta outra espécie de tampo de sustentação, em placa de madeira delgada e abaulada, posicionada horizontalmente, acompanhando o design da peça.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
59,62,Cadeira,Não identificado,madeira | palinha,Minas Gerais,Séc. XIX,05 Interiores > 05.5 Peça de Mobiliário,,,,,,"Cadeira, de manufatura singela e eclética, confeccionada em madeira (jacarandá), de estrutura quadrangular e assento trapezoidal  dividido em duas traves, ambas com recortes em curva, sendo que na trave superior, o entalhe ultrapassa os montantes. Pernas dianteiras com joelheiras em curva e pernas posteriores levemente abauladas para trás. Não apresenta amarração em sua estrutura.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
60,63,Retrato (pintura),[José Vieira Ottoni],gesso | linho | madeira | moldura | tela | tinta,Rio de Janeiro,Séc. XIX,02 Artes Visuais/Cinematográfica > 02.6 Pintura,,,,,,"Pintura a óleo sobre tela, representando Jorge Benedicto Ottoni. Figura masculina, de meia-idade, em meio corpo, com o rosto ligeiramente voltado à sua direita, de cabelos curtos, barba semi-longa e bigodes espessos, em tom castanho escuro. Testa larga, sobrancelhas e olhos castanhos, com olhar direcionado à sua direita, orelha esquerda aparente, nariz longo e boca delgada em tom rosado. Traja sobrecasaca e gravata em laço, ambos em tom preto, sobre camisa branca com dois botões aparentes em tom marrom. Fundo acinzentado. Na parte inferior direita da tela, a assinatura do artista, sublinhada e posicionada em diagonal, em tinta branca: ""J.V. Ottoni"". Ao redor do retrato oval, reprodução de moldura, em tinta a óleo amarelada, com ornamentação de folhas de acanto em tom marrom nos quatro vértices da tela, sobre fundo em tom ferrugem. Moldura entalhada em madeira, dourada e pintada, com ornamentação em estuque (gesso). Apresenta frisos na parte interna, nos tons azul e verde, entremeados por ornamentação estilizada. Friso interno em dourado com ornatos perolados.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
61,64,Retrato (pintura),[Jordão de Oliveira],gesso | linho | madeira | moldura | tela | tinta,Rio de Janeiro,Séc. XX,02 Artes Visuais/Cinematográfica > 02.6 Pintura,,,,,,"Pintura a óleo sobre tela, representando Rosália de Souza Maia. Retrato de figura feminina, de meia-idade,  em meio corpo, posicionada ligeiramente de perfil, tendo o rosto com tez rosada e olhar sereno voltados à frente; cabelos castanhos escuros, divididos ao meio e presos em coque, encimados por travessa preta. Possui rosto ovalado, testa larga, sobrancelhas grossas e olhos castanhos claros, tendo ainda nariz grande e lábios finos, em tom vermelho. Orelha direita aparente, de onde pende um brinco de ouro e pedras preciosas. Vê-se parcialmente o brinco de sua orelha esquerda. Traja vestido em tom azul petróleo, com gola em renda branca encimada por laço no mesmo tom de azul. Na parte central da gola, destaca-se broche redondo, ornado por rosácea, que faz conjunto com o par de brincos, aparentando representar brilhantes e rubis. Fundo em tom marrom, com a parte direita da tela mais clara.  No canto inferior direita da tela, a assinatura do artista: ""Jordão/ Rio - 1955"", em tom vermelho. Moldura em madeira chanfrada e purpurinada, com ornamentação em ornamentação estilizada com motivos fitomorfos dispostos de forma seriada.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
62,65,Retrato (pintura),[Jordão de Oliveira],gesso | linho | madeira | moldura | tela | tinta,Rio de Janeiro,Séc. XX,02 Artes Visuais/Cinematográfica > 02.6 Pintura,,,,,,"Pintura a óleo sobre tela, representando Teófilo Benedicto Ottoni. Retrato de figura masculina, de meia-idade,  em meio corpo, voltada ligeiramente à sua esquerda, com o olhar direcionado para a frente. Cabelos castanhos lisos, partidos lateralmente, orelha direita aparente e esquerda parcialmente aparente, testa larga, sobrancelhas espessas e olhos castanhos, nariz grande, barba curta grisalha, e boca fechada, em tom avermelhado. Traja terno (colete e casaca) e gravata borboleta pretos, sobre camisa branca. Fundo em tons marrom e bege. No canto inferior direito, assinatura do artista em tinta vermelha: ""Jordão segundo/ Sisson - 1954"". Moldura em purpurina dourada, ornada por motivos fitomorfos e torsados.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
63,66,Retrato (pintura),[Jordão de Oliveira],gesso | linho | madeira | moldura | tela | tinta,Rio de Janeiro,Séc. XX,02 Artes Visuais/Cinematográfica > 02.6 Pintura,,,,,,"Pintura a óleo sobre tela, representando Christiano Benedicto Ottoni. Retrato de figura masculina, de meia-idade,  em meio corpo, voltada ligeiramente à sua esquerda, com o olhar direcionado para a frente. Calvo, com parcos cabelos lisos nas laterais, testa larga, orelhas aparentes, leve franzido na altura das sobrancelhas, olhos castanhos,nariz longilíneo, boca fechada, em tom avermelhado, e barba grisalha. Traja paletó preto sobre camisa branca, com dois botões circulares dourados aparentes e gravata borboleta branca. Fundo em tons marrom e cinza. No canto inferior direita da tela, a assinatura do artista: ""Jordão/ Rio - 1955"", em tom vermelho. Moldura em madeira chanfrada e purpurinada, com ornamentação estilizada com motivos fitomorfos dispostos de forma seriada.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
64,67,Retrato (pintura),[Jordão de Oliveira],gesso | linho | madeira | moldura | tela | tinta,Rio de Janeiro,Séc. XX,02 Artes Visuais/Cinematográfica > 02.6 Pintura,,,,,,"Pintura a óleo sobre tela, representando José Eloy Ottoni. Retrato de figura masculina, de meia-idade,  em meio corpo, voltada ligeiramente à sua direita, com o olhar direcionado à sua esquerda. Calvo, com cabelos lisos grisalhos penteados para frente, testa larga, orelha esquerda aparente, sobrancelhas pretas, olhos castanhos claros com enrugamento nas laterais,nariz grande, boca fina e fechada, em tom avermelhado. Traja sobretudo preto, com um botão aparente, sobre paletó e gravata borboleta pretas e camisa branca. Fundo em tons cinza, azul e bege. No canto inferior direito da tela, a assinatura do artista: ""Jordão/ 1962"", em tom vermelho descolorado. Moldura em madeira chanfrada e purpurinada, com ornamentação estilizada com motivos fitomorfos e torsado.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
65,68,Mesa de centro,Não identificado,madeira | mármore,Minas Gerais,Séc. XIX,05 Interiores > 05.5 Peça de Mobiliário,,,,,,"Mesa de centro, , confeccionada em madeira (jacarandá), de estrutura circular, com tampo de mármore branco apoiado sobre moldura escalonada. A peça é sustentada por três pernas, com terminação superior em volutas, interligadas na parte inferior por amarração em tábua recortada e abaulada, tendo ornamentação central em bolachas e frisos. Pés terminados em garras estilizadas.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
66,69,Lustre,Não identificado,jacarandá | madeira,Minas Gerais,Séc. XIX,05 Interiores > 05.4 Objeto de Iluminação,,,,,,"Lustre confeccionado em madeira (jacarandá), com quatro braços de iluminação e haste de sustentação contendo nove estruturas arredondadas, estando seis delas dispostas em dupla e as outras duas nas partes superior e inferior da haste, entremeadas por quatro estruturas longilíneas com frisos na parte central. Na parte inferior da haste, bola e dois frisos em meia-cana com arremate abaulado. Parte central do objeto em formato cilíndrico, com ornamentação em gomos dispostos três a três. Apresenta braços em curva, com moldura lateral e motivos decorativos compostos por traços na parte externa, arrematados em volutas e por bolacha de onde sai o local para encaixe da vela. Extremidade inferior do lustre com oito grupos contendo três frisos incavos (sendo um maior ladeado por dois menores) e arremate em bilro tripartido. Atualmente se apresenta em funcionamento com quatro lâmpadas.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
67,70,Luminária de mesa,Fábrica Rayo,metal | vidro,Bélgica,Séc. XIX,05 Interiores > 05.4 Objeto de Iluminação,,,,,,"Luminária [de mesa] confeccionada em metal dourado (latão e cobre) e vidro, de manufatura belga, com base circular decorada com pequenos traços verticais vazados e com perolado na superfície. Estrutura de sustentação abaulada e frisada, com estrangulamento e bojo delgado ornado por friso central. Apresenta estrutura decorativa de lamparina (para controle da chama) através de pequena haste em cobre ornada na extremidade por botão e gomos, além de possuir círculo com a inscrição do fabricante em relevo: ""RAYO"". Parte superior do objeto sustentada por cilindro terminado em bocal para colocação de lâmpada, ornada com motivos decorativos seriados e vazados em curvas (alguns quebrados). Sistema de fiação embutido. Cúpula em vidro branco opaco com abertura circular na superfície.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
68,71,Luminária de mesa,Não identificado,base | metal > bronze | cristal | mármore | metal | vidro,Inglaterra,Séc. XIX,05 Interiores > 05.4 Objeto de Iluminação,,,,,,"Luminária, confeccionada em vidro soprado, através da técnica ""overlay"" (vide referências bibliográficas), subdividida em três partes, tendo corpo em vidro opaco branco ornado por círculos, estruturas ovais e gomos transparentes emolduradas por frisos dourados. Parte superior redonda com abertura em corte circular para saída da iluminação, tendo ornamentação com onze círculos dispostos em linha seguidos de grupos de quatro motivos decorativos ovais e, em seguida, dez gomos (""janelas""). Estrangulamento da peça com estrutura em bronze dourado com friso e bocal com pequenos orifícios. Parte central em vidro com a mesma padronagem da parte superior. Terminação da peça com estrutura de vidro longilínea, decorada com cinco círculos na parte superior e cinco círculos na parte inferior entremeados por cinco gomos. Peça apoiada sobre pedestal em mármore escalonado e alternado por placas quadrangulares em bronze dourado ornadas com motivos fitomorfos  as partes de vidro central e inferior, reprodução de capitel coríntio em bronze dourado sob estrutura cilíndrica abaulada no mesmo metal.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
69,72,Luminária de mesa,Não identificado,base | metal > bronze | cristal | mármore | metal | vidro,Inglaterra,Séc. XIX,05 Interiores > 05.4 Objeto de Iluminação,,,,,,"Luminária, confeccionada em vidro soprado, através da técnica ""overlay"" (vide referências bibliográficas), subdividida em três partes, tendo corpo em vidro opaco branco ornado por círculos, estruturas ovais e gomos transparentes emolduradas por frisos dourados. Estrangulamento da peça com estrutura em bronze dourado com friso e bocal com pequenos orifícios. Terminação da peça com estrutura de vidro longilínea, decorada com cinco círculos na parte superior e cinco círculos na parte inferior entremeados por cinco gomos. Peça apoiada sobre pedestal em mármore escalonado e alternado por placas quadrangulares em bronze dourado ornadas com motivos fitomorfos  as partes de vidro central e inferior, reprodução de capitel coríntio em bronze dourado sob estrutura cilíndrica abaulada no mesmo metal.","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
70,73,Cadeira,Não identificado,madeira | palinha,Minas Gerais,Séc. XIX,05 Interiores > 05.5 Peça de Mobiliário,,,,,,"Cadeira,  I, confeccionada em madeira (jacarandá mineiro), de estrutura quadrangular e assento trapezoidal  dividido em dois corpos, tendo ornamentação em marchetaria, com filetes em pau-marfim e desenho em formato de escudo elíptico ladeado por dois vértices invertidos, na parte superior. Na parte inferior do espaldar, três varetas delgadas posicionadas paralelamente. Pernas dianteiras e posteriores retilíneas e lisas. Amarração com travejamento em ""H"".","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
71,74,Cadeira,Não identificado,madeira | palinha,Minas Gerais,Séc. XIX,05 Interiores > 05.5 Peça de Mobiliário,,,,,,"Cadeira,  I, confeccionada em madeira (jacarandá mineiro), de estrutura quadrangular e assento trapezoidal  dividido em dois corpos, tendo ornamentação em marchetaria, com filetes em pau-marfim e desenho em formato de escudo elíptico ladeado por dois vértices invertidos, na parte superior. Na parte inferior do espaldar, três varetas delgadas posicionadas paralelamente. Pernas dianteiras e posteriores retilíneas e lisas. Amarração com travejamento em ""H"".","Domínio público, ver http://museuregionalcasadosottoni.acervos.museus.gov.br/reproducao-de-imagens/",museuregionalcasadosottoni_-_acervo-museologico,https://museuregionalcasadosottoni.acervos.museus.gov.br/wp-json/tainacan/v2/collection/31492/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,31492
