,Número,Coleção,Título,Procedência,Data,Ano,Material/Técnica,Objeto,Dimensões,Descrição,Autor,ACERVO,URL,TAINACAN_COLECTION_ID
2,1151,IV Centenário da Cidade de Vitória,Grande Desfile Escolar,Museu Capixaba (23/02/1968),07/09/1951,1951.0,Foto | Preto e branco,Albúm Fotográfico,"17,6 x 24 cm","Multidão em frente ao Porto de Vitória, esperando o Grande Desfile Escolar. Vemos alguns estudantes uniformizados e com bicicletas.",Jamil Merjane (ES),museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
3,1152,IV Centenário da Cidade de Vitória,Grande Desfile Escolar,Museu Capixaba (23/02/1968),07/09/1951,1951.0,Foto | Preto e branco,Albúm Fotográfico,"17,6 x 24 cm","Grande Desfile Escolar na Avenida Getúlio Vargas, jovens desfialndo com calças brancas e blusas escuras.",Jamil Merjane (ES),museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
4,1161,IV Centenário da Cidade de Vitória,Desfile Escolar - Infantil,Museu Capixaba (23/02/1968),07/09/1951,1951.0,Foto | Preto e branco,Albúm Fotográfico,"24 x 17,6 cm","Desfile escolar. Vemos uma menina de pé a frente e outras no fundo. Menina vestida com terninho e gravata, shorte e sapatilha. Desfile escolar realizado na Avenida Getúlio Vargas.",Jamil Merjane (ES),museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
5,1164,IV Centenário da Cidade de Vitória,Desfile Escolar - Infantil,Museu Capixaba (23/02/1968),07/09/1951,1951.0,Foto | Preto e branco,Albúm Fotográfico,"24 x 17,6 cm","Grupo de crianças segurando enxadas, com Governador Dr. Jones dos Santos Neves.",Jamil Merjane (ES),museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
6,1169,IV Centenário da Cidade de Vitória,Grande Desfile Escolar,Museu Capixaba (23/02/1968),07/09/1951,1951.0,Foto | Preto e branco,Albúm Fotográfico,"17,6 x 24 cm",Grande Desfile Escolar na Avenida Getúlio Vargas. Dez (10) meninas vestidas com blusas brancas com as letras da palavra CENTENÁRIO.,Jamil Merjane (ES),museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
7,370,Companhia Vale do Rio Doce - CVRD,Obras no Porto de Tubarão,CVRD,22/10/1965,1965.0,Foto | Preto e branco,Fotografia,18 x 24 cm,Ao centro construção de uma espécie de Túnel pequeno por onde entra o vagão de trem. A direitauma obra e a esquerda um guindaste.,Ignorado,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
8,371,Companhia Vale do Rio Doce - CVRD,Obras no Porto de Tubarão,CVRD,22/10/1965,1965.0,Foto | Preto e branco,Fotografia,,"Vista de um guindaste, ao fundo a torre e à frente máquinas e obras no porto de Tubarão.",Ignorado,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
9,376,Companhia Vale do Rio Doce - CVRD,Vista aérea do Porto de Tubarão,CVRD,22/10/1965,1965.0,Foto | Preto e branco,Fotografia,18 x 24 cm,Vista aérea do Porto de Tubarão em construção.,Ignorado,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
10,380,Companhia Vale do Rio Doce - CVRD,Construção de Estrada de Ferro,CVRD,22/10/1965,1965.0,Foto | Preto e branco,Fotografia,18 x 24 cm,Vista aérea da construção de uma estrada de ferro.,Ignorado,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
11,389,Companhia Vale do Rio Doce - CVRD,Vista aérea do Porto de Tubarão,CVRD,22/10/1965,1965.0,Foto | Preto e branco,Fotografia,"18 x 23,9 cm","Vista aérea do Porto de Tubarão, em construção.",Ignorado,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
12,392,Companhia Vale do Rio Doce - CVRD,Funcionários da CVRD,CVRD,22/10/1965,1965.0,Foto | Preto e branco,Fotografia,"18 x 23,9 cm",Grupo de homens em pé e outros.,Ignorado,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
13,400,Companhia Vale do Rio Doce - CVRD,Vista aérea do Porto de Tubarão,CVRD,22/10/1965,1965.0,Foto | Preto e branco,Fotografia,"18 x 23,9 cm",Vista aérea do Porto de Tubarão em construção.,Ignorado,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
14,403,Companhia Vale do Rio Doce - CVRD,Vista aérea do Porto de Tubarão,CVRD,22/10/1965,1965.0,Foto | Preto e branco,Fotografia,18 x 24 cm,Vista aérea do Porto de Tubarão em construção.,Ignorado,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
15,1277,Postais,Citroen Adaptado,Rio de Janeiro,18/11/1966,1966.0,Impressão | Papel colorido,Cartão Postal,"8,6 x 14,4 cm","Carro adaptado à linha férrea, com pneus, puxando um reboque. À frente homem de pé, atrás um galpão. Cartão oferecido ao Sr. Engenheiro Quintino",Ignorado,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
16,588,Desenhos,Capela de São Francisco no Convento da Penha,Não identificado,10/02/1950,1950.0,Bico de pena | Desenho | Papel,Planta,"31 x 42,6 cm","Croquis para a restauração da Capela de São Francisco pertencente ao Conjunto Histórico do Convento da Penha - Vila Velaha - ES. Vemos a fachada e a lateral esquerda, os corte AB e CD e a Planta baixa. Assinado e datado no canto inferior esquerdo.",André Carloni (Vitória),museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
17,27,Acervo Museu Solar Monjardim,Arquivo de Aço com peças do Museu,MSM,14/12/1990,1990.0,Foto | Preto e branco,Fotografia,"22 x 14,5 cm","Arquivo de aço com peças do acervo do Museu Solar Monjardim. Em suas gavetas encontram-se chaves, fechaduras etc.",Ignorado,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
18,28,Acervo Museu Solar Monjardim,10 anos do Museu Solar Monjardim,MSM,14/12/1990,1990.0,Foto | Preto e branco,Fotografia,"14,5 x 22 cm",Coquetel Comemorativo aos 10 anos do Museu Solar Monjardim. Na varanda.,Ignorado,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
19,29,Acervo Museu Solar Monjardim,Armário com peças,MSM,14/12/1990,1990.0,Foto | Preto e branco,Fotografia,"22 x 14,5 cm","Armário de aço com prateleiras, contendo peças do acervo do Museu Solar Monjardim.",Ignorado,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
20,30,Acervo Museu Solar Monjardim,Mapoteca da Reserva Técnica,MSM,14/12/1990,1990.0,Foto | Preto e branco,Fotografia,"14,5 x 22 cm",,Ignorado,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
21,31,Acervo Museu Solar Monjardim,Armário de aço,MSM,14/12/1990,1990.0,Foto | Preto e branco,Fotografia,"22 x 14,5 cm","Armário de aço com prateleiras, contendo peças do acervo do Museu Solar Monjardim.",Ignorado,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
22,32,Acervo Museu Solar Monjardim,Armário de aço,MSM,14/12/1990,1990.0,Foto | Preto e branco,Fotografia,"22 x 14,5 cm","Armário de aço com prateleiras, contendo peças do acervo do Museu Solar Monjardim.",Ignorado,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
23,33,Acervo Museu Solar Monjardim,10 anos do Museu Solar Monjardim,MSM,14/12/1990,1990.0,Foto | Preto e branco,Fotografia,"14,5 x 22 cm",Coral da Ufes e Maestro Cláudio Modesto. Apresentação no Coquetel de Comemoração aos 10 anos do Museu Solar Monjardim.,Ignorado,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
24,34,Acervo Museu Solar Monjardim,10 anos do Museu Solar Monjardim,MSM,14/12/1990,1990.0,Foto | Preto e branco,Fotografia,"14,5 x 22 cm","Sala de Jantar do MSM, onde vê-se a diretora Leonor Aarújo falando para os presentes entre eles o Reitor da UFES, Rômulo Penina, o Sub Reitor Comunitário Antonio Claudino, e o Diretor da FCAA Agostinho Merçom na comemoração dos 10 anos do Museu Solar Mon",Ignorado,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
25,68,Acervo Museu Solar Monjardim,10 anos do Museu Solar Monjardim,MSM,14/12/1990,1990.0,Foto | Preto e branco,Fotografia,"14,5 x 22 cm","Cantor com violão se apresentando na comemoração dos 10 Anos do MSM, na sala de jantar.",Ignorado,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
26,1303,Reproduções Fotográficas,Estação de Cariacica,Não identificado,10/04/1908,1908.0,Preto e branco | Reprodução,Reprografias,12 x 18 cm,Estação ferroviária de Cariacica com pessoas na frent. No canto inferior esquerdo vemos uma ave parada. Ao fundo uma locomotiva chegando.,Valter Monteiro,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
27,1304,Reproduções Fotográficas,Estação de Cariacica,Não identificado,10/04/1908,1908.0,Preto e branco | Reprodução,Reprografias,,Estação ferroviária de Cariacica com pessoas na frente No canto inferior esquerdo vemos uma ave parada. Ao fundo uma locomotiva chegando.,Valter Monteiro,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
28,1305,Reproduções Fotográficas,Estação Maylasky,Não identificado,10/04/1908,1908.0,Preto e branco | Reprodução,Reprografias,12 x 18 cm,Estação Maylasky da estrada de ferro Vitória Minas. Dois trens em sentidos contrarios passam em frente à estação. Vegetação ao fundo.,Valter Monteiro,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
29,1306,Reproduções Fotográficas,Estação Maylasky,Não identificado,10/04/1908,1908.0,Preto e branco | Reprodução,Reprografias,12 x 18 cm,Estação Maylasky da estrada de ferro Vitória Minas. Dois trens em sentidos contrarios passam em frente à estação. Vegetação ao fundo.,Valter Monteiro,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
30,1307,Reproduções Fotográficas,Estrada em Construção,Não identificado,10/04/1908,1908.0,Preto e branco | Reprodução,Reprografias,12 x 18 cm,Construçao da estrada de ferro Vitória - Minas. Vemos um trilho sobre um rio ao fundo mata e barracos.,Valter Monteiro,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
31,1308,Reproduções Fotográficas,Estrada em Construção,Não identificado,10/04/1908,1908.0,Preto e branco | Reprodução,Reprografias,12 x 18 cm,Construçao da estrada de ferro Vitória - Minas. Vemos um trilho sobre um rio ao fundo mata e barracos.,Valter Monteiro,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
32,1310,Reproduções Fotográficas,Locomotiva com três pessoas,Não identificado,10/04/1908,1908.0,Preto e branco | Reprodução,Reprografias,12 x 18 cm,Locomotiva com três homens na frente e ao fundo mais dois. Está ladeada pela mata.,Valter Monteiro,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
33,1311,Reproduções Fotográficas,Locomotiva com três pessoas,Não identificado,10/04/1908,1908.0,Preto e branco | Reprodução,Reprografias,12 x 18 cm,Locomotiva com três homens na frente e ao fundo mais dois. Está ladeada pela mata.,Valter Monteiro,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
34,1312,Reproduções Fotográficas,Locomotiva com três pessoas,Não identificado,10/04/1908,1908.0,Preto e branco | Reprodução,Reprografias,12 x 18 cm,Locomotiva com três homens na frente e ao fundo mais dois. Está ladeada pela mata.,Valter Monteiro,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
35,1313,Reproduções Fotográficas,Construção de Estrada de Ferro,Não identificado,10/04/1908,1908.0,Preto e branco | Reprodução,Reprografias,12 x 18 cm,"Estrada de ferro em construção sobre um burraco. Várias pessoas, homens e mulheres, estão sobre os trilhos.",Valter Monteiro,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
36,1314,Reproduções Fotográficas,Construção de Estrada de Ferro,Não identificado,10/04/1908,1908.0,Preto e branco | Reprodução,Reprografias,12 x 18 cm,"Estrada de ferro em construção sobre um burraco. Várias pessoas, homens e mulheres, estão sobre os trilhos.",Valter Monteiro,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
37,1315,Reproduções Fotográficas,Construção de Estrada de Ferro,Não identificado,10/04/1908,1908.0,Preto e branco | Reprodução,Reprografias,12 x 18 cm,"Estrada de ferro em construção sobre um burraco. Várias pessoas, homens e mulheres, estão sobre os trilhos.",Valter Monteiro,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
38,1316,Reproduções Fotográficas,Construção de Estrada de Ferro,Não identificado,10/04/1908,1908.0,Preto e branco | Reprodução,Reprografias,12 x 18 cm,"Estrada de ferro em construção sobre um burraco. Várias pessoas, homens e mulheres, estão sobre os trilhos.",Valter Monteiro,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
39,1317,Reproduções Fotográficas,Locomotiva,Não identificado,10/04/1908,1908.0,Preto e branco | Reprodução,Reprografias,12 x 18 cm,Locomotiva parada com vários homens em pé à frente. Vegetação no canto esquerdo.,Valter Monteiro,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
40,1318,Reproduções Fotográficas,Locomotiva,Não identificado,10/04/1908,1908.0,Preto e branco | Reprodução,Reprografias,12 x 18 cm,Locomotiva parada com vários homens em pé à frente. Vegetação no canto esquerdo.,Valter Monteiro,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
41,1319,Reproduções Fotográficas,Construçao de Ponte,Não identificado,10/04/1908,1908.0,Preto e branco | Reprodução,Reprografias,12 x 18 cm,"Estrada de ferro em construção sobre um burraco. Várias pessoas, estão sobre os trilhos. Ao fundo mata.",Valter Monteiro,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
42,1322,Reproduções Fotográficas,Estação Porto Bello,Não identificado,10/04/1908,1908.0,Preto e branco | Reprodução,Reprografias,12 x 18 cm,Estação com locomotiva parada . Pessoas na estação e um homem próximo à locomotiva. No canto direito vemos parte de vegetação.,Valter Monteiro,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
43,220,Carte-de-visite,Não identificado,Beatrice Monjardim Castelo Branco,06/05/1870,1870.0,Preto e branco,Fotografia,"10,5 x 6,2 cm","Figura masculina, corpo inteiri de pé. Sua mão esquerda segura umpar de luvas e se apoia no espaldar de uma cadeira de palhinha. Mao direita ao longo do corpo segura uma cartola e um guarda-chuva. No verso dedicatória: ""Ao Senhor Tenente Coronel Alpheo Ad",Ignorado,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
44,270,Carte-de-visite,Marcelino Tostes,Beatrice Monjardim Castelo Branco,06/03/1882,1882.0,Gabinet | Preto e branco,Fotografia,"15,8 x 10,9 cm","Figura masculina de meio corpo, voltado para a esquerda. Usa barba, bigode grissalhos assim como os cabelos. Casaco com gola bordada.",J. Insley Pacheco,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
45,199,Carte-de-visite,Antonio da Silva Borges,Beatrice Monjardim Castelo Branco,05/04/1876,1876.0,Albúmen,Fotografia,"10,1 x 6 cm","Busto de figura masculina de frente. Usa bigode e cavanhaque. Cabelo penteado para tras. No verso dedicatória: "" Como verdadeira prova de consideração, respeito e estima, offereço ao meu (...) prezado amigo o Senhor Tenente Coronel Alpheo Adelpho Monjardi",Ignorado,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
46,190,Carte-de-visite,Aureo Trifino Monjardim,Beatrice Monjardim Castelo Branco,30/08/1875,1875.0,Preto e branco,Fotografia,"10,4 x 6,3 cm","Corpo inteiro de pé, apoiado com o antebraço direito em uma meia coluna de mármore. Perna direita ligeiramente flexionada e a outra reta. Veste terno completo com gravata borboleta e corrente no bolso direito do colete. Usa barba e bigode com cabelos repa",Lopes Photographia (RJ),museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
47,262,Carte-de-visite,Não identificado,Beatrice Monjardim Castelo Branco,30/07/1874,1874.0,Albúmen,Fotografia,"10,5 x 6,2 cm","Final do século XIX. Busto com corpo voltado para a direita, cabeça para a frente. Usa bigode, cabelo repartido de lado e ondulado.",Photographia Imperial de Lopes & Co. (RJ),museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
48,237,Carte-de-visite,Frederico Clerias,Beatrice Monjardim Castelo Branco,30/05/1880,1880.0,Albúmen,Fotografia,"10,5 x 6,3 cm","Homem sentado de pernas cruzadas, a mão esquerda segura um livro. Traz no peito 5 condecorações. Ao fundo um esquadro e um compasso simbolos da maçonaria. No verso a seguinte dedicatória: "" ""Ao Excellentissimo Senhor Tenente Coronel Alpheo Adelpho Monjard",Joaquim Ayres,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
49,257,Carte-de-visite,V. M. do Valle,Beatrice Monjardim Castelo Branco,27/04/1872,1872.0,Preto e branco,Fotografia,"10,6 x 6,3 cm","Busto voltado para a esquerda. Veste paletó, usa barba e bigode; cabelo repartido de lado. Moldura da fotografia com fitas e laços. No verso dedicatória: "" Offerece em signal de estima ao (...) tem. Cor. Alpheu A. A. e Almeida Monjardim (...) V. M. do val",Ignorado,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
50,1330,Reproduções Fotográficas,Túnel da Mantigueira,Casa Rui Barbosa - RJ,25/06/1882,1882.0,Preto e branco | Reprodução,Reprografias,"24,4 x 18,1 cm","Entrada do túnel da Mantigueira. Vê-se algumas pessoas em pé. Entre elas o Imperador Dom Pedro II, a Imperatriz Tereza Cristina e a Princesa Isabel.",Ignorado,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
51,657,Família Monjardim,Sem Titulo,Não identificado,25/03/1877,1877.0,Albúmen | Papel,Albúm Fotográfico,"10,4 x 6,3 cm","Carte-de-visite final do século XIX. Figura masculina com o corpo levemente virado para a direita. No verso a seguinte dedicatória: ""Offerecido ao Sr. Antonio José Ramos em signal de amizade. 25-3-1877"".",Photographia A. J. de Brito (RJ),museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
52,225,Carte-de-visite,Zoroastro Nogueira Alves de Macedo,Beatrice Monjardim Castelo Branco,23/12/1875,1875.0,Preto e branco,Fotografia,"10,4 x 6,3 cm","Homem de pé, apoia a mão direita numa coluna grega, tendo um jarro de flores como enfeite. Usa cartola e casaca. No verso a seguinte dedicatória: ""Ao Ilustríssimo Senhor Tenente Coronel Alpheo Adelpho Monjardim de Andrade e Almeida. M. D. Inspector d'Alfa",Photographia do Lopes (RJ),museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
53,669,Família Monjardim,Thereza de Jesus Ramos,Não identificado,23/01/1876,1876.0,Albúmen | Papel,Albúm Fotográfico,"10,4 x 6,3 cm","Carte-de-visite final do século XIX. Figura feminina sentada com o braço apoiado sobre uma mesa. No verso a seguinte dedicatória: ""Offerece o seu retrato em signal de amizade e fratenal amor ao meu mano Antonio José Ramos. 23 de janeiro de 1876"".",Ignorado,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
54,276,Carte-de-visite,Francisco V.,Beatrice Monjardim Castelo Branco,22/04/1871,1871.0,Gabinet | Sépia,Fotografia,"16,6 x 10,6 cm","Busto de figura masculina ligeiramente voltada para a esquerda. Veste paleto . Usa barba farta e bigode. É ligeiramente calvo na fronte. No verso dedicatória: ""(...) Barão de Monjardim em signal de consideração e amizade, offereço o meu retrato. Francisco",José Florencio de Oliver (Vitória),museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
55,197,Carte-de-visite,Candido Amorim Tavares,Beatrice Monjardim Castelo Branco,20/04/1872,1872.0,Preto e branco,Fotografia,"10 x 6,1 cm","Figura masculina de corpo inteiro, sentado com o braço direito apoiado numa mesa e o esquerdo sobre a perna. No verso dedicatória: "" Ao Excelentíssim Alpheo Adelpho Monjardim de Andrade e Almeida offereço em signal de amizade e apreço. Bahia 20 de abril d",Photographia Imperial de Lopes & Co. (RJ),museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
56,640,Família Monjardim,Casal,Não identificado,02/09/1898,1898.0,Albúmen | Papel,Albúm Fotográfico,10 x 14 cm,"Foto Gabinet final do século XIX - casal em pé, apoiam a mão em uma especie de cerca. Mulher segura um leque na mão direita. No verso a seguinte dedicatória: ""Ao meu amigo Francisco Rodrigues de Carvalho. 2 de setembro de 1898.""",A. Elias da Silva (RJ),museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
57,641,Família Monjardim,Casal,Não identificado,02/09/1898,1898.0,Albúmen | Papel,Albúm Fotográfico,10 x 14 cm,"Foto Gabinet final do século XIX - casal em pé, apoiam a mão em uma especie de cerca. Mulher segura um leque na mão direita. No verso não tem a dedicatória.",A. Elias da Silva (RJ),museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
58,258,Carte-de-visite,M. Prado,Beatrice Monjardim Castelo Branco,02/12/1879,1879.0,Albúmen,Fotografia,"10,4 x 6,3 cm","Busto masculino, com cabeça voltada para a direita. Veste paletó e colete. Bigode e cavanhaque ralo. No verso dedicatória: "" Ao amigo Alpheu Monjardim. Dedicação e amizade. M. Prado 2-12-1879 Victória"".",J. F. Guimarães (RJ),museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
59,638,Família Monjardim,Antônio José Dias,Não identificado,16/04/1890,1890.0,Albúmen | Papel,Albúm Fotográfico,10 x 14 cm,"Foto Gabinet final do século XIX - Homem com longos bigodes. Casaco entre aberto mostrando uma corrente. No verso a seguinte dedicatória: "" Offerecido ao meu bom mestre e amigo Antonio José Ramos como única prova de sincera amizade. 16 de abril de 1890.",Photographia Santos Moreira (RJ),museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
60,247,Carte-de-visite,José Aureo Monjardim,Beatrice Monjardim Castelo Branco,14/03/1898,1898.0,Preto e branco,Fotografia,"10,5 x 6,3 cm","busto voltado para a direita. Usa bigode e cabelo repartido de lado. Filho de Aureo Trifino Monjardim e Maria Carlota Correia da Silva. Irmão caçula de Ana, Dalmácia e Letícia Monjardim. no verso dedicatória: ""Ao meu amigo e tio Barão de Monjardim offere",Antonio Cappelletti (ES),museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
61,171,Carte-de-visite,Não identificado,Beatrice Monjardim Castelo Branco,01/01/1879,1879.0,Albúmen,Fotografia,"10,5 x 6,3 cm","Figura masculina em meio corpo, com cabeça voltada para a diretita. Usa barba e bigode, colete e paletó. No verso da foto a seguinte dedicatória: ""Ao Excelentíssimo Senhor Alpheo Monjardim. 1 de Janeiro de 1879"".",Carneiro Silva & Tavares (RJ),museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
62,1261,Postais,Navio Ancorado no Porto de Tubarão,CVRD,12/1972,1972.0,Impressão | Papel colorido,Cartão Postal,"11,8 x 16,3 cm","Reprodução de dois navios ancorados no Porto de Tubarão. Atrás a inscrição ""navio Berge Istra, atracado no Porto de Tubarão - Feliz Natal e Próspero Ano Novo. 1972 - 1973"". CVRD Relações Públicas - Vitoria/ES.",Ignorado,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
63,447,Companhia Vale do Rio Doce - CVRD,Natal do Filho do Ferroviário - Vitória,CVRD,12/1951,1951.0,Foto | Preto e branco,Albúm da CVRD,"16,9 x 23 cm","Grupo de crianças, ao fundo vemos um papai noel e do lado esquerdo um senhor de óculos, terno e chapéu.",Ignorado,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
64,448,Companhia Vale do Rio Doce - CVRD,Natal do Filho do Ferroviário - Aymorés,CVRD,12/1951,1951.0,Foto | Preto e branco,Albúm da CVRD,"5,5 x 8,9 cm",Mulheres distribuindo brinquedos às crianças.,Ignorado,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
65,449,Companhia Vale do Rio Doce - CVRD,Natal do Filho do Ferroviário,CVRD,12/1951,1951.0,Foto | Preto e branco,Albúm da CVRD,"8,3 x 5,6 cm","Pessoas próximas a um trilho de trem. (fotografia muito ruim, fora de foco).",Ignorado,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
66,450,Companhia Vale do Rio Doce - CVRD,Natal do Filho do Ferroviário,CVRD,12/1951,1951.0,Foto | Preto e branco,Albúm da CVRD,"8,3 x 5,6 cm","Três crianças e um adulto. (fotografia muito ruim, fora de foco).",Ignorado,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
67,458,Companhia Vale do Rio Doce - CVRD,Natal do Filho do Ferroviário - Aymorés,CVRD,12/1951,1951.0,Foto | Preto e branco,Albúm da CVRD,"5,5 x 8,9 cm",Várias pessoas no interior de uma sala. Ao fundo um quadro na parede e uma árvore de natal.,Ignorado,museusolarmonjardim_-_documentos-historicos,https://museusolarmonjardim.acervos.museus.gov.br/documentos-historicos/,31273
