,Número de registro,Denominação,Título,Autor,Classificação,Resumo descritivo,Dimensões - altura,Dimensões - largura,Dimensões - profundidade/comprimento,Dimensões - diâmetro,Dimensões - peso,Material/Técnica,Local de produção,Data de produção,ACERVO,URL,TAINACAN_COLECTION_ID
66,210,Gamela,,Não identificado,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"Gamela cônica, com quatro orelhas junto à borda.","25,0",,,"94,5",,entalhe | madeira,Brasil > Minas Gerais,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
67,209,Pote,,Não identificado,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"Pote circular bojudo, tendo na parte superior duas pequenas pegas cilíndricas. Boca com a borda ressaltada.","28,0",,,"21,0",,barro | modelagem | queima,Brasil > Minas Gerais,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
68,208,Pote,,Não identificado,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"Pote cilíndrico, bojudo ao centro, com pintura branca de motivos fitomorfos.","28,0",,,"19,0",,barro | modelagem | pintura | queima | tinta,Brasil > Minas Gerais,Século XIX/XX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
69,207,Travessa,,Não identificado,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"Travessa funda de formato elíptico, com decoração azul, com frisos geométricos, quadriculados, ramos com flores, acantos e perolados junto à borda; centro em motivos orientais de salgueiro, pagodes, pontes com ilhas onde se encontram três figuras humanas carregando lanternas, embarcação com figura humana, diferentes tipos de árvores, e dois pássaros (andorinhas); cercadura em frisos de elementos geométricos e quadriculados de flores.","4,0"," 34,5 ","27,5",,,cerâmica monocromada,China,Século XVIII,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
70,206,Travessa,,Não identificado,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"Travessa funda de formato elíptico, com decoração azul, com frisos geométricos, listras e flores junto à borda; centro em motivos orientais de salgueiro, pagodes, pontes com ilhas onde se encontram duas figuras humanas; cercadura em frisos entrelaçados, ramos, gilhochês e “calçada de pedras”.","4,5"," 40,0 ","31,7",,,cerâmica monocromada,China,Século XVIII,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
71,205,Bule,,Não identificado,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"Bule de bojo oitavado, bojudo inferiormente, com base circular. Bico sextavado e curvo, mais grosso inferiormente. Alça em formato de um “J” invertido, em três “cês”. Decoração em azul, com motivos orientais, em pagodes, salgueiros, ilhas, escadas e motivos geométricos. Tampa em forma de uma cúpula oitavada, arrematada por pega em formato de uma pinha, com decoração em motivos geométricos borrados.","25,5"," 26,0 ",,,,cerâmica monocromada,Inglaterra,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
72,204,Bule,,Não identificado,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"Bule de bojo oitavado, bojudo inferiormente, com base circular; decoração de listras azuis largas intercaladas por listras em zigue-zague “rouge” (raios de sol). Bico curvo, de cinco faces, decorado por motivos fitomorfos em azul e dourado. Alça em formato de um “J” invertido, com decoração em motivos fitomorfos em azul. Tampa em forma de uma cúpula oitavada, arrematada por pega em formato de uma pinha, com decoração igual à do bojo, possuindo um pequeno orifício lateral.","28,0"," 23,5 ",,,,cerâmica,Inglaterra,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
73,203,Terrina,,[W. Adans & Sons?],05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"Terrina com decoração azul, de formato oitavado, de base e tampa em cúpula arrematada por pega em forma de pinha; decoração em motivos orientais com salgueiro, pagodes, pássaros, pontes com figuras humanas, ilhas distantes, frisos geométricos com guilhochês.","18,0"," 25,5 ","25,5",,,cerâmica monocromada,Inglaterra,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
74,202,Pires,,Não identificado,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"Pires circular fundo, com decoração de listras azuis largas intercaladas por listras em zigue-zague “rouge” (raios de sol); fundo com flor de cinco pétalas (rouge-de-fer).","2,0",,,"11,0",,cerâmica,Inglaterra,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
75,201,Xícara,,Não identificado,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"Xícara cônica, com decoração de listras azuis largas intercaladas por listras em zigue-zague “rouge” (raios de sol); alça curva com detalhe dourado; borda interna contornada por friso dourado.","5,0"," 9,0 ",,"8,0",,cerâmica,Inglaterra,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
76,200,Pires,,Não identificado,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"Pires circular fundo, com decoração de listras azuis largas intercaladas por listras em zigue-zague “rouge” (raios de sol); fundo com flor de cinco pétalas (rouge-de-fer).","2,0",,,"11,0",,cerâmica,Inglaterra,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
77,199,Xícara,,Não identificado,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"Xícara cônica, com decoração de listras azuis largas intercaladas por listras em zigue-zague “rouge” (raios de sol); alça curva com detalhe dourado; borda interna contornada por friso dourado.","5,0"," 9,0 ",,"8,0",,cerâmica,Inglaterra,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
78,198,Pires,,Não identificado,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"Pires circular fundo, com decoração de listras azuis largas intercaladas por listras em zigue-zague “rouge” (raios de sol); fundo com flor de cinco pétalas (rouge-de-fer).","2,0",,,"11,0",,cerâmica,Inglaterra,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
79,197,Xícara,,Não identificado,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"Xícara cônica, com decoração de listras azuis largas intercaladas por listras em zigue-zague “rouge” (raios de sol); alça curva com detalhe dourado; borda interna contornada por friso dourado.","5,0"," 9,0 ",,"8,0",,cerâmica,Inglaterra,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
80,196,Pires,,Não identificado,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"Pires circular fundo, com decoração de listras azuis largas intercaladas por listras em zigue-zague “rouge” (raios de sol); fundo com flor de cinco pétalas (rouge-de-fer).","2,0",,,"11,0",,cerâmica,Inglaterra,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
81,195,Xícara,,Não identificado,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"Xícara cônica, com decoração de listras azuis largas intercaladas por listras em zigue-zague “rouge” (raios de sol); alça curva com detalhe dourado; borda interna contornada por friso dourado.","5,0"," 9,0 ",,"8,0",,cerâmica,Inglaterra,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
82,194,Açucareiro,,Não identificado,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"Açucareiro de formato cilíndrico, de base saliente, com alça retangular recurvada; tampa cônica, de borda ondulada, terminada em pega no formato de pinha; com decoração de listras azuis largas intercaladas por listras em zigue-zague “rouge” (raios de sol), e frisos dourados na borda e na alça.","10,5",,,"12,0",,cerâmica,Inglaterra,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
83,193,Prato,,Não identificado,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"Prato circular, com dois recortes salientes em formato de alça, com relevo de motivos fitomorfos; borda em friso azul, com motivos fitomorfos intercalados por elementos geométricos; fundo com paisagem de salgueiro e pagodes.","2,0"," 21,5 ",,"19,0",,cerâmica monocromada,Inglaterra,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
84,192,Prato,,Não identificado,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"Prato fundo, em cerâmica branca com decoração marrom, de borda decorada em frisos de ondulados com folhas picotadas grandes e contas; fundo com florâcea de oito pétalas com estrela de oito pontas ao meio.","4,0",,,"26,0",,cerâmica,Europa,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
85,191,Prato,,[W. Adans & Sons?],05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"Prato fundo, com decoração em azul borrão, com listras azuis largas e listras em zigue-zague “rouge” finas. Centro com flor de cinco pétalas (rouge-de-fer).","4,0",,,"21,5",,cerâmica,Inglaterra,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
86,190,Prato,,Não identificado,05 Interiores > 05.6 Utensílio de Cozinha/Mesa,"Prato raso, branco com decoração em azul, de borda levemente ondulada, decorada em ramos com folhas largas e picotadas, intercaladas por laços.","2,5",,,"22,5",,cerâmica,Inglaterra,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
87,189,Grimpa,,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Grimpa recortada em forma de um galo, com a calda de recorte duplo, em tons avermelhados (papo e crista) e preto (penas); vazado na região doso olhos. Preso a uma haste cilíndrica vertical, mais grossa e bifurcada inferiormente, com dois orifícios em cada extremo.","147,0"," 76,0 ","4,5",,,metal | pintura | recorte | tinta,Brasil > Minas Gerais,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
88,188,Arca,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Arca retangular, de base emoldurada. Centro com buraco da fechadura. Tampa de borda emoldurada. Interior com dois compartimentos no lado direito, ambos providos de tampa, abrindo para ao alto, no compartimento superior, e para o lado, no inferior; este provido de um espelho recortado em flor-de-lis. Possuí um fundo falso provido de tampo com fechadura.","75,0"," 73,5 ",,,,ferro | fundição | madeira | marcenaria | metal,Brasil > Minas Gerais,Século XVIII,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
89,187,Estante,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Estante vertical, dividida em três compartimentos, com a lateral vazada, com apenas uma haste vertical; base lisa; parte traseira vazada, com quatro hastes verticais; decoração em tacheado nas hastes laterais e da traseira.","120,0"," 46,0 ","30,0",,,madeira | marcenaria | metal,Brasil > Minas Gerais,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
90,184,Cômoda,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Cômoda retangular, com quatro pés em bolacha esférica; base emoldurada. Duas gavetas inferiores, com par de almofadas emolduradas e frisadas, separadas por fechaduras; cada almofada com um espelho em metal amarelo, recortado em flor-de-lis, com relevo de motivos fitomorfos. Duas gavetas superiores de almofadas frisadas, com espelhos das fechaduras (perdidas) de desenho igual aos inferiores. Tampo de borda suposta, emoldurada; com as quinas chanfradas.","113,0"," 82,0 ",,,,ferro | fundição | madeira | marcenaria | metal,Brasil > Minas Gerais,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
91,183,Oratório,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Oratório retangular vertical, de base emoldurada, com parte lisa ao meio. Porta de duas folhas, com três almofadas altas e emolduradas, sendo a do centro com entalhe de retângulo com quinas abatidas em ¼ de círculo. Parte superior em cimalha larga, emoldurada e frisada. Faces internas das folhas da porta com pintura representando buquê de rosas presas por laços vermelhos e, ao meio, figuras de santos: na folha esquerda, Nossa Senhora da Conceição de mãos postas, com sete estrelas em volta da cabeça, de túnica branca e manto azul; de pé sobre globo com a crescente; na direita, a figura de São José de Botas, segurando o cajado florido; com a mão direita sobre o peito; de túnica branca e manto azul. Internamente, o fundo e a lateral com pintura de buquê de flores.","116,0"," 72,5 ","33,0",,,fundição | madeira | marcenaria | metal | pintura | tinta,Brasil > Minas Gerais,s.d.,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
92,182,Arca,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Arca de formato hexagonal, com a base e arestas emolduradas. Tampa com a borda emoldurada. Face central com espelho da fechadura (perdida) em cruz rendilhada. Internamente, à direita e ao fundo, possuí um compartimento com tampa.","47,0"," 55,0 ",,,,ferro | fundição | madeira | marcenaria,Brasil > Minas Gerais,Século XVIII,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
93,181,Console,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Console de tampo retangular, com as quinas dianteiras arredondadas; de borda levemente arredondada. Caixa lisa, com friso inferior saliente. Sustentação em coluna grossa, torneada em nós e estrangulamentos, com nó periforme ao meio. Três pés recortados em “esses”.","82,0"," 44,5 ",,,,madeira | marcenaria,Brasil > Minas Gerais,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
94,180,Luminária,,Não identificado,05 Interiores > 05.4 Objeto de Iluminação,"Luminária de base campanulada e frisada. Coluna frisada, com estrangulamento inferior e parte superior mais larga, decorada em gomos. A coluna termina em uma estrutura curva, provida de uma alça, em cujo centro se situa um bojo esférico com dois bicos curvos; por baixo, um elemento serrilhado provido de uma tarraxa em borboleta serve para fixar a posição do bojo.","46,0",,,"17,5",,fundição | latão | prensa,Europa,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
95,179,Catre,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Catre com a cabeceira alta, em recortes de círculo na parte de cima, com entalhe de ondulados e relevo quadriculado com círculo na parte de baixo. Parte inferior com seis grades torneadas em bolachas e nó periforme central. Peseira estreita com decoração e elementos seguindo o desenho da cabeceira. Possuí quatro colunas laterais torneadas em nós e bolachas. Pernas torneadas em nós e bolachas.","194,0"," 113,0 ",,,,madeira | marcenaria,Brasil > Minas Gerais,Século XVIII,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
0,178,Bacia,,MPS,12 Objetos Pessoais > 12.3 Artigo de Toalete,"Bacia funda, semi-esférica, de base circular, frisada. Bojo com a metade inferior em gomos e a borda revirada, frisada, com decoração gravada em frisos de acantos (interna) e motivos fitomorfos (no fundo).","12,0",,,"31,0",,prata lavrada,Portugal > Porto,Século XIX > 2ª metade Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
1,177,Gomil,,MPS,12 Objetos Pessoais > 12.3 Artigo de Toalete,"Gomil de pés recortados em curvas, com decoração em relevo, com acantos, cês e conchas. Bojo com terço inferior bojudo, revestido por gomos; centro gravado em acantos; borda revirada, formando o bico. Alça em forma de um “esse”, decorado em relevo de acantos, na parte inferior; nó ao meio; e cabeça de serpente com acantos na parte superior.","29,5"," 24,0 ",,,,prata lavrada,Portugal > Porto,Século XIX > 2ª metade Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
2,174,Marquesa,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Marquesa com os braços laterais altos, vazados e recurvados para fora, onde são arrematados por travessa em rolo-de-fumo; por dentro, decoração em seqüência de gomos (ou ondulações); e duas travessas lisas e retas na parte inferior. Assento reto, revestido por palhinha. Pernas recurvadas, terminadas em volutas.","86,0"," 62,0 ",,,,madeira | marcenaria | palhinha,Brasil > Minas Gerais,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
3,173,Cruzeiro (miniatura),,Pedro Farnesi,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Cruzeiro em cruz latina de traves retangulares pretas, com as ponteiras curvas, de base piramidal; encimada por um galo pisando sobre o globo terrestre. Apresenta todos os elementos do Suplício de Cristo: na trave vertical acima da horizontal, a coroa de espinhos, o título com a inscrição INRI e um dado; na junção das traves, um busto de mulher levando véu estampado com o rosto de Jesus; sobre a trave horizontal, à direita, a cana verde, saco de dinheiro, martelo, machado e uma faca em diagonal; à esquerda, a luva dos algozes, torquês e a bacia com jarra; na parte da frente, mais dois dados e um lençol dobrado pendente da trave horizontal; na trave vertical abaixo da horizontal, três cravos, um dado, túnica; na base, cálice, chibatas, duas lanternas penduradas em hastes curvas e uma caveira com dois ossos cruzados; por fim, cruzados sobre as traves, a lança, a esponja e a escada.","130,0"," 57,0 ","10,0",,,entalhe | latão | madeira | papel | pintura | recorte | tecido | tinta,Brasil > Minas Gerais,Século XX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
4,172,Retábulo (fragmento),“Anjo”,Não identificado,04 Construção > 04.4 Fragmento de Construção,"Figura de um menino, em posição frontal, cabeça inclinada à esquerda, de cabelos curtos, envolvida por uma faixa. Rosto desfigurado, sem os braços. Corpo nu, tendo apenas uma faixa que cobre o sexo e outra transversal terminada em uma bainha (?). Possuí a asa esquerda voltada para baixo; sem a da direita. Perna direita reta e a esquerda dobrada, com o pé mais alto, apoiado sobre um tufo de nuvens. Base em tufos de nuvens, com um furo por trás.","90,0"," 34,0 ","23,5",,,entalhe | madeira | pintura | tinta,Brasil > Minas Gerais,Século XVIII,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
5,171,Banco,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Banco retangular, de pequenas dimensões, com as laterais altas, de recortes curvos, com encosto estreito, de recortes em curvas suaves. Saia lisa e estreita. Pés em recorte de semi-círculo apontado.","82,5"," 37,0 ",,,,madeira | marcenaria,Brasil > Minas Gerais,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
6,168,Armário,,Não identificado,05 Interiores > 05.5 Peça de Mobiliário,"Armário retangular vertical, com quinas anteriores chanfradas e moldura inferior. Porta de duas folhas, cada uma com três almofadas altas, com fechadura e dobradiças à vista. Arremate superior em cimalha estreita, frisada. Interior dividido em cinco compartimentos horizontais, por quatro prateleiras lisas.","211,0"," 149,0 ","44,0",,,ferro | fundição | madeira | marcenaria | metal,Brasil > Minas Gerais,Século XVIII/XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
7,164,Torquês,,Não identificado,08 Insígnias,"Torquês fechada, pintada de verde.",," 10,0 ","5,5",,,entalhe | madeira | pintura | tinta,Brasil > Minas Gerais,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
8,163,Imagem de santo,São Francisco de Assis,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura masculina, de pé, em posição frontal, sem a cabeça e sem os braços. Perna direita reta e a esquerda dobrada, com o pé descalço apoiado sobre um globo azul. Vestido de hábito preto, com túnica cingida por cordão dourado com ponta de quatro nós despontada pela lateral esquerda; um terço dourado pende do cordão; e capuz. Possui uma chaga do lado direito do peito. Base losangular, em forma de rochedo.","19,0"," 8,5 ","10,0",,,douramento | entalhe | ouro | pedra sabão | policromia | tinta,Brasil > Minas Gerais,Século XVIII/XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
9,162,Imagem de santo,Santo Antônio de Pádua,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura masculina, de pé, em posição frontal, de cabeça erguida, com olhar à frente; alto da cabeça com tonsura rodeada por mechas de cabelos. Não possui os braços. Perna direita dobrada e a esquerda de apoio; sem os pés. Vestido de hábito escuro, com túnica e sobre-túnica, cingida por duplo cordão com ponta de dois nós despontada pela lateral esquerda; murça estreita e capuz. Base quebrada em várias partes.","22,5"," 9,5 ","6,2",,,entalhe | madeira | pintura | tinta,Brasil > Minas Gerais,Século XVIII,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
10,161,Imagem de santo,São Benedito,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura masculina, jovem, de tez negra, de pé, em posição frontal, de cabeça erguida; alto da cabeça com tonsura rodeada por mechas de cabelos. Não possui os braços. Pernas retas e os pés paralelos, descalços. Vestido de hábito preto, com túnica e sobre-túnica, cingida por cordão com ponta de três nós despontada pela lateral esquerda; murça e capuz. Possui um marca de douramento junto ao peito. Base quadrada, de quinas chanfradas.","17,5"," 6,5 ","5,5",,,entalhe | madeira | policromia | tinta,Brasil > Minas Gerais,Século XVIII/XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
11,160,Candeia,,Não identificado,05 Interiores > 05.4 Objeto de Iluminação,"Candeia em forma de uma figura humana estilizada, sem a cabeça (partida), segurando um bojo semiesférico com bico.","16,0"," 10,0 ","17,5",,,barro | modelagem | queima,Brasil > Minas Gerais,Século XIX/XX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
12,159,Imagem de santo,São Francisco de Assis,Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura masculina, de pé, em posição frontal, de cabeça erguida, com olhar à frente; alto da cabeça com tonsura rodeada por mechas de cabelos; de bigode e barba. Não possui o braço direito e só tem o toco do braço esquerdo. Pernas retas e os pés paralelos, descalços. Vestido de hábito preto, com túnica, cingida por cordão com ponta de nós despontada pela lateral; e capuz. Base hexagonal.","18,5"," 6,5 ","6,0",,,entalhe | madeira | policromia | tinta,Brasil > Minas Gerais,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
13,158,Imagem de santo,[Santo (a)?],Não identificado,02 Artes Visuais/Cinematográfica > 02.3 Escultura,"Figura de um santo(a), sem a cabeça, de pé, em posição frontal. Mão direita segurando um cibório; sem a outra mão. Veste túnica cingida por cordão, com duas pontas caídas em borlas; e capa.","8,0"," 3,5 ","3,5",,,barro | modelagem | queima,Brasil > Minas Gerais,Século XIX,museuregionaldecaete_-_acervo,https://museuregionaldecaete.acervos.museus.gov.br/wp-json/tainacan/v2/collection/848/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,848
