,Número de registro,Denominação,Título,Autor,Classificação,Resumo descritivo,Dimensões - altura,Dimensões - peso,Dimensões - largura,Dimensões - espessura,Material/Técnica,Local de produção,Data de produção,Condições de reprodução,Mídias relacionadas,ACERVO,URL,TAINACAN_COLECTION_ID
39,84.64,Selo comemorativo,Centenário dos Abolicionistas Precursores Ceará e Amazonas (Amazonas),Pietrina Checcacci,03 Objetos Pecuniários,"Em primeiro plano busto de um jovem negro com os braços levantados. Nos pulsos algemas com as correntes partidas. Ao fundo, iniciando de baixo para cima, cor ocre esmaecendo até atingir o creme. No terço superior, horizonte sinuoso em verde claro e escuro. Céu em gradação de azul. Inscrição na margem inferior Brasil 84 610,00.",4,,3,,papel couchê gomado,Brasil > Rio de Janeiro,25/03/1984,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
40,84.65,Envelope de primeiro dia de circulação,Centenário dos Abolicionistas Precursores Ceará e Amazonas (Amazonas),Sem Autor,03 Objetos Pecuniários,"Envelope: Peça retangular. Frente lateral esquerda: 3 elos partidos. Selo: Em primeiro plano busto de um jovem negro com os braços levantados. Nos pulsos algemas com as correntes partidas. Ao fundo, iniciando de baixo para cima, cor ocre esmaecendo até atingir o creme. No terço superior horizonte sinuoso em verde claro e escuro. Céu em gradação de azul. Inscrição na margem inferior Brasil 84 610,00. Carimbo: Duas vezes carimbado. Redondo. Ao centro duas algemas com os elos das correntes partidos e um sol.",19,,10,,papel couchê gomado,Brasil > Rio de Janeiro,25/03/1984,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
41,84.66,Documentos postais,Série Centenário dos Abolicionistas Precursores Ceará e Amazonas (Amazonas),Pietrina Checcacci,03 Objetos Pecuniários,"Edital: Peça retangular em folha dupla. Traz informações técnicas sobre o selo e sobre o assunto. Na primeira página, frente: Impressos os dois selos e os dois carimbos da série. Selo: Em primeiro plano busto de um jovem negro com os braços levantados. Nos pulsos algemas com as correntes partidas. Ao fundo, iniciando de baixo para cima, cor ocre esmaecendo até atingir o creme. No terço superior, horizonte sinuoso em verde claro e escuro. Céu em gradação de azul. Inscrição na margem inferior Brasil 84 610,00. Carimbo:  Redondo. Ao centro duas algemas com os elos das correntes partidos e um sol.",18,,26,,papel couchê gomado,Brasil > Rio de Janeiro,25/03/1984,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
42,84.67,Folha de selos,Centenário dos Abolicionistas Precursores Ceará e Amazonas (Ceará),Pietrina Checcacci,03 Objetos Pecuniários,"50 selos. Em primeiro plano, à direita, duas mãos, uma delas aparecendo com o pulso algemado. Em segundo plano, tomando todo o campo, uma jangada. Fundo em tons de ocres e azuis. Inscrição na margem superior Brasil 84 585,00",29,,20,,papel couchê gomado,Brasil > Rio de Janeiro,25/03/1984,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
43,84.68,Quadra de selos,Série Centenário dos Abolicionistas Precursores Ceará e Amazonas (Ceará),Pietrina Checcacci,03 Objetos Pecuniários,"4 Selos: Carimbada. Selo: Em primeiro plano, à direita, duas mãos, uma delas aparecendo com o pulso algemado. Em segundo plano, tomando todo o campo, uma jangada. Fundo em tons de ocres e azuis. Inscrição na margem superior Brasil 84 585,00. Carimbo: Redondo. Ao centro detalhe do selo: mão algemada e uma jangada.",8,,5,,papel couchê gomado,Brasil > Rio de Janeiro,25/03/1984,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
44,84.69,Selo comemorativo,Série Centenário dos Abolicionistas Precursores Ceará e Amazonas (Ceará),Pietrina Checcacci,03 Objetos Pecuniários,"Em primeiro plano, à direita, duas mãos, uma delas aparecendo com o pulso algemado. Em segundo plano, tomando todo o campo, uma jangada. Fundo em tons de ocres e azuis. Inscrição na margem superior Brasil 84 585,00.",4,,3,,papel couchê gomado,Brasil > Rio de Janeiro,25/03/1984,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
45,84.70,Envelope de primeiro dia de circulação,Série Centenário dos Abolicionistas Precursores Ceará e Amazonas (Ceará),Pietrina Checcacci,03 Objetos Pecuniários,"Envelope: Peça retangular. Frente lateral esquerda: 3 elos partidos. Selo: Em primeiro plano, à direita, duas mãos, uma delas aparecendo com o pulso algemado. Em segundo plano, tomando todo o campo, uma jangada. Fundo em tons de ocres e azuis. Inscrição na margem superior Brasil 84 585,00. Carimbo: Duas vezes carimbado. Redondo. Ao centro duas algemas, com elos das correntes partidos e um sol.",19,,10,,papel couchê gomado,Brasil > Rio de Janeiro,25/03/1984,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
46,84.71,Documentos postais,Série Centenário dos Abolicionistas Precursores Ceará e Amazonas (Ceará),Pietrina Checcacci,03 Objetos Pecuniários,"Edital: Peça retangular em folha dupla. Traz informações técnicas sobre o selo e sobre o assunto. Na primeira página, frente: Impressos os dois selos e os dois carimbos da série.
Selo: Em primeiro plano, à direita, duas mãos, uma delas aparecendo com o pulso algemado. Em segundo plano, tomando todo o campo, uma jangada. Fundo em tons de ocres e azuis. Inscrição na margem superior Brasil 84 585,00. Carimbo: Redondo. Ao centro detalhe do selo: mão algemada e uma jangada.",18,,26,,papel couchê gomado,Brasil > Rio de Janeiro,25/03/1984,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
47,85.72,Grilhão,Tornozeleira,Sem Autor,13 Castigo/Penitência,Pequeno semicírculo que nas laterais formam duas alças circulares. Das duas saem uma peça que unidas fechará a tornozeleira. De uma das alças sai uma corrente com sete seções.,67,,8,,ferro,,[20-],sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
48,85.73,Escumadeira,Escumadeira,Sem Autor,06 Trabalho > 06.1 Equipamento Agrícola,"Peça circular, ligeiramente côcava com orifícios em todo o corpo. Cabo preso à peça circular por rebite e na parte posterior reforço que sobe em tira até o meio onde, novamente, prende-se com rebite. Este cabo é circular e cavo, no qual se encaixa outro de madeira. Possui orifício para fixação.",2,,40,,cobre,,[20-],sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
49,85.74,Ilú,Ilú,Sem Autor,06 Trabalho > 06.10 Equipamento Musical,"""Barrica confeccionada por ""talisca"", peças de tábuas de larguras diferentes. Dois tampos de couro de bode, amarrados com corda de agave, com amarração tradicional da Nação Nagô"".",48,,42,,corda | couro | madeira,Brasil > Pernambuco > Recife,[19-],sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
50,85.75,Abê,Abê,Sem Autor,06 Trabalho > 06.10 Equipamento Musical,"Grande cabaça revestida de uma frouxa malha feita de contas de Ave Maria, trançadas conforme modelo Nagô.",28,,22,,cabaça | contas de aves maria | orgânico,Brasil > Pernambuco > Recife,[20-],sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
51,85.76a,Gonguê,Gonguê,Sem Autor,06 Trabalho > 06.10 Equipamento Musical,Peça em formato de uma campânula. Cabo chato com ponta virada formando um orifício.,34,,14,,ferro,Brasil > Pernambuco > Recife,s.d.,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
52,85.77,Otá,Otá,Sem Autor,09 Objetos Cerimoniais > 09.3 Objeto de Culto,Pedra de formato irregular de cor preta.,23,,30,,mineral,Brasil > Pernambuco > Recife,s.d.,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
53,85.76b,Vareta,Vareta,Sem Autor,06 Trabalho > 06.10 Equipamento Musical,"Pequeno pedaço de madeira roliça, com as pontas arredondadas.",26,,2,,madeira,Brasil > Pernambuco > Recife,s.d.,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
54,85.78,Xumbetá,Xumbetá,Sem Autor,09 Objetos Cerimoniais > 09.3 Objeto de Culto,Colar com 16 fios amarrados em 4 búzios. Cor amarela.,57,,,,búzios | miçangas,Brasil > Pernambuco > Recife,s.d.,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
55,85.79,Tira umbilical,Tira Umbilical,Sem Autor,09 Objetos Cerimoniais > 09.3 Objeto de Culto,"Fina tira trançada, terminada em nó nas duas extremidades.",,,113,,búzios | palha,Brasil > Pernambuco > Recife,s.d.,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
56,85.80,Mocã,Moça,Sem Autor,09 Objetos Cerimoniais > 09.3 Objeto de Culto,"Cordão grosso trançado, tendo nas duas extremidades um punhado de palha desfiada e amarrada junto ao cordão. 12 búzios dispostos simetricamente.",,,70,,búzios | palha,Brasil > Pernambuco > Recife,s.d.,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
57,85.81,Senzala,Senzala,Sem Autor,09 Objetos Cerimoniais > 09.3 Objeto de Culto,Fina tira trançada e amarrada nas extremidades.,,,90,,palha,Brasil > Pernambuco > Recife,s.d.,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
58,85.82,Senzala,Senzala,Sem Autor,09 Objetos Cerimoniais > 09.3 Objeto de Culto,Fina tira trançada e amarrada nas extremidades.,,,90,,,Brasil > Pernambuco > Recife,s.d.,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
59,85.83,Contra-Egum,ContraEgum,Sem Autor,09 Objetos Cerimoniais > 09.3 Objeto de Culto,"Peça formada por uma fina tira trançada, terminada em nó. No primeiro terço, a tira se movimenta em vai-e-vem, duas vezes, sendo cosida uma a outra, formando alça na extremidade. 4 búzios dispostos simetricamente.",,,66,,búzios | palha,Brasil > Pernambuco > Recife,s.d.,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
60,85.84,Contra-Egum,ContraEgum,Sem Autor,09 Objetos Cerimoniais > 09.3 Objeto de Culto,"Peça formada por uma fina tira trançada, terminada em nó. No primeiro terço, a tira se movimenta em vai-e-vem, duas vezes, sendo cosida uma a outra, formando alça na extremidade. 4 búzios dispostos simetricamente.",,,66,,búzios | palha,Brasil > Pernambuco > Recife,s.d.,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
61,85.85,Jarra,,Sem Autor,09 Objetos Cerimoniais > 09.3 Objeto de Culto,"Peça de base circular. Corpo de feição redonda alargando-se na parte superior onde estreita-se formando boca de borda acentuada. Adornada com duas faixas: uma no corpo e uma na borda. Peça da cor natural do barro, decoração cor de terra.",31,,15,,argila,Brasil > Pernambuco > Recife,s.d.,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
62,85.86,Saia,Saia,Sem Autor,12 Objetos Pessoais > 12.5 Objeto de Adorno,"Peça composta por três saias, duas com bico de renda e mua lisa. Franzida por quatro costuras formando cós, tambem franzido. Cor branca.",38,,,,denda de algodão | tecido algodão,Brasil > Pernambuco > Recife,s.d.,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
63,85.87,Bacia,Bacia,Sem Autor,09 Objetos Cerimoniais > 09.3 Objeto de Culto,Peça de base circular. Feição arredondada alargando-se sensivelmente para formar o corpo. Borda acentuada. Cor branco pérola.,8,,32,,argila,Brasil,s.d.,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
64,85.88a,Terrina,Sopeira,Sem Autor,09 Objetos Cerimoniais > 09.3 Objeto de Culto,"Peça de base e corpo circular, adornado por dois frisos com feição repuxada, acompanhando motivo da tampa em relevo. Cor branco pérola.",14,,17,,argila,Brasil,s.d.,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
65,85.88b,Tampa,Tampa,Sem Autor,09 Objetos Cerimoniais > 09.3 Objeto de Culto,"Peça circular com borda externa e interna. Adornada por fitão com feição repuxada, acompanhando motivo no corpo da sopeira. Em relevo. Forma pegador central. Cor branco pérola.",7,,20,,argila,Brasil,s.d.,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
66,85.89,Prato,Prato,Sem Autor,09 Objetos Cerimoniais > 09.3 Objeto de Culto,Base circular. Corpo ligeiramente ascendente. Borda acentuada. Cor branco pérola.,,,18,,argila,Brasil,s.d.,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
67,85.95,Folha de selos,Sesquicentenário da Revolta da Cabanagem,Guido Mondin,03 Objetos Pecuniários,"60 selos. Em primeiro plano homem branco com dorso nu. Veste calça verde com as pernas rasgadas à altura dos joelhos. Na cabeça chapéu de palha de abas largas, levantadas. Empunha baioneta. Em segundo plano, construção religiosa, despontando uma torre. Céu em azul, lilás e branco. Moldura dourada. Margem inferior: Brasil 85 Cr$330.",24,,30,,papel couchê gomado,Brasil > Rio de Janeiro,14/08/1985,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
68,85.96,Quadra de selos,Sesquicentenário da Revolta da Cabanagem,Guido Mondin,03 Objetos Pecuniários,"4 Selos. Carimbada. Selo: em primeiro plano homem branco com dorso nu. Veste calça verde com as pernas rasgadas à altura dos joelhos. Na cabeça chapéu de palha de abas largas, levantadas. Empunha baioneta. Em segundo plano construção religiosa, despontando uma torre. Céu em azul, lilás e branco. Moldura dourada. Margem inferior: Brasil 85 Cr$330. Carimbo: redondo, ao centro, o desenho estilizado de uma cabeça de homem com chapéu.",6,,8,,papel couchê gomado,Brasil,14/08/1985,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
69,85.97,Selo comemorativo,Sesquicentenário da Revolta da Cabanagem,Guido Mondin,03 Objetos Pecuniários,"Em primeiro plano homem branco com dorso nu. Veste calça verde com as pernas rasgadas à altura dos joelhos. Na cabeça chapéu de palha de abas largas, levantadas. Empunha baioneta. Em segundo plano construção religiosa, despontando uma torre. Céu em azul, lilás e branco. Moldura dourada. Margem inferior: Brasil 85 Cr$330.",3,,4,,papel couchê gomado,Brasil > Rio de Janeiro,14/08/1985,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
70,85.98,Envelope de primeiro dia de circulação,Sesquicentenário da Revolta da Cabanagem,Guido Mondin,03 Objetos Pecuniários,"Envelope: peça retangular. Frente, lateral esquerda: Elípse dividida em dois por uma linha inclinada. Num dos lados, cena apresentando um homem montado a cavalo empunhando uma espada: no outro lado, a mesma figura representada no selo. Selo: em primeiro plano, homem branco com o dorso nu. Veste calça verde com as pernas rasgadas à altura dos joelhos. Na cabeça, chapéu de palha de abas largas, levantadas. Empunha baioneta. Em segundo plano, construção religiosa, despontando uma torre. Céu em azul, lilás e branco. Moldura dourada. Margem inferior: Brasil 85 Cr$ 330. Carimbo: duas vezes carimbado. Redondo. Ao centro, desenho estilizado de uma cabeça de homem com chapéu.",19,,10,,papel chambril | papel couchê gomado,Brasil > Rio de Janeiro,14/08/1985,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
71,85.99,Documentos postais,Sesquicentenário da Revolta da Cabanagem,Guido Mondin,03 Objetos Pecuniários,"Edital: peça retangular em folha dupla.Traz informações técnicas sobre o selo e sobre o assunto. Na primeira página, frente: Impressos o selo e o carimbo. Na margem lateral esquerda: elípse dividida em dois por uma linha inclinada. Num dos lados, cena apresentado um homem montado a cavalo empunhando uma espada: no outro lado, a mesma figura representada no selo. Selo: em primeiro plano, homem branco com o dorso nu. Veste calça verde com as pernas rasgadas à altura dos joelhos. Na cabeça, chapéu de palha de abas largas, levantadas. Empunha baioneta. Em segundo plano construção religiosa, despontando uma torre. Céu em azul, lilás e branco. Moldura dourada. Margem inferior: Brasil 85 Cr$ 330. Carimbo: carimbado uma vez. Redondo. Ao centro, desenho estilizado de uma cabeça de homem com chapéu.",18,,26,,papel couchê gomado,Brasil > Rio de Janeiro,14/05/1985,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
72,87.100,Bloco comemorativo,Cinquentenário da Publicação Casa Grande & Senzala,Ivan Wasth Rodrigues,03 Objetos Pecuniários,"Cartela: Peça quadrada, dobrada ao meio, na frente inscrição em relevo. Selo: cena composta pelos seguintes elementos: um globo terrestre e um livro aberto ao meio; um escravo negro, vestido de branco, chapéu de palha, em posição de lavrar a terra; uma escrava negra vestida de branco com o filho às costas seguro por um pano listado de vermelho. O engenho de uma ""Casa Grande"" com uma chaminé expelindo fumaça. Uma india, nua, sentada, trabalhando num grande recipiente. Ao fundo, figura branca em trajes europeus, segurando um astrolábio. Parcialmente, aparece uma caravela, o oceano e o céu. Carimbo: redondo. Ao centro, detalhe do selo: um globo terrestre e um livro aberto ao meio.",20,,10,,papel chambril | papel couchê gomado,Brasil > Rio de Janeiro,20/01/1984,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
73,88.102,Álbum Filatélico,Série Centenário da Abolição da Escravatura,Darlan Rosa,03 Objetos Pecuniários,"Peça encadernada em fazenda azul marinho, interiormente possui duas guardas em material sintético transparente. Numa, está o edital, na outra, um envelope e uma cartela. O edital está selado com os dois selos da série; o envelope com o primeiro e a cartela com o segundo. O edital está carimbado uma vez, o envelope e a cartela duas vezes. O carimbo é redondo. No edital e no envelope, na margem esquerda, aparece um pergaminho e uma pena. A cartela obedece o padrão oficial da ECT. Primeiro selo: "" apresenta o desenho estilizado de um navio negreiro e em segundo plano uma reprodução do mapa de Norris(1773)"". Margem inferior: Brasil 88 Cz$ 50,00. Segundo selo: ""apresenta sobre o manuscrito da lei Áurea, uma pena simbolizando a libertação da raça negra no Brasil e uma cena de iniciação que, na cultura negra, simboliza o renascimento"". Margem superior: Brasil 88 Cz$ 20,00.",123,,29,,couché gomado | Fazenda | papel chambril | sintético,Brasil > Rio de Janeiro,12/05/1988,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
74,88.103,Máximo Postal,Série Centenário da Abolição da Escravatura,Darlan Rosa,03 Objetos Pecuniários,"Cartão Postal: Vista da frente e parte da lateral esquerda de quem olha o prédio do Museu da Abolição. Carimbo redondo. Selos: primeiro selo: ""apresenta o desenho estilizado de um navio negreiro, cujas velas trazem uma alegoria representando a cultura negra aprisionada e trazida para o Brasil. Em segundo plano, uma reprodução do mapa de Norris (1773) mostrando algumas regiões da África e, na parte inferior, o diagrama da rota dos escravos até o nosso país"". Margem inferior: Brasil 88 Cz$ 50,00. Segundo selo: ""apresenta sobre o manuscrito da lei Áurea, uma pena simbolizando a libertação da raça negra no Brasil e uma cena de iniciação que, na cultura negra ,simboliza o renascimento"". Margem superior: Brasil 88 Cz$ 20,00.",15,,9,,papel couchê gomado,Brasil > Rio de Janeiro,12/05/1988,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
75,88.104,Folha de selos,Sesquicentenário da Morte de José Bonifácio de Andrada e Silva,Ivan Wasth Rodrigues,03 Objetos Pecuniários,"60 selos."" O selo mostra a figura de José Bonifácio de Andrada e Silva, o "" Patriarca da Independência"", com elementos que o identificam: o brasão de armas do Brasil independente, envolvido pela cruz da Ordem de Cristo, o martelete e o minério do mestre da mineralogia e, ainda, a faixa, o avental e o emblema maçônico para lembrar o grão-mestre de maçonaria"". Margem superior: Brasil 88 Cz$ 20,00.",30,,24,,papel couchê gomado,Brasil > Rio de Janeiro,06/04/1988,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
76,88.105,Quadra de selos,Sesquicentenário da Morte de José Bonifácio de Andrada e Silva,Ivan Wasth Rodrigues,03 Objetos Pecuniários,"O selo mostra a figura de José Bonifácio de Andrada e Silva, o "" Patriarca da Independência"", com elementos que o identificam: o brasão de armas do Brasil Independente, envolvido pela cruz da Ordem de Cristo, o martelete e o minério do mestre da mineralogia e, ainda, a faixa, o avental e o emblema maçônico para lembrar o grão-mestre de maçonaria"". Margem superior: Brasil 88 Cz$ 20,00.",6,,8,,papel couchê gomado,Brasil > Rio de Janeiro,06/04/1988,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
77,88.106,Selo comemorativo,Sesquicentenário da Morte de José Bonifácio de Andrada e Silva,Ivan Wasth Rodrigues,03 Objetos Pecuniários,"O selo mostra a figura de José Bonifácio de Andrada e Silva, o "" Patriarca da Independência"", com elementos que o identificam: o brasão de armas do Brasil independente, envolvido pela cruz da Ordem de Cristo, o martelete e o minério do mestre da mineralogia e, ainda, a faixa, o avental e o emblema maçônico para lembrar o grão-mestre de marçonaria"". Margem superior: Brasil 88 cz$ 20,00.",4,,3,,papel couchê gomado,Brasil > Rio de Janeiro,06/04/1988,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
78,88.107,Envelope de primeiro dia de circulação,Sesquicentenário da Morte de José Bonifácio de Andrada e Silva,Ivan Wasth Rodrigues,03 Objetos Pecuniários,,19,,10,,papel chambril | papel couchê gomado,Brasil > Rio de Janeiro,06/04/1988,sem restrição,arquivos de imagem,museudaabolicao_-_acervo_museologico,https://museudaabolicao.acervos.museus.gov.br/wp-json/tainacan/v2/collection/7/items/?perpage=96&order=ASC&orderby=date&exposer=csv&mapper=inbcm-ibram&paged=,7
